Function	Gene	Accession #
Apoptosis-related proteins	Gstp1	XM_579338
Apoptosis-related proteins	Tnfaip8	XM_225940
Cell cycle and growth factors	Tgfa	NM_012671
Cell signalling	Flrt2	XM_234361
Cell signalling	Rasl11b	NM_001002830
Cell signalling	Rgs2	NM_053453
Cell signalling	Rgs14	NM_053764
Cell signalling	GAP1	XM_227132
Chromatin remodeling – transcription	Hoxb13	XM_220905
Chromatin remodeling – transcription	LOC362865	XM_343194
Chromatin remodeling – transcription	Npas1	XM_238770
Chromatin remodeling – transcription	Hoxb9	XM_220887
Chromatin remodeling – transcription	Vax2	NM_022637
Chromatin remodeling – transcription	LOC368057	XM_347220
Chromatin remodeling – transcription	Dclre1b	XM_227537
Cytoskeleton – cellular matrix	Mybph	NM_031813
Electron transport – mitochondrion	LOC293949	XM_215248
Ion channels – receptors	Ms4a8b	XM_342026
Ion channels – receptors	Ccr7	NM_199489
Ion channels – receptors	Trpv6	NM_053686
Ion channels – receptors	Olr29	NM_001000691
Ion channels – receptors	Olr552	NM_001001055
Ion channels – receptors	Olr1751	NM_001000492
Ion channels – receptors	Olr677	NM_001001062
Ion channels – receptors	Olr1340	XM_236174
Ion channels – receptors	Olr1597	NM_001000911
Ion channels – receptors	Ttyh3	XM_221962
Ion channels – receptors	Il17rb	XM_224604
Oxidative stress	Blvra	NM_053850
Oxidative stress	Indo	NM_023973
RNA processing and ribosomal	Ear11	NM_138902
RNA processing and ribosomal	Trim21	XM_219011
RNA processing and ribosomal	Rps24	NM_031112
RNA processing and ribosomal	Ptrh1	XM_342416
Vesicle trafficking	Eml1	XM_343109
Other	LOC499985	XM_575339
Other	Smyd2	XM_213972
Other	Tpbg	NM_031807
Other	C44a	NM_021759
Other	Abhd1	NM_001008520
Other	Ppic	NM_001004215
Other	Aak1	XM_232172
Other	Prss8	NM_138836
Other	LOC367332	XM_346086
Other	Cyp4a10	NM_153307
Other	Atad2	XM_235326
Other	LOC498435	XM_573687
Other	Smpx	NM_053395
Other	Mocs1	XM_236911
Other	Serpinf1	NM_177927
Other	Smp2a	NM_012695
Other	Rhcg	NM_183053
Other	Prlph	NM_021580
Other	Xylt1	XM_341912
