UniGene ID	Gene Name	Description	SAM Score(d)	Function
Hs.1722	IL1A	Interleukin 1, alpha	8.62	anti-apoptosis
Hs.283672	BCL2L10	BCL2-like 10 (apoptosis facilitator)	8.03	anti-apoptosis
Hs.631672	BCL2L13	BCL2-like 13 (apoptosis facilitator)	6.51	Regulation of apoptosis
Hs.458272	MPO	Myeloperoxidase	5.96	anti-apoptosis
Hs.303649	CCL2	Chemokine (C-C motif) ligand 2	5.78	anti-apoptosis
Hs.591630	CASP8	Caspase 8, apoptosis-related cysteine peptidase	5.04	apoptotic program
Hs.89679	IL2	Interleukin 2	5.02	anti-apoptosis
Hs.200242	CARD6	Caspase recruitment domain family, member 6	4.83	regulation of apoptosis
Hs.160953	P53AIP1	P53-regulated apoptosis-inducing protein 1	4.65	apoptosis
Hs.5443	BAG5	BCL2-associated athanogene 5	4.57	anti-apoptosis
Hs.350899	CAPN2	Calpain 2, (m/II) large subunit	4.45	proteolysis and peptidolysis
Hs.159195	DOCK1	Dedicator of cytokinesis 1	4.33	Apoptosis
Hs.521800	CAPN1	Calpain 1, (mu/I) large subunit	3.97	proteolysis and peptidolysis
Hs.88297	STK17B	Serine/threonine kinase 17b (apoptosis-inducing)	3.62	apoptosis
Hs.545196	GML	GPI anchored molecule like protein	3.41	apoptosis
