UID	Gene Symbol	UniGene ID	Av. SCC	Av. BSM	Fold increase	t-test	Oncogene annotation
207714_s_at	SERPINH1	Hs.596449	910	49	18.6	6.14E-12	N
217901_at	DSG2	Hs.412597	1675	282	5.9	1.32E-12	N
210095_s_at	IGFBP3	Hs.450230	4209	229	18.4	3.44E-09	N
201952_at	ALCAM	Hs.591293	1644	260	6.3	5.04E-11	Y
214039_s_at	LAPTM4B	Hs.492314	3521	766	4.6	3.40E-14	Y
204620_s_at	CSPG2 / VCAN	Hs.695930	1158	172	6.7	4.97E-11	Y
221731_x_at	CSPG2 / VCAN	Hs.695930	1512	210	7.2	1.45E-09	Y
218618_s_at	FNDC3B	Hs.159430	1115	221	5	2.46E-15	N
203510_at	MET	Hs.132966	553	38	14.4	3.73E-12	Y
200644_at	MARCKSL1	Hs.75061	1377	202	6.8	1.66E-09	N
209682_at	CBLB	Hs.430589	754	128	5.9	6.26E-13	N
204992_s_at	PFN2	Hs.91747	2763	617	4.5	2.48E-10	N
218847_at	IGF2BP2	Hs.35354	838	97	8.6	2.25E-09	N
208691_at	TFRC	Hs.529618	5245	1200	4.4	5.56E-10	N
208178_x_at	TRIO	Hs.130031	487	57	8.6	1.61E-13	Y
201313_at	ENO2	Hs.511915	587	55	10.7	1.18E-09	N
209013_x_at	TRIO	Hs.130031	432	33	13.1	2.87E-12	Y
213905_x_at	BGN	Hs.821	756	132	5.7	5.74E-10	N
200790_at	ODC1	Hs.467701	2908	332	8.7	1.30E-07	Y
202219_at	SLC6A8	Hs.540696	1512	205	7.4	5.25E-08	N
200602_at	APP	Hs.695922	977	225	4.3	6.22E-11	N
202107_s_at	MCM2	Hs.477481	1098	256	4.3	1.61E-10	Y
208029_s_at	LAPTM4B	Hs.492314	1530	310	4.9	6.98E-09	Y
214334_x_at	DAZAP2	Hs.369761	2715	785	3.5	4.26E-13	N
221538_s_at	PLXNA1	Hs.432329	711	165	4.3	1.23E-15	N
214953_s_at	APP	Hs.695922	2569	646	4	2.13E-09	N
201761_at	MTHFD2	Hs.469030	977	223	4.4	5.63E-10	N
211012_s_at	LOC161527	Hs.534573	386	32	11.9	2.38E-11	N
200600_at	MSN	Hs.87752	1835	498	3.7	1.20E-10	Y
201656_at	ITGA6	Hs.133397	1108	214	5.2	9.23E-09	Y
212058_at	SR140	Hs.596572	1316	364	3.6	1.63E-12	N
201261_x_at	BGN	Hs.821	767	177	4.3	4.10E-11	N
208891_at	DUSP6	Hs.298654	712	143	5	5.68E-10	N
203417_at	MFAP2	Hs.389137	523	69	7.6	1.46E-09	N
202391_at	BASP1	Hs.201641	2479	496	5	5.62E-08	N
203213_at	CDC2	Hs.334562	482	86	5.6	2.96E-12	Y
201417_at	SOX4	Hs.643910	1797	350	5.1	6.37E-08	Y
201951_at	ALCAM	Hs.591293	515	71	7.3	2.85E-09	Y
204784_s_at	MLF1	Hs.85195	509	75	6.8	2.02E-09	Y
203744_at	HMGB3	Hs.693708	933	213	4.4	5.19E-09	N
201976_s_at	MYO10	Hs.481720	910	250	3.6	1.28E-11	N
206656_s_at	C20orf3	Hs.472330	1539	484	3.2	1.29E-13	N
201839_s_at	TACSTD1	Hs.542050	1536	165	9.3	6.55E-07	Y
209546_s_at	APOL1	Hs.114309	740	22	33.9	4.64E-07	N
208998_at	UCP2	Hs.80658	1018	119	8.6	4.16E-07	N
201506_at	TGFBI	Hs.369397	3219	297	10.8	1.28E-06	N
208091_s_at	ECOP	Hs.610460	1294	326	4	1.31E-08	Y
212297_at	ATP13A3	Hs.529609	528	112	4.7	2.18E-10	N
203038_at	PTPRK	Hs.155919	1124	346	3.2	2.65E-12	N
212285_s_at	AGRN	Hs.273330	1144	347	3.3	2.77E-11	N
