Probe ID	Fold change	p-value	Gene Symbol	Gene Bank	Description
205347_s_at	27.59	1.93E-04	TMSB15A	NM_021992	thymosin beta15b /// thymosin beta 15a
209988_s_at	21.92	2.08E-02	ASCL1	BC001638	achaete-scute complex homolog 1 (Drosophila)
209560_s_at	19.76	1.96E-03	DLK1	U15979	delta-like 1 homolog (Drosophila)
202016_at	15.92	2.25E-04	MEST	NM_002402	mesoderm specific transcript homolog (mouse)
206326_at	12.86	2.46E-02	GRP	NM_002091	gastrin-releasing peptide
206045_s_at	11.36	5.21E-03	NOL4	NM_003787	nucleolar protein 4
201387_s_at	11.2	2.58E-04	UCHL1	NM_004181	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
204580_at	11.11	3.28E-02	MMP12	NM_002426	matrix metallopeptidase 12 (macrophage elastase)
205549_at	10.98	8.53E-04	PCP4	NM_006198	Purkinje cell protein 4
204105_s_at	10.66	1.54E-03	NRCAM	NM_005010	neuronal cell adhesion molecule
206104_at	10.59	1.26E-03	ISL1	NM_002202	ISL LIM homeobox 1
206502_s_at	10.44	1.61E-02	INSM1	NM_002196	insulinoma-associated 1
214933_at	9.66	2.16E-02	CACNA1A	AA769818	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
203423_at	9.02	2.24E-03	RBP1	NM_002899	retinol binding protein 1, cellular
204170_s_at	9	2.02E-03	CKS2	NM_001827	CDC28 protein kinase regulatory subunit 2
206018_at	8.93	1.76E-02	FOXG1	NM_005249	forkhead box G1
204026_s_at	8.4	1.94E-03	ZWINT	NM_007057	ZW10 interactor
209773_s_at	7.97	2.78E-03	RRM2	BC001886	ribonucleotide reductase M2 polypeptide
202589_at	7.81	6.28E-05	TYMS	NM_001071	thymidylate synthetase
218039_at	7.71	7.06E-03	NUSAP1	NM_016359	nucleolar and spindle associated protein 1
201292_at	7.67	1.90E-04	TOP2A	AL561834	topoisomerase (DNA) II alpha 170kDa
212843_at	7.67	3.48E-02	NCAM1	AA126505	neural cell adhesion molecule 1
202954_at	7.4	1.18E-03	UBE2C	NM_007019	ubiquitin-conjugating enzyme E2C
204023_at	7.37	6.12E-04	RFC4	NM_002916	replication factor C (activator 1) 4, 37kDa
218009_s_at	7.13	5.16E-03	PRC1	NM_003981	protein regulator of cytokinesis 1
207039_at	7.11	7.59E-05	CDKN2A	NM_000077	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
203999_at	7.04	1.85E-03	SYT1	AV731490	synaptotagmin I
204962_s_at	6.95	1.06E-03	CENPA	NM_001809	centromere protein A
209714_s_at	6.57	7.81E-03	CDKN3	AF213033	cyclin-dependent kinase inhibitor 3
203362_s_at	6.47	4.58E-04	MAD2L1	NM_002358	MAD2 mitotic arrest deficient-like 1 (yeast)
202779_s_at	6.18	8.23E-04	UBE2S	NM_014501	similar to Ubiquitin-conjugating enzyme E2S (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (E2-EPF5) /// ubiquitin-conjugating enzyme E2S
202705_at	6.1	1.68E-03	CCNB2	NM_004701	cyclin B2
203358_s_at	5.88	2.78E-03	EZH2	NM_004456	enhancer of zeste homolog 2 (Drosophila)
221521_s_at	5.85	1.97E-05	GINS2	BC003186	GINS complex subunit 2 (Psf2 homolog)
203130_s_at	5.82	1.18E-02	KIF5C	NM_004522	kinesin family member 5C
202003_s_at	5.81	2.92E-05	ACAA2	NM_006111	acetyl-Coenzyme A acyltransferase 2
200783_s_at	5.64	2.02E-04	STMN1	NM_005563	stathmin 1/oncoprotein 18
208121_s_at	5.62	4.91E-02	PTPRO	NM_002848	protein tyrosine phosphatase, receptor type, O
203560_at	5.49	2.14E-02	GGH	NM_003878	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
221059_s_at	5.43	7.23E-03	COTL1	NM_021615	coactosin-like 1 (Dictyostelium)
201930_at	5.41	3.86E-04	MCM6	NM_005915	minichromosome maintenance complex component 6
202870_s_at	5.31	4.22E-03	CDC20	NM_001255	cell division cycle 20 homolog (S. cerevisiae)
203889_at	5.11	4.24E-02	SCG5	NM_003020	secretogranin V (7B2 protein)
202095_s_at	5.09	1.02E-02	BIRC5	NM_001168	baculoviral IAP repeat-containing 5
222077_s_at	4.69	2.46E-03	RACGAP1	AU153848	Rac GTPase activating protein 1
203755_at	4.68	4.86E-03	BUB1B	NM_001211	budding uninhibited by benzimidazoles 1 homolog beta (yeast)
201417_at	4.67	5.24E-04	SOX4	AL136179	SRY (sex determining region Y)-box 4
205034_at	4.54	1.49E-02	CCNE2	NM_004702	cyclin E2
218355_at	4.53	3.39E-03	KIF4A	NM_012310	kinesin family member 4A
200644_at	4.53	3.66E-04	MARCKSL1	NM_023009	MARCKS-like 1
203485_at	4.49	9.39E-03	RTN1	NM_021136	reticulon 1
