GenBank no.	MDCK-Snail	MDCK-E47	MDCK-Slug	Description
AA669042	1.38	2.14	3.42	ACTN1, actinin, a1
R66605	-1.61	2.34	3.46	ACTN4, actinin, a4
AA029597	1.06	1.94	3.35	BMP7, bone morphogenetic protein 7
H44784	-1.7	-1.4	-2.3	BPAG1, bullous pemphigoid antigen 1
AA447737	7.19	5.12	14.67	CALD1, caldesmon 1
H97778	-16.6	-16.6	-16.6	CDH1, E-cadherin
AA421819	1.56	2.55	2.33	CDH6, cadherin 6, K-cadherin
AA464342	1.35	1.91	11.1	COL15A1, collagen, type XV, a1
AA490172	4.02	8.56	3.21	COL1A2, collagen, type I, a2
T98612	24.6	2.58	14.28	COL3A1, collagen, type III, a1
R75635	1.33	2.06	5.23	COL5A1, collagen, type V, a1
AA962371	2.56	2.98	4.02	COL5A2, collagen, type V, a2
AA598794	1.63	2.09	3.18	CTGF, connective tissue growth factor
AA024656	-1.3	-2.3	-3.4	CTNNAL1, catenin a-like 1
AA024656	3.44	1.1	3.12	CTNND1, catenin y1, p120
W37448	-2.1	-1.6	-2.9	DSG2, desmoglein 2
H90899	-5.6	-1.6	-3.1	DSP, desmoplakin I, II
AA487582	-1.49	1.78	2.96	EXT1, exostoses (multiple) 1
AA775872	1.1	3.89	-2.12	GPC3, glypican 3
AA936757	-4.5	-5	-5	HBP17, heparin-binding growth factor binding protein
AA424695	1.06	1.9	4.3	ITGA3, integrin, a3
g757088	6.13	4.53	11.25	ITGA5, integrin, a5
W67174	3.64	1.95	-1.08	ITGB1, integrin, h1
g2141721	-2.1	-2.1	-4	ITGB6, integrin h6
AA464250	-6.3	-4.3	-4.2	KRT19, keratin 19
AA001432	-2	-2.1	-3	LAMA3, laminin a3
vH74106	1.5	3.02	4.58	LDB2, LIM domain binding 2
AA005112	-2.1	-1.85	-1.9	LMO7, LIM domain only 7
AA453712	3.95	1.2	15.49	LUM, lumican
R22977	2.78	2.32	2.4	MSN, moesin
W86202	-3.5	-5.2	-2.3	NET-6, tetraspan NET-6 protein
AA479199	-3.7	-4.5	-1.9	NID2, nidogen 2
N75719	14.22	2.9	19.09	PAI-1, plasminogen activator inhibitor type 1
AA278759	-2	-1.3	-4.2	PRG1, proteoglycan 1, secretory granule
AA148736	1.14	1.99	2.93	SDC4, syndecan 4
AA461456	-2.4	-1.43	-2.7	SEMA3C, sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
AA410517	1.07	-1.61	-5.27	SERPINB6, serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6
R71440	3.6	2.87	3.91	SERPINH2, serine (or cysteine) proteinase inhibitor, class H, member 2
g839914	41.39	26.68	16.24	SPARC, osteonectin
AA775616	-8.3	-7.7	-14.3	SPP1, osteopontin
