Probe set	Gene	Fold difference†
203895_at	Phospholipase C,  B4	-15.7
206026_s_at	Tumor necrosis factor,  a-induced protein 6	-8.3
209505_at	Nuclear receptor subfamily 2, group F, member 1	-7.2
202741_at	Protein kinase, cAMP-dependent, catalytic, B	-5.3
209291_at	Inhibitor of DNA binding 4	-5.3
202237_at	Nicotinamide N-methyltransferase	-5.3
206606_at	Lipase, hepatic	-5
211352_s_at	Nuclear receptor coactivator 3	-4.7
206295_at	Interleukin 18 (interferon-y–inducing factor)	-4.3
203234_at	Uridine phosphorylase	-4
202458_at	Protease, serine, 23	-3.9
201667_at	Connexin 43	-3.8
203789_s_at	Semaphorin 3C	-3.7
201015_s_at	Junction plakoglobin	-3.6
202388_at	Regulator of G-protein signaling 2	-3.5
202238_s_at	Nicotinamide N-methyltransferase	-3.2
204379_s_at	Fibroblast growth factor receptor 3	-2.9
218718_at	Platelet derived growth factor C	-2.9
222258_s_at	SH3-domain binding protein 4	-2.6
221009_s_at	Angiopoietin-like 4	-2.4
