Unigene	Symbol	Description	Functions	Fold change	P
Hs.1908	PRG1	Proteoglycan 1	ECM	36	0.00231
Hs.75893	ANK3	Ankyrin 3	Cytoskeleton	19.7	0.01398
Hs.109225	VCAM1	Vascular cell adhesion molecule 1	Cell adhesion, angiogenesis	15.3	0.03005
Hs.303649	MCP1	Monocyte chemotactic protein 1	Cytokine	14.6	0.01003
Hs.65114	KRT18	Keratin 18	Cytoskeleton	12.3	0.00258
Hs.93913	IL6	Interleukin 6	Cytokine	12.2	0.02512
Hs.155545	P37NB	37 kDa leucine-rich repeat (LRR) protein	Cell adhesion	11.1	0.00522
Hs.103391	IGFBP5	Insulin-like growth factor-binding protein 5	Growth factor	10.6	0.03614
Hs.58589	GYG2	Glycogenin 2	Metabolism	10.5	0.04571
Hs.124776		EST	Similar to thromboxane A2 receptor	10.5	0.02419
Hs.76224	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	ECM	9.8	0.00032
Hs.78776		EST	?	9.8	0.0064
Hs.169470	DMD	Dystrophin	Cytoskeleton	9.1	0.02634
Hs.7212	PP1044	EST	Transmembrane?	9.1	0.0113
Hs.42346	MYOZ2	Myozenin2	Muscle Ca2+ signal transduction	9.1	0.00099
Hs.79284	MEST	Mesoderm specific transcript (mouse) homolog	Hydrolase domain (protease?)	8.4	0.00776
Hs.209637	FLJ12921	FLJ12921	ECM, similar to proteoglycan 4	8.3	0.02454
Hs.169300	TGFB2	Transforming growth factor 2	Immunosupressive, growth factor	8.1	0.02582
Hs.119129	COL4A1	Collagen, type IV,  1	ECM	7.8	0.00265
Hs.41270	PLOD2	Procollagen-lysine hydroxylase2	ECM, fibrotic processes	7.7	0.0172
Hs.135281	ALP	-Actinin-2 associated LIM protein	Cytoskeleton	7.5	0.0107
Hs.193914	KIAA0575	KIAA0575	Estrogen-regulated?	6.6	0.03068
Hs.274404	PLAT	Tissue plasminogen activator (tPA)	Protease/inhibitor	6.6	0.0213
Hs.14601	HCLS1	Hematopoietic cell-specific Lyn substrate 1	Actin-binding cytoskeleton?	6.5	0.01136
Hs.128087	F2R	Thrombin receptor	Blood coagulation	6	0.01224
Hs.196384	PTGS2	Cyclooxygenase 2	Cancer growth, angiogenesis	6	0.03528
Hs.50924	GATA6	GATA-binding protein 6	Transcription factor	5.7	0.00976
Hs.75617	COL4A2	Collagen, type IV,  2	ECM	5.3	0.01542
Hs.296638	PLAB	Prostate differentiation factor	Growth/differentiation factor	5.2	0.01215
Hs.119206	IGFBP7	Insulin-like growth factor-binding protein 7	Growth factor	5.1	0.00156
Hs.274230	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	ECM modification	5	0.00331
Hs.227571	RGS4	Regulator of G-protein signaling 4	G protein signaling	5	0.03675
Hs.28988	GLRX	Glutaredoxin	Homeostasis	4.9	0.01124
Hs.181304	13CDNA73	13CDNA73	?	4.8	0.03154
Hs.6682	SLC7A11	Solute carrier family 7	Transporter	4.7	0.03281
Hs.3337	L6	Transmembrane 4 superfamily member 1	Transmembrane protein	4.7	0.00982
Hs.81791	TNFRSF11B	Osteoprotegrin	Cytokine, antiapoptotic factor	4.7	0.01378
Hs.49500	KIAA0746	Kiaa0746	?	4.5	0.00844
Hs.161	CDH2	N-cadherin	Cell adhesion	4.3	0.00713
Hs.421993	NR2F1	Nuclear receptor subfamily 2, group F, member 1	Nuclear protein	4.3	0.02697
Hs.2050	PTX3	Pentaxin-related gene	? Inflammatory-induced	4.2	0.00974
Hs.250746	FLJ23091	FLJ23091	Transmembrane protein?	4.2	0.00603
Hs.32963	CDH6	Cadherin 6	Cell adhesion	4.1	0.03049
Hs.284235		EST	?	4.1	0.02497
Hs.37040	PDGFA	Platelet-derived growth factor  polypeptide	Growth factor	4.1	0.00185
Hs.359784	DSG2	Desmoglein 2	Cell adhesion	4.1	0.02619
Hs.168383	ICAM1	Intercellular adhesion molecule 1	Cell adhesion	4	0.00482
Hs.75586	CCND2	Cyclin D2	Cell cycle	4	0.00152
Hs.155591	FOXF1	Forkhead box F1	Transcription factors	4	0.00437
Hs.36793	FLJ23188	FLJ23188	Ion transporter	3.9	0.03346
Hs.1174	CDKN2A	Cyclin-dependent kinase inhibitor 2A	Cell cycle	3.9	0.01206
Hs.75297	FGF1	Fibroblast growth factor 1 (acidic)	Growth factor	3.7	0.03165
Hs.73793	VEGF	Vascular endothelial growth factor	Angiogenesis, growth factor	3.7	0.00574
Hs.169758	FLJ20245	FLJ20245	ECM	3.7	0.00674
Hs.1244	CD9	CD9	Cell adhesion	3.7	0.01399
Hs.75511	CTGF	Connective tissue growth factor	Growth factor	3.7	0.01874
Hs.86724	GCH1	GTP cyclohydrolase 1	Metabolism	3.5	0.01616
Hs.195851	ACTA2	Alpha smooth muscle actin	Cytoskeleton	3.5	0.00181
Hs.93764	CPA4	Carboxypeptidase A3	Protease/inhibitor	3.5	0.00964
Hs.182538	PLSCR4	Phospholipid scramblase 4	Membrane transporter	3.5	0.03293
Hs.82085	SERPINE1	Plasminogen activator inhibitor type 1(PAI1)	Protease/inhibitor	3.4	0.00992
Hs.170204	KIAA0551	KIAA0551	Serine/threonine kinase?	3.4	0.00298
Hs.9914	FST	Follistatin	Cytokine, growth factor	3.4	0.00439
Hs.42474	ABF-1	Activated B-cell factor-1	Myoblasts transcriptional repressor	3.3	0.00204
Hs.124969		EST	?	3.3	0.02376
Hs.91143	HJ1	Jagged 1 (notch ligand)	Growth /differentiation factor	3.3	0.00041
Hs.296941	HFL2	H factor (complement)-like 2	?	3.3	0.00749
Hs.78061	TCF21	Transcription factor 21	Transcription factor	3.2	0.01171
Hs.78061	KIAA0537	KIAA0537	?	3.2	0.02118
Hs.25348	FRLG	Follistatin-like 3	Growth factor	3.2	0.02012
Hs.170279	TFPI	Tissue factor pathway inhibitor	Protease/inhibitor	3.2	0.0065
Hs.75613	CD36	Collagen type I receptor	ECM	3.1	0.00202
Hs.99947	RTN1	Reticulon 1	Neuroendocrine-specific protein	3.1	0.00336
Hs.128291	PDE10A	Phosphodiesterase 10A	Metabolism	3.1	0.01891
