Accession no.	Unigene ID	Symbol	Description	Fold of change	Functional Group
R53942	Hs.246506	SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	28.43	Metabolism (566 genes)
AA598794	Hs.410037	CTGF	Connective tissue growth factor	?27.45	Metabolism (566 genes)
N35316	Hs.153952	NT5E	5?-nucleotidase, ecto (CD73)	?27.19	Metabolism (566 genes)
AA858175	Hs.535845	RUNX2	Runt-related transcription factor 2	25.8	Metabolism (566 genes)
AI262978	Hs.435974	MTHFD1	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	?20.70	Metabolism (566 genes)
H23235	Hs.74615	PDGFRA	Platelet-derived growth factor receptor, ? polypeptide	?20.51	Metabolism (566 genes)
AA156964	Hs.471200	NRP2	Neuropilin 2	19.22	Metabolism (566 genes)
AA425628	Hs.77578	USP9X	Ubiquitin specific protease 9, X-linked (fat facets-like,Drosophila)	17.23	Metabolism (566 genes)
AA136710	Hs.268849	GLO1	Glyoxalase I	?16.36	Metabolism (566 genes)
T51538	Hs.368592	SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	14.85	Metabolism (566 genes)
R55809	Hs.284122	WIF1	WNT inhibitory factor 1	31.12	Catalytic activity (399 genes)
N35316	Hs.153952	NT5E	5?-nucleotidase, ecto (CD73)	?27.19	Catalytic activity (399 genes)
AI262978	Hs.435974	MTHFD1	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	?20.70	Catalytic activity (399 genes)
H23235	Hs.74615	PDGFRA	Platelet-derived growth factor receptor, ? polypeptide	?20.51	Catalytic activity (399 genes)
AA156964	Hs.471200	NRP2	Neuropilin 2	19.22	Catalytic activity (399 genes)
AA425628	Hs.77578	USP9X	Ubiquitin specific protease 9, X-linked (fat facets-like,Drosophila)	17.23	Catalytic activity (399 genes)
AA136710	Hs.268849	GLO1	Glyoxalase I	?16.36	Catalytic activity (399 genes)
AA495936	Hs.389700	MGST1	Microsomal glutathione S-transferase 1	?15.68	Catalytic activity (399 genes)
AA487429	Hs.352018	TAP1	Transporter 1, ATP-binding cassette, subfamily B (MDR/TAP)	?14.88	Catalytic activity (399 genes)
T62048	Hs.458355	C1S	Complement component 1, s subcomponent	?13.35	Catalytic activity (399 genes)
R53942	Hs.246506	SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	28.43	Cell growth and/or maintenance (307 genes)
AA598794	Hs.410037	CTGF	Connective tissue growth factor	?27.45	Cell growth and/or maintenance (307 genes)
H13623	Hs.26139	EPS8	Epidermal growth factor receptor pathway substrate 8	?20.60	Cell growth and/or maintenance (307 genes)
H23235	Hs.74615	PDGFRA	Platelet-derived growth factor receptor, ? polypeptide	?20.51	Cell growth and/or maintenance (307 genes)
H06516	Hs.212838	A2M	?-2-macroglobulin	16.64	Cell growth and/or maintenance (307 genes)
AA487429	Hs.352018	TAP1	Transporter 1, ATP-binding cassette, subfamily B (MDR/TAP)	?14.88	Cell growth and/or maintenance (307 genes)
T51538	Hs.368592	SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	14.85	Cell growth and/or maintenance (307 genes)
