PS/E	PS/MMT	Gene	UniGene	Map	Description
7.127	9.804	VGLL1	Hs.9030	Xq26.3	Vestigial like 1 (Drosophila)
4.86	8.945		Hs.147613		Homo sapiens transcribed sequences
4.292	7.194		Hs.372225		Homo sapiens transcribed sequences
3.757	3.366	NPR1	Hs.438864	1q21-q22	Natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)
3.254	3.357	LOC221002	Hs.125293	10q11.21	CG4853 gene product
3.187	2.58	FAM20A	Hs.144633	17q24.3	Family with sequence similarity 20, member A
3.113	2.533				ESTs, weakly similar to JC5314 CDC28/cdc2-like kinase associating arginine-serine cyclophilin
2.854	3.476	WNT7A	Hs.72290	3p25	Wingless-type mouse mammary tumor virus integration site family, member 7A
2.789	3.011	THRB	Hs.203213	3p24.3	Thyroid hormone receptor ? [erythroblastic leukemia viral (v-erb-a) oncogene homologue 2, avian]
2.545	2.704		Hs.391828		Homo sapiens transcribed sequence with moderate similarity to protein NP_060265.1
2.379	3.736	PTGS1	Hs.88474	9q32-q33.3	Prostaglandin endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
2.363	2.013	LU	Hs.155048	19q13.2	Lutheran blood group (Auberger B antigen included)
2.315	2.977	PTGS1	Hs.88474	9q32-q33.3	Prostaglandin endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
2.277	2.748	PTGS1	Hs.88474	9q32-q33.3	Prostaglandin endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
2.255	2.01	CDH6	Hs.32963	5p15.1-p14	Cadherin 6, type 2, K-cadherin (fetal kidney)
2.24	3.697		Hs.201441	13	Homo sapiens cDNA FLJ11076 fis, clone PLACE1005077.
2.187	3.34	HUMPPA	Hs.78358	17q25.2	Paraneoplastic antigen
2.178	2.477	KIAA1554	Hs.195642	17q25.3	KIAA1554 protein
2.097	2.479		Hs.152422		Homo sapiens cDNA FLJ27210 fis, clone SYN03494
2.023	2.317		Hs.124776		Homo sapiens mRNA; cDNA DKFZp564N1116 (from clone DKFZp564N1116)
0.48	0.396	FGFR1	Hs.748	8p11.2-p11.1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
0.449	0.468	KIAA1025	Hs.435249	12q24.22	KIAA1025 protein
