Gene names (HUGO symbols)	Accession no.	Monocytes	Macrophages	imDCs	mDCs
TGF-[ induced, 68 kDa (TGFBI)	BC004972	-0.46	0.09	1.72	-1.34
Coagulation factor XIII A1 polypeptide (F13A1)	AF418272	-0.82	-0.55	2.2	-0.83
M-CSFR (CSFIR)	X03663	0.1	0.42	1.08	-1.59
Laminin  &#1;3 (LAMB3)	D37766	-1.52	0.19	1.87	-0.54
CD1A antigen (CD1A)	M28825	-1.1	-1.17	1.56	0.71
CCR1 (CCR1)	D10925	-0.06	0.67	0.52	-1.12
Rho GDI [ (ARHGDIB)	L20688	-0.45	-0.2	1.06	-0.41
p56Dok2 (DOK2)	AF034970	-0.4	-0.54	1.2	-0.26
ATP-binding cassette/MRP3 (ABCC3)	Y17151	-1	-0.45	1.26	0.18
Formin-like protein (FMNL1)	NM_005892	-0.42	-0.25	0.79	-0.12
Mannose receptor (MRC1)	X55635	-1.08	-0.28	1.11	0.25
AKAP12 A kinase anchor protein 12 (AKAP12)	AB003476	-0.84	-0.08	0.85	0.08
Chromosome 5 clone (CTC-224D3)	AC_008385	-0.89	-0.33	0.98	0.25
Ribosomal protein S16 (RPS16)	NM_001020	-1.24	-0.03	1.13	0.14
Mitochondrial gene (ND41)	AF382006	-0.43	-0.7	1	0.13
Monoglyceride lipase (MGLL)	AK025983	-1.35	0.14	-0.9	2.11
Activating transcription factor 3 (ATF3)	N39944	-0.29	0.28	-1.29	1.3
Diubiquitin (UBD)	AW270961	-1.35	-0.77	-0.17	2.3
Inhibitor of apoptosis protein-1 (MIHC)	AF070674	-0.33	-0.97	-0.55	1.85
Peripheral myelin protein 2 (PMP22)	AA128311	-0.54	0.27	-0.92	1.18
RGS1 (RGS1)	S59049	-0.1	-1.17	-0.70	1.34
Calmodulin 2 (CALM2)	BF671011	-1.63	-0.58	0.21	2
NA	NA	-0.53	-0.53	-0.34	1.4
Transgelin 2 (TAGLN2)	BE407460	-0.4	-0.26	-0.46	1.26
PA28 c (PSME2)	AA310524	-0.96	0.22	-0.46	1.2
CCR7 (CCR7)	L08176	0.42	-1.54	-0.18	1.3
Monoamine oxidase (MAOA)	M69226	-0.99	-0.79	0.2	1.58
UV radiation resistance-associated gene (UVRAG)	AB012958	-0.95	-0.7	0.28	1.37
NA	NA	-0.93	-0.33	0.09	1.17
Neuroepithelial cell transforming gene (NET1)	BF197249	-0.99	-0.64	0.26	1.16
Tubulin  &#1;5 (TUBB)	BC019924	-1.31	-0.08	0.35	1.04
di-N-acetyl-chitobiase (CTBS)	AW853098	-0.98	-0.43	0.34	1.06
TARC (CCL17)	NM_002987	-1.18	-1.52	1.03	1.17
Kunitz serine protease inhibitor (SP1NT2)	AB006534	-1.51	-0.81	0.92	1.4
Cyclin-dependent kinase inhibitor 1A (p21) (CDKN1A)	U09579	-1.2	-0.51	0.45	1.26
Fatty acid-binding protein 4 (FABP4)	AW631118	-0.54	-1	1.18	0.54
Mitochondrial isoleucine tRNA synthetase (FLJ10326)	AA262600	-0.9	-0.41	1.18	0.62
Cdc23 (CDC23)	BC017713	-0.88	-0.61	0.69	0.79
YEATS domain containing 2 (YEATS2)	AK022903	0.1	-1.32	1.01	0.46
CD4 antigen (CD4)	U47924	-1.09	-0.29	0.66	0.72
Interferon gamma receptor 2 (IGNGR2)	U05875	-0.98	-0.4	0.43	0.95
Synaptogyrin 2 (SYNGR2)	AA465253	-0.87	-0.51	0.56	0.82
KIAA0586 gene product (KIAA0586)	AB0I1158	-0.97	-0.4	0.47	0.91
WASP-interacting protein (WASPIP)	NM_003387	-0.65	-0.45	0.63	0.68
ARP2/3 subunit 4 (ARPC4)	R56649	-0.73	-0.29	0.67	0.35
M-ficolin (FCN1)	NM_002003	1.11	1.29	-1.48	-1.38
Solute carrier family 21 (SLCO1A2)	NM_005075	0.87	1.51	-1.38	-1.5
Kreisler maf-related leucine zipper homolog (MAFB)	NM_005461	1.65	1.06	0.08	-2.09
CD16a (FCGR3A)	X52645	0.64	2.02	-1.27	-1.39
ILT5 (LILRB3)	AF009644	0.37	1.49	-0.62	-1.23
Complement C3 (C3)	NM_000064	0.68	1.43	-1.32	-0.79
1-8U (IFITM3)	BE906728	1.34	0.75	-0.61	-1.48
ILT2 (LAIR1)	NM_002287	0.2	1.41	-0.76	-1.12
G-CSFR1 (CSF3R)	M59818	0.44	0.99	-1.03	-0.74
S100 calcium-binding protein A9 (S100A9)	X06233	0.53	0.82	-0.72	-0.95
