Gene	Chromosome Band
CD163	12p13
C3AR1	12p13
CLECSF2	12p13
C1RL	12p13
CD4	12p13
CDKN1B	12p13
PZP	12p13
KLRG1	12p13
GABARAPL1	12p13
CACNA1C	12p13
KLRB1	12p13
RPS27	12p13
HEBP1	12p13
PTMS	12p13
SCNN1A	12p13
TNFRSF7	12p13
PRH1	12p13
TNFRSF1A	12p13
PTPN6	12p13
M6PR	12p13
TEAD4	12p13
FBXL14	12p13
C1S	12p13
APOBEC1	12p13
MFAP5	12p13
AICDA	12p13
CREBL2	12p13
EMP1	12p13
KLRD1	12p13
A2M	12p13
SLC6A12	12p13
KLRC1	12p13
CD69	12p13
CLECSF6	12p13
DCP1B	12p13
RBP5	12p13
TMEM16B	12p13
CCND2	12p13
AKAP3	12p13
MLF2	12p13
PEX5	12p13
WNT5B	12p13
DYRK4	12p13
GRIN2B	12p13
DUSP16	12p13
LRP6	12p13
LTBR	12p13
RAD51AP1	12p13
FOXJ2	12p13
LOH12CR1	12p13
GSG1	12p13
NDUFA9	12p13
ENO2	12p13
GUCY2C	12p13
ATF7IP	12p13
SLC6A13	12p13
C12orf4	12p13
GPR19	12p13
RAD52	12p13
BCL2L14	12p13
FOXM1	12p13
DRPLA	12p13
OLR1	12p13
RAB6IP2	12p13
FKBP4	12p13
USP5	12p13
CHD4	12p13
KCNA1	12p13
NINJ2	12p13
NOL1	12p13
CDCA3	12p13
TULP3	12p13
CLSTN3	12p13
VAMP1	12p13
ZNF384	12p13
ACRBP	11q12
JARID1A	11q12
SLC2A3	11q12
KCNA5	11q12
PRR4	11q12
TAS2R14	11q12
GNB3	11q12
ETV6	11q12
LEPREL2	11q12
VWF	11q12
PHC1	11q12
SLC2A14	11q12
GDF3	11q12
CD9	11q12
CD6	11q12
SLC43A3	11q12
CTNND1	11q12
SERPING1	11q12
AGTRL1	11q12
GLYAT	11q12
MS4A1	11q12
STX3A	11q12
DTX4	11q12
SCGB2A1	11q12
MRPL16	11q12
CD5	11q12
PGA5	11q12
SLC22A6	11q12
VMD2	11q12
SLC43A1	11q12
INCENP	11q12
MS4A8B	11q12
FADS2	11q12
MED19	11q12
PRG2	11q12
CHRM1	11q12
MS4A2	11q12
MS4A5	11q12
FABP5	11q12
SCGB1A1	11q12
FADS1	11q12
NXF1	11q12
PRP19	11q12
SLC3A2	11q12
RBM21	11q12
FEN1	11q12
EEF1G	11q12
BSCL2	11q12
MS4A6E	11p15
MS4A6A	11p15
MS4A7	11p15
UBE2L6	11p15
YPEL4	11p15
HRASLS3	11p15
RARRES3	11p15
MS4A4A	11p15
ROM1	11p15
SYT7	11p15
SLC15A3	11p15
SLC22A9	11p15
LPXN	11p15
RAB3IL1	11p15
OSBPL5	11p15
IFITM3	11p15
TM4SF7	11p15
PSMA1	11p15
IFITM2	11p15
ZNF143	11p15
SOX6	11p15
PARVA	11p15
UBQLN3	11p15
LMO1	11p15
PSMD13	11p15
LDHC	11p15
TH	11p15
ODF3	11p15
HPX	11p15
IGF2	11p15
CTSD	11p15
LSP1	11p15
TSG101	11p15
ZNF195	11p15
TUB	11p15
HRMT1L3	11p15
DEAF1	11p15
SCUBE2	11p15
PRKCDBP	11p15
PPFIBP2	11p15
TEAD1	11p15
STK33	11p15
WEE1	11p15
SLC25A22	11p15
MLSTD2	11p15
TNNI2	11p15
C11 or f13	11p15
NRIP3	11p15
DUSP8	11p15
NELL1	11p15
USP47	11p15
NUP98	11p15
KCNC1	11p15
TRIM3	11p15
SLC22A1LS	11p15
NAV2	11p15
PHEMX	11p15
RNH	11p15
CD151	11p15
PNPLA2	11p15
APBB1	11p15
SLC22A18	11p15
C11 or f15	11p15
MYOD1	11p15
AMPD3	11p15
HBE1	11p15
CHRNA10	11p15
EIF4G2	11p15
ABCC8	11p15
RPL27A	11p15
TPH1	11p15
PHLDA2	11p15
ZNF214	11p15
DKK3	11p15
TAF10	11p15
CCKBR	11p15
C11 or f17	11p15
SLC6A5	11p15
CSRP3	11p15
SH2BP1	11p15
EIF3S5	11p15
GTF2H1	11p15
MRPL23	11p15
CDKN1C	11p15
TRIM66	11p15
HTATIP2	11p15
RRM1	11p15
PKP3	11p15
LRDD	11p15
ST5	11p15
MRVI1	11p15
MUC6	11p15
BET1L	11p15
C11 or f31	11p15
B3GAT3	11p15
ASRGL1	11p15
TAF6L	11p15
TCN1	11p15
STX5A	11p15
SSRP1	11p15
TNKS1BP1	11p15
SCGB2A2	11p15
DDB1	11p15
C11 or f9	11p15
SLC22A8	11p15
ZDHHC5	11p15
OSBP	11p15
XLKD1	11p15
LDHA	11p15
H19	11p15
SAA4	11p15
SAA2	11p15
SAA1	11p15
IFITM1	11p15
ADM	11p15
ZDHHC13	11p15
TRIM22	11p15
ARNTL	11p15
SMPD1	11p15
IRF7	11p15
HPS5	11p15
CARS	11p15
RNF141	11p15
TSSC4	11p15
PLEKHA7	11p15
DCHS1	11p15
AP2A2	11p15
MRPL17	11p15
HRAS	11p15
CALCB	11p15
PTH	11p15
KCNQ1DN	11p15
NUCB2	11p15
COPB	11p15
CALCA	11p15
PDE3B	11p15
TRIM6	11p15
TNNT3	11p15
MUC5B	11p15
FXC1	11p15
TALDO1	11p15
STIM1	11p15
ARFIP2	11p15
TOLLIP	11p15
ILK	11p15
PIK3C2A	11p15
EPS8L2	11p15
INS	11p15
USH1C	11p15
