Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d  FC ± SEM	1.5 mos  FC ± SEM	6 mos  FC ± SEM	Gene sequence
NM_011674	UDP galactosyltransferase 8A	Ugt8a	N.C.	-2.2 ± 0.4	N.C.	N.C.	1
NM_009286	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 2	Sult2a2	N.C.	-2.5 ± 0.4	N.C.	N.C.	2
BQ177195	Superoxide dismutase 2, mitochondrial	Sod2	N.C.	-2.8 ± 0.5	N.C.	N.C.	3
BB166616	peroxiredoxin 1	Prdx1	N.C.	-1.5 ± 0.4	N.C.	N.C.	4
BB007036	Thioredoxin domain containing 5	Txndc5	-1.8 ± 0.4	N.C.	N.C.	N.C.	5
BM247599	Catalase	Cat	-3.9 ± 0.7	N.C.	N.C.	N.C.	965
BI150149	microsomal glutathione S-transferase 1	Mgst1	N.C.	-2.7 ± 0.4	N.C.	N.C.	1014
BC001991	selenoprotein P, plasma, 1	Sepp1	N.C.	-1.6 ± 0.4	N.C.	N.C.	1141
AB034693	endomucin		N.C.	N.C.	N.C.	-1.7 ± 0.4	1176
NM_008522	lactotransferrin	Ltf	N.C.	N.C.	-1.9 ± 0.4	N.C.	1750
