Unigene ID	Gene Name	Description	Map	Avg. tumor/ Avg. mucosa
Hs.936	SLC34A1	solute carrier family 34 (sodium phosphate), member 1	5q35	102.7404
Hs.196384	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1q25.2-q25.3	17.7462
Hs.194680	WISP1	WNT1 inducible signaling pathway protein 1	8q24.1-q24.3	13.4118
Hs.336046	IL13RA2	interleukin 13 receptor, alpha 2	Xq13.1-q28	12.4959
Hs.9029	KRT23	keratin 23 (histone deacetylase inducible)	17q21.2	12.3427
Hs.170673	RDH-E2	retinal short chain dehydrogenase reductase	8q12.1	12.3333
Hs.375129	MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)	11q22.3	11.5986
Hs.397050	PADI4	peptidyl arginine deiminase, type IV	1p36.13	10.7222
Hs.436020	DIO2	deiodinase, iodothyronine, type II	14q24.2-q24.3	10.0870
Hs.212584	KIAA1199	KIAA1199 protein	15q	9.8351
Hs.234545	CDCA1	cell division cycle associated 1	1q23.2	9.5442
Hs.63931	DACH	dachshund homolog (Drosophila)	13q22	9.3871
NA	T1A-2	Lung type-I cell membrane-associated glycoprotein	NA	9.1606
Hs.23582	TACSTD2	tumor-associated calcium signal transducer 2	1p32-p31	8.9522
Hs.413924	CXCL10	chemokine (C-X-C motif) ligand 10	4q21	8.9444
Hs.307734	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	3q25.1-q25.2	8.6189
Hs.28792	NA	CDNA FLJ11041 fis, clone PLACE1004405.	NA	8.1717
Hs.88523	C13orf3	chromosome 13 open reading frame 3	13q12.11	8.0300
Hs.404741	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	7p15-p14	7.7910
Hs.232115	COL1A2	collagen, type I, alpha 2	7q22.1	7.5189
Hs.345908	TSC	hypothetical protein FLJ20607	12q24.23	7.4627
Hs.75765	CXCL2	chemokine (C-X-C motif) ligand 2	4q21	6.7528
Hs.424414	MSX1	msh homeo box homolog 1 (Drosophila)	4p16.3-p16.1	6.5342
Hs.512234	IL6	interleukin 6 (interferon, beta 2)	7p21	6.4896
Hs.385870	TDGF1	teratocarcinoma-derived growth factor 1	3p21.31	6.4708
Hs.512643	AZGP1	alpha-2-glycoprotein 1, zinc	7q22.1	6.3419
Hs.44532	UBD	ubiquitin D	6p21.3	6.3072
Hs.28465	NA	Clone IMAGE:5263527, mRNA	NA	6.1456
Hs.287472	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	2q14	5.9710
Hs.99472	NA	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)	10	5.6494
Hs.97199	C1QR1	complement component 1, q subcomponent, receptor 1	20p11.22	5.6000
Hs.83169	MMP1	matrix metalloproteinase 1 (interstitial collagenase)	11q22.3	5.5809
Hs.306339	SRPUL	sushi-repeat protein	Xq21.33-q23	5.3457
Hs.12680	NA	CDNA FLJ10196 fis, clone HEMBA1004776.	5	5.2426
Hs.404	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	9p22	5.2136
Hs.103755	RIPK2	receptor-interacting serine-threonine kinase 2	8q21	4.9743
Hs.172652	ARHGAP11A	similar to human GTPase-activating protein	15q13.2	4.7638
Hs.326725	FLJ22624	FLJ22624 protein	13q21.33	4.3905
Hs.421496	TGFBI	transforming growth factor, beta-induced, 68kDa	5q31	4.3595
Hs.315167	MGC5528	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	8q24.12	4.3216
Hs.279611	DMBT1	deleted in malignant brain tumors 1	10q25.3-q26.1	4.2513
Hs.153752	CDC25B	cell division cycle 25B	20p13	4.2503
Hs.1640	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	3p21.1	4.1609
Hs.398111	LOC93081	hypothetical protein BC015148	13q33.1	4.1409
Hs.23960	CCNB1	cyclin B1	5q12	4.0726
Hs.105689	LTBP2	latent transforming growth factor beta binding protein 2	14q24	4.0209
Hs.385913	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	1q21.3	4.0134
Hs.115175	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	2q24.2	3.9937
NA	ETL	EGF-TM7-latrophilin-related protein	NA	3.9167
Hs.344378	C20orf97	chromosome 20 open reading frame 97	20p13-p12.2	3.8951
Hs.2785	KRT17	keratin 17	17q12-q21	3.8800
Hs.270845	KIF23	kinesin family member 23	15q22.31	3.8322
Hs.72550	HMMR	hyaluronan-mediated motility receptor (RHAMM)	5q33.2-qter	3.7838
Hs.69771	BF	B-factor, properdin	6p21.3	3.7791
Hs.77274	PLAU	plasminogen activator, urokinase	10q24	3.7092
Hs.362806	GPR116	G protein-coupled receptor 116	6p21.1	3.6900
Hs.77783	PKMYT1	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	16p13.3	3.6662
Hs.82353	PROCR	protein C receptor, endothelial (EPCR)	20q11.2	3.6243
Hs.384944	SOD2	superoxide dismutase 2, mitochondrial	6q25.3	3.6030
Hs.94865	TEAD4	TEA domain family member 4	12p13.2-p13.3	3.5609
Hs.451698	NA	Skin-specific protein (xp32) mRNA, partial cds	NA	3.5193
Hs.121028	ASPM	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	1q31	3.5137
Hs.421956	Spc25	kinetochore protein Spc25	2q31.1	3.4174
Hs.3416	ADFP	adipose differentiation-related protein	9p22.1-p21.3	3.3349
Hs.1695	MMP12	matrix metalloproteinase 12 (macrophage elastase)	11q22.3	3.3033
Hs.109655	SCML1	sex comb on midleg-like 1 (Drosophila)	Xp22.2-p22.1	3.2903
Hs.75596	IL2RB	interleukin 2 receptor, beta	22q13	3.2381
Hs.83942	CTSK	cathepsin K (pycnodysostosis)	1q21	3.2066
Hs.294088	GAJ	GAJ protein	4q31.3	3.2019
NA	CELL	Carboxyl ester lipase-like (bile salt-stimulated lipase-like)	NA	3.1347
Hs.193124	PDK3	pyruvate dehydrogenase kinase, isoenzyme 3	Xp22.13	3.0803
Hs.131729	LOC85865	hypothetical protein BC004923	7q21.2	3.0490
Hs.153203	MDFI	MyoD family inhibitor	6p21	3.0448
Hs.429180	EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	20pter-q12	3.0376
Hs.160871	PTPRO	protein tyrosine phosphatase, receptor type, O	12p13.3-p13.2	3.0342
Hs.5199	HSPC150	HSPC150 protein similar to ubiquitin-conjugating enzyme	1q32.1	3.0303
Hs.8345	MGC4308	hypothetical protein MGC4308	3q12.3	3.0270
Hs.381189	CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	7p15.2	3.0202
Hs.77448	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	1p36	2.9849
Hs.273344	DKFZP564O0463	DKFZP564O0463 protein	8q22.3	2.9844
Hs.54483	NMI	N-myc (and STAT) interactor	2p24.3-q21.3	2.9747
Hs.343667	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	6p21.1-p12.1	2.9385
Hs.458414	IFITM1	interferon induced transmembrane protein 1 (9-27)	11p15.5	2.9058
Hs.445977	GTF3A	general transcription factor IIIA	13q12.3-q13.1	2.8339
Hs.169840	TTK	TTK protein kinase	6q13-q21	2.8243
Hs.131924	GPR65	G protein-coupled receptor 65	14q31-q32.1	2.7853
