Gene	location on chromosome	Putative function	UniGene	Meana	SDb	P	No. of cases	Fold change
Keratin 4 (KRT4)	12q12–q13	Cytoskeleton	Hs.3235	?2.67	2.34	0.0001	19	0.16
Transglutaminase 3 (TGM3)	20q11.2	Protein modification	Hs.2022	?2.28	1.62	<0.0001	17	0.21
Cystatin A (stefin A) (CSTA)	3q21	Proteinase inhibitor	Hs.2621	?1.94	1.74	0.0001	19	0.26
NICE-1 protein (NICE-1)	1q21	Epidermal differentiation	Hs.110196	?1.90	1.78	0.0002	19	0.27
Small proline-rich protein SPRK (SPRK)	1q21–q22	Cross-linked envelope protein of keratinocytes	Hs.46320	?1.86	1.94	0.0006	19	0.28
FOS-like antigen 1(FOSL1)	11q13	Positive control of cell proliferation/cellular defense response	Hs.283565	?1.81	1.49	0.0001	19	0.29
Uroplakin 1A (UPK1A)	19q13.1	Cell-surface protein/regulation of cell development/activation/growth/motility	Hs.159309	?1.77	1.48	0.0001	19	0.29
Epithelial membrane protein 1 (EMP1)	12p12.3	Cell death/oncogenesis/cell proliferation	Hs.79368	?1.70	1.53	0.0001	19	0.31
SPINK5	5q32	Serine protease inhibitor	Hs.331555	?1.69	1.46	0.0001	19	0.31
Cystatin B (stefin B) (CSTB)	21q22.3	Protease inhibitor	Hs.695	?1.57	1.56	0.0003	19	0.34
Adipose specific 2 (APM2)	10q23.2	Unknown	Hs.74120	?1.55	1.14	<0.0001	19	0.34
Proline rich 4 (lacrimal) (PROL4)	12p13	Extracellular processes	Hs.45033	?1.52	1.51	0.0003	19	0.35
ARS component B (ARS)	8q24.3	Cell activation/cell adhesion	Hs.103505	?1.48	1.03	<0.0001	19	0.36
Kallikrein 13 (KLK13)	19q13.3–q13.4	Serine protease	Hs.165296	?1.42	1.48	0.0006	19	0.37
Calponin 3, acidic (CNN3)	1p22–p21	Cytoskeleton	Hs.194662	?1.41	1.1	<0.0001	19	0.38
S100A9	1q21	Calcium binding/signal transduction/extracellular space	Hs.112405	?1.40	1.46	0.0005	19	0.38
Betacellulin (BTC)	4q13–q21	Positive control of cell proliferation	Hs.73105	?1.40	1.3	0.0002	19	0.38
Hypothetical protein EDAG-1 (EDAG-1)	9q22.32	Transforming gene, associated with development of tumor	Hs.176626	?1.34	1.29	0.0003	19	0.4
Periplakin (PPL)	16p13.3	Cytoskeleton	Hs.74304	?1.28	1.38	0.0008	19	0.41
Early growth response 1 (EGR1)	5q31.1	Transcriptional regulator/DNA binding	Hs.326035	?1.21	1.33	0.0009	19	0.43
Adenomatous polyposis coli like (APCL)	19p13.3	?-Catenin binding/tumor suppressor/signal transduction	Hs.20912	?1.18	1.3	0.0009	19	0.44
Kallikrein 11 (KLK11)	19q13.3–q13.4	Serine-type peptidase	Hs.57771	?1.14	1.23	0.0008	19	0.45
HPGD	4q34–q35	Inactivation of prostaglandins/enzyme/electron transporter	Hs.77348	?1.14	1.26	0.001	19	0.45
ASE-1	19q13.3	rDNA transcription	Hs.211956	?1.08	1.13	0.0006	19	0.47
DUSP5=dual specificity phosphatase 5	10q25	Heat shock response/protein dephosphorylation	Hs.2128	?1.08	1.01	0.0002	19	0.47
RAR-beta=retinoic acid receptor, ? (BARB)	3p24	Epidermal banding/retinoic acid receptor/oncogenesis	Hs.171495	?1.07	1.07	0.0004	19	0.48
Enoplakin (EVPL)	17q25	Epidermal differentiation and maintenance	Hs.25482	?1.07	0.89	0.0001	19	0.48
Extracellular matrix protein 1 (ECM)	1q21	Extracellular matrix	Hs.81071	?1.01	0.98	0.0003	19	0.5
