Gene ID	Gene name	Gene symbol	Function	Chromosome location	Expression	CpG island	ALUs	Methylation
NM_001165	Baculoviral IAP repeat-containing protein 3	BIRC3	Apoptosis	11q22.1	Yes	Yes	No	U
NM_001012270	Hypothetical protein xp_037199	BIRCS	Antiapoptosis	17q.25.3	Yes	Yes	Yes	NA
NM_024886	Chromosome 10 open reading frame 95	C10orf95	Unknown	10q24.32	Yes	Yes	Yes	NA
NM_004591	Small inducible cytokine subfamily a	CCL2O	Inflammatory response	2q36.3	No data	NA	NA	NA
NM_001831	Clusterin	CLU	Apoptosis	8p21.1	Yes	No	NA	NA
NM_000088	Alpha 1 type I collagen preproprotein	COL1A1	Extracellular matrix structural constituen	17q21.33	Yes	Yes	No	M
AK000928	cAMP responsive element binding protein-like 1	CREBL1	Transcription factor	6p2l.32	No data	NA	NA	NA
NM_001901	Connective tissue growth factor	CTGF	Regulation of cell growth	6q23.2	Yes	Yes	No	U
NM_018947	Cytochrome c	CYCS	Apoptosis	7p15.3	Yes	Yes	No	U
NM_001924	Growth arrest and DNA damage–inducible, alpha	GADD45A	DNA repair	1p31.2	Yes	Yes	No	U
NM_004864	Prostate differentiation factor	GDF15	Growth factor activity	19p13.11	Yes	Yes	No	M
AF039067	Anti-death protein	IER3	Apoptosis	6p21.33	Yes	Yes	Yes	NA
NM_004970	Insulin-like growth factor binding protein, acid labile subunit	IGFALS	Insulin-like growth factor binding	16p13.3	No exp	NA	NA	NA
NM_000596	Insulin-like growth factor binding protein 1	IGFBP1	Regulation of cell growth	7p13	Yes	Yes	No	M
NM_000598	Insulin-like growth factor binding protein 3	IGFBP3	Regulation of cell growth, apoptosis	7p14-p12	Yes	Yes	No	M
NM_000584	Interleukin 8	IL8	Inflammatory response	4q13.3	No exp	NA	NA	NA
NM_002192	Inhibin beta a subunit precursor	INHBA	Tumor suppressor, apoptosis	2q35	No exp	NA	NA	NA
NM_020529	Nuclear factor of kappa light polypeptide gene enhancer in B cell inhibitor, alpha	NFKBIA	Apoptosis	14q13	Yes	Yes	No	U
NM_000270	Purine nucleoside phosphorylase	NP	DNA modification	14q11.2	Yes	Yes	No	U
NM_002658	Plasminogen activator, urokinase	PLAU	Signal transduction	10q.22.2	Yes	Yes	No	M
NM_000331	Serum amyloid a1	SAA1	Acute phase response	11p15.1	No exp	NA	NA	NA
NM_016521	Transcription factor Dp family, member 3	TFDP3	Cell cycle, transcription factor	Xq26.2	No data	NA	NA	NA
NM_006528	Tissue factor pathway inhibitor 2	TFPI2	Blood coagulation	7q21.3	Nox exp	NA	NA	NA
NM_004613	Transglutaminase 2	TGM2	Protein signaling pathway	20q11.23	Yes	Yes	No	U
NM_013452	Variable charge	VCX3A	Neurogenesis	Xp22.31	No data	NA	NA	NA
AC006070.1.1,161987.6	Ensembl genscan prediction	NA	NA	NA	No data	NA	NA	NA
ENSG00000104620	Ensembl prediction	NA	NA	NA	No data	NA	NA	NA
BC010467	Unknown	NA	NA	NA	No data	NA	NA	NA
