Accession number	Gene name	Gene functiona	Early LVH	Late LVH
NM_031646	Receptor (calcitonin) activity-modifying protein 2	G-protein-coupled receptor protein-signaling pathway	-1.1	-0.9
AI715202	RT1 class II, locus Bb	Immune response	-0.8	-0.8
NM_019170	Carbonyl reductase 1	Metabolism	-0.6	-0.8
BF555171	Transcribed locus	Unknown	-0.5	-0.8
NM_031509	Glutathione S-transferase A3	Metabolism	-0.8	-0.7
AI169331	Glutathione S-transferase, mu 2	Metabolism	-0.2	-0.7
NM_031125	Syntaxin 4A	Intracellular transport	-0.3	-0.6
NM_019174	Carbonic anhydrase 4	Metabolism	0.2	-0.6
X02904	Glutathione S-transferase, pi 2	Metabolism	-0.4	-0.6
U31884	Dopa decarboxylase	Catecholamine biosynthesis	-0.6	-0.6
NM_130780	Alcohol dehydrogenase 1 (class I)	Metabolic process	-0.1	-0.6
BM388715	Syntaxin-binding protein 1	Intracellular transport	-0.3	-0.6
D13921	Acetyl-coenzyme A acetyltransferase 1	Ketone body metabolism	-0.3	-0.6
NM_131914	Caveolin 2	Endocytosis	-0.3	-0.6
BI285449	Caveolin, caveolae protein 1	Protein oligomerization	-1	-0.6
AB020726	Podocalyxin-like	Negative regulation of cell adhesion	-0.5	-0.6
BI285959	Retinoid X receptor-a	Cardiac muscle cell proliferation	0	-0.6
NM_022283	Allograft inflammatory factor 1	Calcium ion biding	0.3	-0.6
Y00480	RT1 class II, locus Da	Immune response	-0.6	-0.6
