Gene name	Accession number	Fold overexpression in 4Nversus 2N cellsa	Function
DNMT1 (DNA cytosine-5-methyltransferase 1)	X63692	1.7	DNA replication/repair (n = 18)
mKI67	X65550	5.4	DNA replication/repair (n = 18)
RPA3 (replication protein A 14 kd subunit)	L07493	2	DNA replication/repair (n = 18)
RRM1 (M1 subunit of ribonucleotide reductase)	X59543	2.3b	DNA replication/repair (n = 18)
RRM2 (RR2 small subunit of ribonucleotide reductase)	X59618	1.9	DNA replication/repair (n = 18)
DHFR	J00139	2.2	DNA replication/repair (n = 18)
RFC4 (replication factor C 37 kd subunit)	M87339	2.3	DNA replication/repair (n = 18)
RFC3 (replication factor C 38 kd subunit)	L07541	1.8	DNA replication/repair (n = 18)
POLA2 (DNA polymerase ?-subunit p70)	L24559	1.5	DNA replication/repair (n = 18)
PRIM1 (DNA primase subunit p49)	X74330	2	DNA replication/repair (n = 18)
PRIM2A (DNA primase subunit p58)	X74331	1.9	DNA replication/repair (n = 18)
TK1 (thymidine kinase)	M15205	1.6	DNA replication/repair (n = 18)
MTHFR	J04031	1.9	DNA replication/repair (n = 18)
RAD21	D38551	1.5	DNA replication/repair (n = 18)
PRKDC	U47077	1.5	DNA replication/repair (n = 18)
DUT (dUTP pyrophosphatase)	U31930	1.5	DNA replication/repair (n = 18)
Guanosine 5? monophosphate synthase	HG4716–HT5158	1.5	DNA replication/repair (n = 18)
MLH1	U07418	1.5	DNA replication/repair (n = 18)
CDC7L1	AB003698	1.8	G1-S transition (n = 8)
E2F1	S49592	1.5	G1-S transition (n = 8)
PCNA	M15796	3	G1-S transition (n = 8)
MCM3	D38073	1.8	G1-S transition (n = 8)
MCM5	X74795	1.5	G1-S transition (n = 8)
MCM4	X74794	1.5	G1-S transition (n = 8)
MCM7	D55716	1.9	G1-S transition (n = 8)
RB1	L41870	1.5	G1-S transition (n = 8)
CDK1	X05360	5.7	G2-M transition (n = 9)
CCNB	M25753	5.1	G2-M transition (n = 9)
CDC25C	M34065	4.6	G2-M transition (n = 9)
CKS1 (CDC28 protein kinase 1)	X54941	3.2	G2-M transition (n = 9)
CKS2 (CDC28 protein kinase 2)	X54942	2.6	G2-M transition (n = 9)
CDKN3	L25876	4	G2-M transition (n = 9)
CCNA	X51688	3.8	G2-M transition (n = 9)
CCNF	Z36714	3.2	G2-M transition (n = 9)
FOXM1 (hepatocyte nuclear factor3/forkhead homolog 11A)	U74612	5.4	G2-M transition (n = 9)
Mitosis (n = 42)	NA	NA	G2-M transition (n = 9)
Chromosome segregation (n = 22)	NA	NA	G2-M transition (n = 9)
CENPF	U30872	5	G2-M transition (n = 9)
HKSP (kinesin-like spindle protein)	U37426	5.1	G2-M transition (n = 9)
KNSL1 (kinesin-related protein)	X85137	2.8	G2-M transition (n = 9)
KNSL6 (mitotic centromere-associated kinesin)	U63743	4.3	G2-M transition (n = 9)
KNSL5 (mitotic kinesin-like protein 1)	X67155	5.2	G2-M transition (n = 9)
CENPE	Z15005	3	G2-M transition (n = 9)
KIAA0042 (kinesin superfamily member)	D26361	4.2	G2-M transition (n = 9)
SMC1L1	D80000	2.2	G2-M transition (n = 9)
KIAA0159 (SMC-associated protein)	D63880	2.1	G2-M transition (n = 9)
TOP2A (topoisomerase II ?)	J04088	4.7	G2-M transition (n = 9)
? Topoisomerase (truncated form)	L47276	7	G2-M transition (n = 9)
TOPBP1 (topoisomerase ?-binding protein 1)	D87448	1.9	G2-M transition (n = 9)
p55CDC20	U05340	3.8b	G2-M transition (n = 9)
TTK	M86699	3.5	G2-M transition (n = 9)
PLK (polo-like kinase)	U01038	3	G2-M transition (n = 9)
STK18	Y13115	1.9	G2-M transition (n = 9)
E2-EPF (ubiquitin carrier protein)	M91670	2.8	G2-M transition (n = 9)
NEK2	Z29066	6.8b	G2-M transition (n = 9)
UBE2C (cyclin-selective ubiquitin carrier protein)	U73379	7.6	G2-M transition (n = 9)
MPP1 (M-phase phosphoprotein 1)	L16782	2.4	G2-M transition (n = 9)
CSE1L (chromosome segregation 1)	U33286	1.8	G2-M transition (n = 9)
STMN1 (stathmin 1)	M31303	1.5	G2-M transition (n = 9)
Chromatin organization (n = 20)	NA	NA	G2-M transition (n = 9)
CENP-A	U14518	5.0b	G2-M transition (n = 9)
HMG-2	X62534	2.9	G2-M transition (n = 9)
LMNB	M34458	3.7	G2-M transition (n = 9)
KIAA0101 (H3 homologue)	D14657	2.5	G2-M transition (n = 9)
KIAA0074 (condensin XCAPH)	D38553	2.4	G2-M transition (n = 9)
TUBB1 (?-Tubulin clone m40)	J00314	1.9	G2-M transition (n = 9)
Tubulin ?	HG4322–HT4592	1.5	G2-M transition (n = 9)
Tubulin ? 2	HG1980–HT2023	2.3	G2-M transition (n = 9)
