HG-U133A	Gene	Localization	GenBank	Description	Function
204886_AT	PLK4, STK18	AL043646	4q27-q28	Polo-like kinase 4 oder serine/threonine kinase 18	Signal transduction
201614_S_AT	TIP49	NM_003707	3q21	TATA binding protein–interacting protein 49 kDa	Signal transduction
206445_S_AT	IR1B4	NM_001536	19q13.3	Interferon receptor 1–bound protein	Signal transduction
213951_S_AT	TCFL4	BE964655	17q21.1	Transcription factor-like4	Transcription
205296_AT	RBL1	AL365505		Retinoblastoma-like protein 1	Transcription
209053_S_AT	KIAA1090	AF083389	4p16.3	Wolf-Hirschhorn syndrome candidate 1	Transcription
204531_S_AT	BRCA1	NM_007295	17q21	Breast cancer 1, early onset	Transcription
201755_AT	CDC46	NM_006739	22q13.1	Cell division cycle 46	Nuclear molecules
212023_S_AT	MKI67	BF001806	10q25-qter	Antigen of monoclonal antibody Ki-67	Nuclear molecules
212949_AT	BRRN1	D38553	2p11.1	Barren homolog (Drosophila)	Nuclear molecules
202726_AT	LIG1	NM_000234	19q13.2-q13.3	Ligase I, DNA, ATP-dependent	Nuclear molecules
205395_S_AT	MRE11A	NM_005590	11q21	Meiotic recombination (S. cerevisiae) 11 homolog A	Nuclear molecules
203975_S_AT	CAF1	BF000239	19p13.3	Chromatin assembly factor 1 (p150)	Nuclear molecules
221521_S_AT	HSPC037	BC003186	16q24.1	DNA replication complex GINS protein PSF2	Nuclear molecules
211952_AT	KPNB3	NM_002271	13q32.1-13q32.3	Karyopherin (importin) beta 3	Nuclear molecules
203422_AT	POLD	NM_002691	19q13.3	DNA directed Polymerase delta 1	Nuclear molecules
210410_S_AT	MSH5	AF034759	6p21.3	MutS (E. coli) homolog 5	Nuclear molecules
204324_S_AT	GOLPH4	NM_014498	3q26	Golgi phosphoprotein4	Membrane
33494_AT	ETF-QO	S69232	4q32-q35	Electron transfer flavoprotein-ubiquinone oxidoreductase	Metabolism
204614_AT	SERPINB2	NM_002575	18q21.3	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	Metabolism
200935_AT	CC1QR	NM_004343	19p13.3-p13.2	Calreticulin	Metabolism
204875_S_AT	GMD	NM_001500	6p25	GDP-mannose 4,6-dehydratase	Metabolism
204514_AT	DPH2	NM_001384	1p34	Diptheria toxin resistance protein required for diphthamide biosynthesis-like 2	Unclassified
219307_AT	C6ORF210	NM_020381	6	Candidate tumor suppressor protein	Unclassified
206016_AT	JM1	NM_014008	Xp11.23	JM1 protein unknown function	Unclassified
218741_AT	MGC861	NM_024053	22q13.2	Proliferation associated nuclear element 1	Unclassified
219174_AT	CMG1	NM_025103	9p13.3	Coiled-coil domain containing 2	Unclassified
221758_AT	R30923_1	BC003700	19p13.12	Hypothetical gene MGC19595	Hypothetical proteins
222250_S_AT	P434B168	AK001363	1p36.13-q42.3	Hypothetical protein DKFZP434B168	Hypothetical proteins
219818_S_AT	FLJ10206	NM_018025	19q13.1	Hypothetical protein FLJ10206	Hypothetical proteins
213008_AT	FLJ10719	BG478677	15	Hypothetical protein FLJ10719	Hypothetical proteins
218568_AT	FLJ10842	NM_018238	7q34	Hypothetical protein FLJ10842	Hypothetical proteins
219242_AT	FLJ13386	NM_025180	unknown	Hypothetical protein FLJ13386	Hypothetical proteins
222369_AT	FLJ13848	AW971254	11	Hypothetical protein FLJ13848	Hypothetical proteins
45633_AT	FLJ13912	AI421812	16	Hypothetical protein FLJ13912	Hypothetical proteins
218897_AT	MGC10993	NM_030577	2q14.1	Hypothetical protein MGC10993	Hypothetical proteins
219000_S_AT	MGC5528	NM_024094	8q24.12	Hypothetical protein MGC5528	Hypothetical proteins
