Gene name	NCBI Genebank accession no.	Fold change 4 h	12 h	24 h
Inhba	NM_008380.1	1.56	1.28	1.16
Vcl	NM_009502.2	1.68	1.02	1.08
Itga5	NM_010577.1	1.6	1.08	1.03
Cyp1b1	NM_009994.1	1.66	1.24	1.27
Vcl	NM_009502.2	1.7	0.98	0.98
Ctgf	NM_010217.1	2.64	1.03	0.88
Tmepai	BC036995.1	1.85	1.36	1.05
Errfi1	NM_133753.1	1.62	0.97	0.87
Etv5	NM_023794.2	1.62	1	0.88
Hmox1	NM_010442.1	1.56	0.99	0.94
Slc20a1	NM_015747.1	1.52	1.16	0.95
Cox2	X98792.1	2.48	1.52	1.19
Dtr	NM_010415.1	1.98	1.38	1.16
Tnfrsf12a	NM_013749.1	2.19	1.56	1.11
Cd44	XM_130536.1	1.85	1.21	1.05
Gnb4	NM_013531.1	1.55	1.24	1.04
Txnrd1	NM_015762.1	1.58	1.31	0.95
N4wbp4	BC022122.1	1.54	1.21	1.03
Fosl1	NM_010235.1	1.54	1.3	1.11
Hmga2	NM_003483.3	1.94	1.53	1.08
Timp1	NM_011593.1	1.65	1.66	1.12
Timp1	M59906.1	1.45	1.56	1.17
Snai1	NM_011427.1	1.72	1.53	1.32
Wnt2	BC026373.1	2.71	1.97	1.45
Id1	U43884.1	1.94	1.91	2.06
Pcolce2	NM_029620.1	1.21	1.64	1.42
Id2	XM_176747.1	1.76	2.34	2.23
Id3	NM_008321.1	1.54	1.72	1.88
