Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
NM_010113	epidermal growth factor	Egf	N.C.	-1.7 ± 0.4	N.C.	N.C.	1
BB336546	Rap guanine nucleotide exchange factor (GEF) 1	Rapgef1	N.C.	-1.6 ± 0.4	N.C.	N.C.	2
BB129888	neogenin	Neo1	N.C.	-2.7 ± 0.4	N.C.	N.C.	3
AV291009	neuropilin 1	Nrp1	-2.9 ± 0.4	N.C.	N.C.	N.C.	4
NM_016873	WNT1 inducible signaling pathway protein 2	Wisp2	-2.1 ± 0.4	N.C.	N.C.	N.C.	7
NM_018865	WNT1 inducible signaling pathway protein 1	Wisp1	-4.1 ± 0.7	N.C.	-2.6 ± 0.4	N.C.	8
BB396526	activin A receptor, type IC	Acvr1c	N.C.	-3.2 ± 0.5	N.C.	N.C.	9
BM239227	zinc finger protein 91	Zfp91	N.C.	-4.1 ± 0.5	N.C.	N.C.	12
AI649005	insulin-like growth factor binding protein 3	Igfbp3	N.C.	N.C.	-1.6 ± 0.4	-1.9 ± 0.4	13
AV014063	MAD homolog 5 (Drosophila)	Smad5	-1.7 ± 0.4	N.C.	N.C.	N.C.	14
BB259371	rabaptin, RAB GTPase binding effector protein 2	Rabep2	-1.6 ± 0.4	N.C.	N.C.	N.C.	15
BB428671	platelet-derived growth factor, D polypeptide	Pdgfd	-1.5 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	16
BB825816	Cardiotrophin-like cytokine factor 1 (Clcf1), mRNA	Bsf3	N.C.	N.C.	-1.8 ± 0.4	N.C.	17
BG075165	Insulin-like growth factor 1, mRNA (cDNA clone MGC:18617 IMAGE:4194295)	Igf1	N.C.	-1.9 ± 0.4	-2.0 ± 0.4	N.C.	19
BI793602	Insulin-like growth factor 2 receptor	Igf2r	-1.5 ± 0.4	-1.9 ± 0.4	N.C.	N.C.	20
BM206467	Cysteine-rich motor neuron 1	Crim1	-2.4 ± 0.4	N.C.	N.C.	N.C.	21
NM_007950	epiregulin	Ereg	N.C.	-2.8 ± 0.5	N.C.	N.C.	22
NM_008734	neuregulin 3	Nrg3	N.C.	-8.5 ± 0.7	N.C.	N.C.	23
BC010404	inhibin beta E	Inhbe	N.C.	-2.0 ± 0.4	N.C.	N.C.	24
AF042856	hepatocyte growth factor	Hgf	N.C.	N.C.	-1.5 ± 0.4	N.C.	26
AF396935	EGF-like module containing, mucin-like, hormone receptor-like sequence 4	Emr4	-2.2 ± 0.4	N.C.	-2.9 ± 0.4	-2.0 ± 0.4	28
BB371842	platelet derived growth factor, alpha	Pdgfa	-1.8 ± 0.4	N.C.	N.C.	N.C.	29
BC023427	platelet derived growth factor, B polypeptide	Pdgfb	-2.5 ± 0.4	N.C.	-1.5 ± 0.4	-1.8 ± 0.4	30
BM233698	colony stimulating factor 1 (macrophage)	Csf1	-1.9 ± 0.4	N.C.	N.C.	N.C.	31
D45203	DNA segment, human D4S114	D0H4S114	-1.5 ± 0.4	N.C.	-1.8 ± 0.4	-1.8 ± 0.4	32
L42114	growth differentiation factor 10	Gdf10	N.C.	N.C.	-2.0 ± 0.4	-1.6 ± 0.4	34
NM_007426	angiopoietin 2	Angpt2	-1.8 ± 0.4	N.C.	-1.5 ± 0.4	-1.7 ± 0.4	35
NM_007554	bone morphogenetic protein 4	Bmp4	-2.2 ± 0.4	N.C.	N.C.	N.C.	36
NM_007556	bone morphogenetic protein 6	Bmp6	-1.5 ± 0.4	-1.7 ± 0.4	N.C.	N.C.	37
NM_007561	bone morphogenic protein receptor, type II (serine/threonine kinase)	Bmpr2	-1.5 ± 0.4	N.C.	N.C.	N.C.	38
NM_008742	neurotrophin 3	Ntf3	-4.7 ± 0.7	N.C.	N.C.	N.C.	39
NM_009365	transforming growth factor beta 1 induced transcript 1	Tgfb1i1	-1.7 ± 0.4	N.C.	N.C.	N.C.	40
NM_010346	growth factor receptor bound protein 7	Grb7	-1.9 ± 0.4	N.C.	N.C.	N.C.	41
NM_016719	growth factor receptor bound protein 14	Grb14	-1.5 ± 0.4	N.C.	N.C.	N.C.	44
AV350958	Thyroid hormone receptor interactor 4	Trip4	-2.3 ± 0.4	-1.8 ± 0.4	N.C.	N.C.	1386
AI451480	Thyroglobulin	Tgn	N.C.	N.C.	N.C.	-1.6 ± 0.4	304
AV141013	fibroblast growth factor 14	Fgf14	N.C.	-9.7 ± 0.7	N.C.	N.C.	3
AW488620	Fibroblast growth factor 11	Fgf11	-2.8 ± 0.4	N.C.	N.C.	N.C.	4
NM_019397	EGF-like-domain, multiple 6	Egfl6	N.C.	N.C.	-1.5 ± 0.4	N.C.	1835
