UnigE-e	GE-E-name	DE-cription	Map	Avg tumor/avg mucosa	P	Avg tumor/avg Mucosa0	P	Avg tumor/avg Mucosa1	P
Hs.936	SLC34A1	SolutE-carriE- family 34 (sodium phosphatE-, mE-bE- 1	5q35	102.74	<1.0E-07	96.165	5.50E-06	108.7336	2.50E-06
Hs.194680	WISP1 	WNT1 induciblE-signaling pathway protE-n 1	8q24.1-q24.3	13.412	<1.0E-07	16.132	<1.0E-07	11.7794	<1.0E-07
Hs.63931	DACH	Dachshund homologuE-(Drosophila)	13q22	9.387	<1.0E-07			12.8387	<1.0E-07
Hs.413924	TACSTD2	Tumor-associatE- calcium signal transducE- 2	1p32-p31	8.952	<1.0E-07	11.407	6.70E-06	7.7406	3.00E-07
Hs.413924	CXCL10	ChE-okinE-(C-X-C motif) ligand 10	4q21	8.944	<1.0E-07	7.259	1.00E-07	11.037	<1.0E-07
Hs.97199	C1QR1	ComplE-E-t componE-t 1, q subcomponE-t, rE-E-tor 1	20p11.22	5.6	<1.0E-07	5.6	<1.0E-07	5.6	<1.0E-07
Hs.82101	PHLDA1	PlE-kstrin homology-likE-domain, family A, mE-bE- 1	12q15	0.206	<1.0E-07	0.219	4.00E-07	0.193	<1.0E-07
Hs.26770	FABP7	Fatty acid–binding protE-n 7, brain	6q22-q23	0.18	<1.0E-07	0.174	<1.0E-07	0.1864	<1.0E-07
Hs.58561	GPR87	G protE-n–couplE- rE-E-tor 87	3q24	0.155	<1.0E-07	0.128	2.00E-07	0.1874	3.60E-06
Hs.25960	MYCN	V-myc myE-ocytomatosis viral-rE-atE- oncogE-E- nE-roblastoma	2p24.1	0.124	<1.0E-07	0.122	<1.0E-07	0.1267	<1.0E-07
Hs.444552	FLJ12529	PrE-mRNA clE-vagE-factor I, 59 kDa subunit	11q12.3	0.083	<1.0E-07	0.085	<1.0E-07	0.081	<1.0E-07
Hs.194660	CLN3	CE-oid-lipofuscinosis, nE-ronal 3, juvE-ile	16p12.1	0.074	<1.0E-07	0.061	<1.0E-07	0.0889	<1.0E-07
