Genbank ID	Gene Title	Gene Symbol	5 h  FC ± SEM	8 d  FC ± SEM	1.5 mos   FC ± SEM	6 mos   FC ± SEM	Gene sequence
U87814	proline-serine-threonine phosphatase-interacting protein 1	Pstpip1	N.C.	N.C.	-1.8 ± 0.4	N.C.	2
BB250384	vascular cell adhesion molecule 1	Vcam1	N.C.	N.C.	-1.6 ± 0.4	-1.6 ± 0.4	3
AF102134	CD22 antigen	Cd22	N.C.	N.C.	-2.2 ± 0.4	N.C.	4
BB244358	Opioid binding protein/cell adhesion molecule-like	Opcml	N.C.	-2.1 ± 0.4	N.C.	N.C.	5
BG068845	Neural cell adhesion molecule 2	Ncam2	N.C.	-2.6 ± 0.5	N.C.	N.C.	6
AW557006	cell adhesion molecule-related/down-regulated by oncogenes	Cdon	-1.6 ± 0.4	N.C.	N.C.	N.C.	7
BB202655	RIKEN cDNA C130076O07 gene	C130076O07Rik	N.C.	N.C.	-1.9 ± 0.4	N.C.	8
BB504737	integrin beta 8	Itgb8	N.C.	-2.2 ± 0.4	N.C.	N.C.	16
BB080017	Protocadherin 9	Pcdh9	N.C.	-5.9 ± 0.8	N.C.	N.C.	17
BE984978	protocadherin 15	Pcdh15	N.C.	-3.8 ± 0.5	N.C.	N.C.	20
BE989574	Catenin (cadherin associated protein), alpha 1	Ctnna1	N.C.	-2.8 ± 0.4	N.C.	N.C.	21
BB129525	cadherin 7, type 2	Cdh7	N.C.	-3.6 ± 0.4	N.C.	N.C.	22
BG072720	Cadherin 11	Cdh11	-1.8 ± 0.4	N.C.	-1.9 ± 0.4	-1.6 ± 0.3	39
BG073332	Protocadherin gamma subfamily C, 3	Pcdhga12	-1.7 ± 0.4	N.C.	N.C.	N.C.	40
BM238390	Integrin alpha 4 (Itga4), mRNA	Itga4	N.C.	N.C.	-3.0 ± 0.5	N.C.	43
NM_007667	cadherin 8	Cdh8	N.C.	-29.2 ± 0.6	N.C.	N.C.	46
BB528056	protocadherin 20	Pcdh20	N.C.	-2.6 ± 0.4	N.C.	N.C.	50
AF183946	cadherin 10	Cdh10	N.C.	-3.0 ± 0.4	N.C.	N.C.	51
AF334801	protocadherin 10	Pcdh10	N.C.	-3.8 ± 0.5	N.C.	N.C.	52
BB623587	integrin alpha 8	Itga8	N.C.	N.C.	N.C.	-1.5 ± 0.4	57
BC022107	cadherin 2	Cdh2	N.C.	N.C.	-1.6 ± 0.4	N.C.	59
BM218630	protocadherin 18	Pcdh18	-2.5 ± 0.4	N.C.	-1.6 ± 0.4	-1.8 ± 0.4	61
NM_007663	cadherin 16	Cdh16	N.C.	N.C.	-1.7 ± 0.5	-1.8 ± 0.4	63
NM_008401	integrin alpha M	Itgam	N.C.	N.C.	-1.9 ± 0.4	N.C.	64
NM_009868	cadherin 5	Cdh5	N.C.	N.C.	N.C.	-1.6 ± 0.4	66
NM_013565	integrin alpha 3	Itga3	N.C.	N.C.	N.C.	-1.6 ± 0.4	69
NM_018764	protocadherin 7	Pcdh7	N.C.	N.C.	-1.7 ± 0.4	N.C.	72
NM_021359	integrin beta 6	Itgb6	N.C.	N.C.	-2.3 ± 0.4	-1.8 ± 0.4	73
NM_053134	protocadherin beta 9	Pcdhb9	N.C.	N.C.	N.C.	-1.6 ± 0.4	75
NM_053142	protocadherin beta 17	Pcdhb17	-1.5 ± 0.4	N.C.	N.C.	N.C.	76
U49865	killer cell lectin-like receptor, subfamily A, member 3	Klra3	N.C.	-1.7 ± 0.4	N.C.	N.C.	9
M36005	selectin, lymphocyte	Sell	-2.3 ± 0.4	N.C.	-2.7 ± 0.4	N.C.	10
NM_013486	CD2 antigen	Cd2	N.C.	N.C.	-1.8 ± 0.4	N.C.	11
BB126186	Neuronal growth regulator 1	Negr1	N.C.	-3.0 ± 0.5	N.C.	N.C.	12
AI182499	polycystic kidney and hepatic disease 1	Pkhd1	N.C.	-6.5 ± 1.0	N.C.	N.C.	13
NM_138666	neuroligin 1	Nlgn1	N.C.	-2.9 ± 0.5	N.C.	N.C.	14
BB333386	immunoglobulin superfamily, member 4	Igsf4d	N.C.	-4.0 ± 0.5	N.C.	N.C.	15
BB494544	RIKEN cDNA B230343H07 gene	Nell1	N.C.	-4.7 ± 0.8	N.C.	N.C.	18
BB480385	EGF-like repeats and discoidin I-like domains 3	Edil3	N.C.	-3.1 ± 0.4	N.C.	N.C.	19
BB132137	neurexin III	Nrxn3	N.C.	-5.5 ± 0.7	N.C.	N.C.	23
BE979291	A disintegrin and metallopeptidase domain 23	Adam23	N.C.	-2.0 ± 0.4	N.C.	N.C.	24
BB082567	Limbic system-associated membrane protein	Lsamp	N.C.	-3.0 ± 0.4	N.C.	N.C.	25
AA516617	plakophilin 2	Pkp2	-2.1 ± 0.4	N.C.	N.C.	N.C.	26
AI642438	lectin, galactose binding, soluble 1	Lgals1	N.C.	N.C.	-1.6 ± 0.4	N.C.	27
AK008111	RIKEN cDNA 2010005A06 gene	2010005A06Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	28
AV071536	RIKEN cDNA E130012M19 gene	E130012M19Rik	-2.0 ± 0.4	N.C.	N.C.	-1.8 ± 0.4	29
AV225493	protocadherin 12	Pcdh12	N.C.	N.C.	-1.6 ± 0.4	N.C.	30
AV315087	expressed sequence AI415330	AI415330	-1.8 ± 0.4	N.C.	N.C.	N.C.	31
BB113173	cDNA sequence BC032204	BC032204	N.C.	N.C.	-1.6 ± 0.4	N.C.	32
BB160586	sialophorin	Spn	N.C.	N.C.	-1.5 ± 0.4	N.C.	33
BB409477	Neuropilin 2	Nrp2	-2.0 ± 0.4	N.C.	N.C.	N.C.	34
BB503709	Slit homolog 2 (Drosophila)	Slit2	-5.9 ± 0.5	-1.8 ± 0.4	-1.5 ± 0.4	N.C.	35
BB521978	RIKEN cDNA D930005D10 gene	D930005D10Rik	-2.0 ± 0.4	N.C.	N.C.	-1.7 ± 0.4	36
BB536078	FAT tumor suppressor homolog 4 (Drosophila)	Fat4	N.C.	N.C.	-1.6 ± 0.4	N.C.	37
BB758432	DIX domain containing 1	Dixdc1	-2.9 ± 0.4	N.C.	N.C.	N.C.	38
C80049	Myosin, heavy polypeptide 9, non-muscle	Myh9	-1.5 ± 0.4	N.C.	N.C.	N.C.	44
NM_009241	sperm adhesion molecule 1	Spam1	N.C.	-3.7 ± 0.6	N.C.	N.C.	45
NM_020612	cell matrix adhesion regulator	Cmar	N.C.	-2.0 ± 0.4	N.C.	N.C.	47
AU079588	contactin associated protein-like 2	Cntnap2	N.C.	-2.0 ± 0.4	N.C.	N.C.	48
BB590675	paraspeckle protein 1	Pspc1	N.C.	-2.8 ± 0.4	N.C.	N.C.	49
BG073728	RGM domain family, member B	Rgmb	-1.7 ± 0.4	N.C.	N.C.	N.C.	41
BM232782	armadillo repeat containing 8	Armc8	-1.9 ± 0.4	-1.7 ± 0.4	N.C.	N.C.	42
AK012880	RIKEN cDNA 2610005L07 gene	2610005L07Rik	N.C.	-2.1 ± 0.4	N.C.	N.C.	53
AF010586	chemokine (C-X3-C motif) ligand 1	Cx3cl1	-1.9 ± 0.4	N.C.	N.C.	N.C.	54
AI385532	thrombospondin 1	Thbs1	N.C.	N.C.	-2.3 ± 0.5	N.C.	55
AK003674	collagen triple helix repeat containing 1	Cthrc1	-1.9 ± 0.4	N.C.	N.C.	N.C.	56
BC009002	Rho family GTPase 3	Rnd3	N.C.	N.C.	-2.1 ± 0.4	N.C.	58
BE947943	armadillo repeat gene deleted in velo-cardio-facial syndrome	Arvcf	-1.8 ± 0.4	N.C.	N.C.	N.C.	60
D88187	protein tyrosine phosphatase, receptor type, U	Ptpru	-1.5 ± 0.4	N.C.	N.C.	N.C.	62
NM_009502	vinculin	Vcl	N.C.	N.C.	N.C.	-1.9 ± 0.4	65
NM_010327	glycoprotein Ib, beta polypeptide	Gp1bb	N.C.	N.C.	-1.8 ± 0.4	N.C.	67
NM_011925	CD97 antigen	Cd97	-1.8 ± 0.4	N.C.	N.C.	N.C.	68
NM_013690	endothelial-specific receptor tyrosine kinase	Tek	-1.5 ± 0.4	N.C.	N.C.	N.C.	70
NM_013691	thrombospondin 3	Thbs3	N.C.	N.C.	N.C.	-1.6 ± 0.4	71
NM_021495	poliovirus receptor-related 3	Pvrl3	-1.6 ± 0.4	N.C.	N.C.	N.C.	74
NM_007856	7-dehydrocholesterol reductase	Dhcr7	-2.0 ± 0.4	N.C.	N.C.	N.C.	77
BB667193	Growth arrest specific 2	Gas2	-1.9 ± 0.4	N.C.	N.C.	N.C.	78
BM240179	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	Smarca2	-1.8 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	79
AK005802	RIKEN cDNA 1700009P03 gene	1700009P03Rik	N.C.	-2.6 ± 0.4	N.C.	N.C.	80
AV123577	ribosomal protein S21	Rps21	N.C.	-1.7 ± 0.4	N.C.	N.C.	81
BM120177	cyclin J-like	Ccnjl	N.C.	-2.3 ± 0.4	N.C.	N.C.	82
BB479886	Budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	Bub1	N.C.	-2.5 ± 0.4	N.C.	N.C.	83
AV001099	Guanine nucleotide binding protein-like 3 (nucleolar)	Gnl3	N.C.	-1.9 ± 0.4	N.C.	N.C.	84
BB171354	adenylate cyclase activating polypeptide 1	Adcyap1	N.C.	-3.2 ± 0.5	N.C.	N.C.	85
AW556894	RIKEN cDNA 4930518F03 gene	4930518F03Rik	N.C.	-4.2 ± 0.4	N.C.	N.C.	86
BB750374	Stromal antigen 1	Stag1	N.C.	-3.8 ± 0.4	N.C.	N.C.	87
BB346592	Retinoblastoma binding protein 8	Rbbp8	N.C.	-3.1 ± 0.5	N.C.	N.C.	88
BM246833	RNA binding motif protein 27	Rbm27	N.C.	-2.0 ± 0.4	N.C.	N.C.	89
AV347842	Yamaguchi sarcoma viral (v-yes) oncogene homolog 1	Yes1	N.C.	-2.3 ± 0.5	N.C.	N.C.	90
AI426862	Purine rich element binding protein A	Pura	-2.7 ± 0.4	N.C.	N.C.	N.C.	91
AI648260	SNF1-like kinase (Snf1lk), mRNA	Snf1lk	N.C.	N.C.	-1.7 ± 0.4	N.C.	92
AW208509	septin 4	4-Sep	-1.6 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	93
BB022931	RIKEN cDNA 2900057D21 gene	2900057D21Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	94
BB034265	regulator of G-protein signaling 2	Rgs2	-4.1 ± 0.4	N.C.	-2.5 ± 0.4	N.C.	95
BB205578	CCCTC-binding factor	Ctcf	-1.8 ± 0.4	N.C.	N.C.	N.C.	96
