Cytoband	Start (bp)	End (bp)	Gene symbol	Ensembl ID	Total a	DCN=3 or 4 b	DCN5 c
7p15.2	26479930	26677581	SCAP2	ENSG00000005020	18	17	1
8q24.23	139332265	139449408	NULL	ENSG00000169438	18	12	6
1q21.1	142189379	142565232	PDE4DIP	ENSG00000178104	17	17	0
1q21.1	142433716	142433772	NULL	ENSG00000190646	17	17	0
1q21.1	142433716	142433860	U2	ENSG00000201685	17	17	0
1q21.1	142478353	142480409	Q9H762_HUMAN	ENSG00000168681	17	17	0
1q21.1	142585472	142606033	SEC22L1	ENSG00000155878	17	17	0
1q21.1	142628069	142628613	NULL	ENSG00000177144	17	17	0
1q21.1	142638784	142638882	U6	ENSG00000201789	17	17	0
1q23.3	159333913	159481893	DDR2	ENSG00000162733	17	17	0
1q23.3	160210932	160211020	NULL	ENSG00000193661	17	17	0
1q25.1	172023592	172107588	TNR	ENSG00000116147	17	12	5
1q25.2	173163964	173543625	PAPPA2	ENSG00000116183	17	17	0
1q25.2	173317061	173317576	NULL	ENSG00000172760	17	17	0
1q25.2	173561861	173865681	ASTN	ENSG00000152092	17	17	0
1q25.2	173730156	173730238	hsa-mir-488	ENSG00000202609	17	17	0
1q25.2	173872188	173983209	FAM5B	ENSG00000198797	17	17	0
1q25.3	179724210	179846384	LAMC1	ENSG00000135862	17	17	0
1q25.3	179887056	179945696	LAMC2	ENSG00000058085	17	16	1
1q25.3	179949035	180119394	NMNAT2	ENSG00000157064	17	16	1
1q25.3	180173291	180254982	SMG7_HUMAN	ENSG00000116698	17	17	0
3q22.1	132736261	133241863	CPNE4	ENSG00000196353	17	16	1
7p15.2	25762765	25762863	mmu-mir-148a	ENSG00000199085	17	17	0
7p15.2	25762779	25762846	NULL	ENSG00000192920	17	17	0
8q21.11	76482826	76641614	HNF4G	ENSG00000164749	17	14	3
8q24.12	120469769	120469890	NULL	ENSG00000192356	17	14	3
8q24.12	120469769	120469890	snoACA32	ENSG00000199918	17	14	3
2q35	216050687	216126302	FN1	ENSG00000115414	13	12	1
8q24.21	128817686	128822853	MYC	ENSG00000136997	13	9	4
20q13.12	45645347	45715724	NCOA3	ENSG00000124151	12	12	0
12p12.1	25249447	25295121	KRAS	ENSG00000133703	12	11	1
17q12	35109920	35138436	ERBB2	ENSG00000141736	11	11	0
7p11.2	54860934	55049239	EGFR	ENSG00000146648	9	9	0
8q12.1	61592113	61696183	RAB2	ENSG00000104388	9	6	3
