Accession no. c	Symbol	Title	Function b	Median d
J03040	SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	ECM remodeling, cell motility	17.02495567
D49441	MSLN	Mesothelin	Cell adhesion	16.89094109
X02761	FN1	Fibronectin 1	Cell adhesion, migration, metastasis	16.75009195
AW298180	MMP7	Matrix metalloproteinase 7 (matrilysin, uterine)	ECM remodeling, metastasis	16.50926608
U18018	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	Transcription factor, oncogenesis	16.05115993
M13690	SERPING1	Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	Complement activation	14.85969213
NM_006169	NNMT	Nicotinamide N-methyltransferase	Nicotinamide metabolism	5.200336287
Z68179	LY6E	Lymphocyte antigen 6 complex, locus E	Signal transduction	4.592021044
J03464	COL1A2	Collagen, type I, alpha 2	ECM	4.538226354
X03963	COL4A1	Collagen, type IV, alpha 1	ECM	4.514567118
AI684645	HCA112	Hepatocellular carcinoma-associated antigen 112	Tumor Ag	4.257192083
AV758898	MGC27165	Hypothetical protein MGC27165	Unknown	4.025887854
K02215	AGT	Angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A, member 8)	Cell–cell signaling, hormone activity	3.529505325
AL138409		Homo sapiens mRNA; cDNA DKFZp313L231 (from clone DKFZp313L231)	Unknown	3.521028423
Y14735	IGHG3	Immunoglobulin heavy constant gamma 3 (G3 m marker)	Immune response	3.4029154
X14420	COL3A1	Collagen, type III, alpha 1 (Ehlers–Danlos syndrome type IV, autosomal dominant)	ECM	3.135499176
AF044588	PRC1	Protein regulator of cytokinesis 1	Cell-cycle regulation	2.948876913
AF097021	GW112	Differentially expressed in hematopoietic lineages	Unknown	2.873366561
AJ011497	CLDN7	Claudin 7	Membrane integrity	2.738268954
AK023969	CARD4	Caspase recruitment domain family, member 4	Apoptosis, signal transduction	2.701428204
AA789233	COL1A1	Collagen, type I, alpha 1	ECM	2.69564816
S55551	TPSB2	Tryptase beta 2	Inflammation	2.681107922
D78013	DPYSL2	Dihydropyrimidinase-like 2	Signal transduction, nucleic acid metabolism	2.519226943
NM_006435	IFITM2	Interferon-induced transmembrane protein 2 (1–8D)	Immune response	2.50940959
AJ002231	GNPI	Glucosamine-6-phosphate isomerase	Glucosamine metabolism	2.345160429
AA742701	LCP1	Lymphocyte cytosolic protein 1 (L-plastin)	Cytoskeleton	2.31821868
