Refseq	Gene.ID	Gene Symbol	Gene.Name	Fold Change	q-value (%)	Negative Fold Change	Primary effect	Net effect
NM_016476	51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.63316424	6.3497914	NA	+	+
NM_013366	29882	ANAPC2	anaphase promoting complex subunit 2	2.44936223	6.8159167	NA	+	+
NM_016237	51433	ANAPC5	anaphase promoting complex subunit 5	1.5382599	9.6306887	NA	+	+
NM_015032	23047	APRIN	androgen-induced proliferation inhibitor	0.39265143	5.5989565	-2.546788127	-	+
NM_001184	545	ATR	ataxia telangiectasia and Rad3 related	0.3237332	1.7079054	-3.088963381	-	+
NM_001749	826	CAPNS1	calpain, small subunit 1	1.76671389	9.0782945	NA	+	+
NM_021873	994	CDC25B	cell division cycle 25B	1.81897276	8.593663	NA	+	+
NM_004359	997	CDC34	cell division cycle 34	2.21129053	1.219488	NA	+	+
NM_001791	998	CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	1.82630136	6.5999626	NA	+	+
NM_052827	1017	CDK2	cyclin-dependent kinase 2	1.73727935	8.593663	NA	+	+
NM_000075	1019	CDK4	cyclin-dependent kinase 4	2.808923	0.637618	NA	+	+
NM_030928	81620	CDT1	DNA replication factor	2.15534529	2.5903232	NA	+	+
NM_001827	1164	CKS2	CDC28 protein kinase regulatory subunit 2	3.08565778	9.8653909	NA	+	+
NM_003591	8453	CUL2	cullin 2	0.27013329	1.7079054	-3.701876211	-	+
NM_006400	10540	DCTN2	dynactin 2 (p50)	1.63696089	7.6537443	NA	+	+
NM_013407	1725	DHPS	deoxyhypusine synthase	1.89033341	4.9341886	NA	+	+
NM_001429	2033	EP300	E1A binding protein p300	0.47721709	5.5989565	-2.095482373	-	+
NM_005438	8061	FOSL1	FOS-like antigen 1	2.16533385	8.1979458	NA	+	+
NM_005262	2671	GFER	growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)	1.85726036	2.4738185	NA	+	+
NM_004494	3068	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)	1.85269379	8.27025	NA	+	+
NM_017409	3226	HOXC10	homeobox C10	2.67563924	1.9393426	NA	+	+
NM_176795	3265	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	2.0271793	3.3991674	NA	+	+
NM_172174	3600	IL15	interleukin 15	1.92946039	5.9122677	NA	+	+
NM_198337	3638	INSIG1	insulin induced gene 1	2.00405499	8.8660141	NA	+	+
NM_006341	10459	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	1.91889621	7.6537443	NA	+	+
NM_002524	4893	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	2.51880741	0.637618	NA	+	+
NM_006191	5036	PA2G4	proliferation-associated 2G4, 38kDa	2.11507334	4.6110465	NA	+	+
NM_003884	8850	PCAF	p300/CBP-associated factor	0.26426232	2.3697766	-3.78411875	-	+
NM_182649	5111	PCNA	proliferating cell nuclear antigen	1.81636855	9.0782945	NA	+	+
NM_002632	5228	PGF	placental growth factor, vascular endothelial growth factor-related protein	4.37036056	0.637618	NA	+	+
NM_006221	5300	PIN1	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1	2.76081665	1.5613079	NA	+	+
NM_001722	661	POLR3D	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa	2.55127939	0.637618	NA	+	+
NM_002704	5473	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	3.71969709	2.3206861	NA	+	+
NM_181697	5052	PRDX1	peroxiredoxin 1	1.79267068	6.5999626	NA	+	+
NM_001665	391	RHOG	ras homolog gene family, member G (rho G)	2.12396927	2.4738185	NA	+	+
NM_014624	6277	S100A6	S100 calcium binding protein A6 (calcyclin)	1.67965717	8.8660141	NA	+	+
