Gene symbol	Accession no.	Change	Name, aliases	Functional Group
KIR2DL3 / KIR2DS5	NM_014513	51.98	NA	Receptors
KIR2DL2	L76669	39.4	NKAT6	Receptors
KIR2DS4	AF135564	34.3	KAR-K1d	Receptors
KIR2DS1	NM_014512	32	NKAT5 delta Ig1	Receptors
KIR2DS2	L76668	29.86	NA	Receptors
KLRF1	NM_016523	25.99	NKp80	Receptors
KIR3DL2	NM_006737	22.63	NA	Receptors
KIR2DL1	U24078	13.93	p58 NK-cell receptor precursor	Receptors
KIR3DL1	AF262973	9.19	NA	Receptors
KIR3DL2	AF263617	9.19	NA	Receptors
TFR2	AF067864	7.46	Transferrin receptor 2	Receptors
LILRB1	NM_006669	7.46	ILT2	Receptors
PILRB	NM_013440	6.96	Paired Ig like receptor	Receptors
KLRC3	NM_002261	6.06	NKG2E	Receptors
CD160	NM_007053	5.66	BY55	Receptors
NCR3	AF031136	5.28	1C7 precursor, NKp30	Receptors
NKG7	NM_005601	4.29	NA	Receptors
KLRA1	NM_006611	4	LY49L	Receptors
KIR2DL3	AF022048	4	NA	Receptors
KIR2DL4	AF002256	3.73	NA	Receptors
KIR3DS1	U73396	3.48	NA	Receptors
FCGR3B	J04162	3.48	CD16	Receptors
TNFSF9	NM_003811	3.25	4-1BB-L	Receptors
LAIR2	NM_002288	3.25	CD306	Receptors
CD63	NM_001780	3.25	MLA-1, LAMP-3	Receptors
FCRL3	AY043466	3.03	Fc receptor like 3	Receptors
CD37	NM_001774	3.03	TSPAN-26	Receptors
IFITM2	NM_006435	3.03	IFN-induced TM protein 2	Receptors
TRBC1	AF043179	2.64	TCR beta chain	Receptors
CD244	NM_016382	2.64	2B4	Receptors
IL8RB	NM_001557	2.64	NA	Receptors
TNFRSF1B	NM_001066	2.46	TNF receptor 2 (p75)	Receptors
CD300A	AJ010102	2.46	IRC1	Receptors
IFNGR1	AF056979	2.46	NA	Receptors
IGF2R	NM_000876	2.3	Insulin-like growth factor rec.	Receptors
IFITM1	NM_003541	2.14	Interferon-induced TM protein 1	Receptors
CD8B	NM_004931	2.14	NA	Receptors
KLRG1	AF081675	1.74	NA	Receptors
MAL	NM_002371	?9.85	T-cell differentiation protein	Receptors
CCR7	NM_001838	?7.46	NA	Receptors
CCR9	AF145439	?7.46	NA	Receptors
CD28	NM_006139	?4.92	NA	Receptors
IL2RA	NM_000417	?4.92	CD25	Receptors
NT5E	NM_002526	?4.29	CD73	Receptors
DPP4	M74777.1	?4.29	CD26	Receptors
CD80	AY081815	?4.29	NA	Receptors
CCR2	NM_000647	?3.48	NA	Receptors
CD27	NM_001242	?3.48	TNFRSF7	Receptors
IL7R	BE217880	?2.83	CD127	Receptors
CXCL9	NM_002416	?2.64	NA	Receptors
IL6R	NM_000565	?2.46	NA	Receptors
