IMAGE_ID	NAME	NAME	50%CIS	75%CIS	100%CIS
2184259	POU5F	Octamer-binding transcription factor 3A	17.7775	13.605	50.35
2244690	NANOG	homeobox transcription factor	10.3	15.385	33.16
712859	XIST	X inactivation transcipt	4.53	8.17	24.64
1258339	LIN28	Lin-28 homolog	3.6	4.745	15.025
1613140	DPPA5	Dev. pluripotency ass. 5; embryonal stem cell specific gene 1	10.0775	13.95	14.9825
488207	T1A-2	Homo sapiens lung type-I cell membrane-associated protein hT1a-2	6.555	7.33	14.8025
2309080			3.33	8.72	14.22
2290280			2.9425	3.17	14.22
2290281			2.52	3.84	12.9025
2126026	SLC7A3	Solute carrier family 7, member 3	2.5525	2.09	12.2625
245476			6.7425	4.495	11.42
1734982	FLJ10884	hypothetical protein FLJ10884	2.305	3.665	9.98
129142				5.845	9.12
2241165			2.8975	4.785	9.04
41565	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived	2.15	4.83	8.7225
488651	MGC16491	hypothetical protein MGC16491	3.8375	3.8	8.55
301878	SCGB3A2	A2 Secretoglobin, family 3A, member 2	2.715	5.15	8.2925
725680	TFAP2C	Transcription factor AP-2 gamma (ERF-1)	2.3925	3.77	8.225
111647	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	5.58	3.105	8.195
32759	NFE2L3	Nuclear factor (erythroid-derived 2)-like 3	3.54	6.11	8.09
46959	PIM2	Human pim-2 protooncogene homolog pim-2h	2.4575	2.525	8.0075
124569		Human normal keratinocyte substraction library mRNA, clone H22a	2.94	2.94	7.985
2304870	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	2.6975	2.84	7.7225
248261	GLDC	glycine dehydrogenase (glycine cleavage system protein P)	2.8325	3.65	7.5325
209735	AK3	Adenylate kinase 3	2.1025	1.935	7.43
359608	LBP-9	LBP protein likely ortholog of mouse CRTR-1	2.81	3.235	7.3825
347386	RAB15	RAS onocogene family	3.4	4.265	7.3775
30149	ALPL	liver-type alkaline phosphatase	1.915	2.395	7.33
2270912			5.0725	3.68	7.325
2337259	PRDM1	PR domain containing 1, with ZNF domain	6.025	6.4	8.925
135057	UP	Uridine phosphorylase	2.255	3.305	7.1
1636117		Sushi domain (SCR repeat) containing	3.7525	1.72	6.9825
418195		ESTs, weakly similar to hypothetical protein FLJ20378	1.5175	3.005	6.8775
2306984			2	6.885	6.715
2255411	TFCP2L1	Transcription factor CP2-like 1	2.505	4.92	6.67
1844534			2.52	3.495	6.6075
1857973			2.4475	4.285	6.35
2151705			1.695	3.1	6.3125
429283	PHLDA3	pleckstrin homology-like domain, family A, member 3	3.0975	2.74	6.2225
2312885			2.1875	3.105	6.1375
1691575			2.02	3.295	6.1025
2453776	NALP9	NACHT, leucine rich repeat and PYD containing 9	1.27	4.25	6.075
1359864			2.35	3.515	6.0225
2244463			1.46	1.43	5.91
346696	TEAD4	Human transcription factor RTEF-1	1.9925	2.78	5.88
2000485	TCL1B	T-cell leukemia/lymphoma 1B	1.6525	4.02	5.8725
430297	ETV4	Human E1A enhancer binding protein (E1A-F)	3.82	3.07	5.825
1256996	LOC56961	hypothetical protein from EUROIMAGE 2168212	1.6525	1.735	5.825
470011	DKFZP762N0610	Human mRNA for fibroblast tropomyosin TM30 (pl)	2.235	3.305	5.715
269016	KIT	protein and alternatively spliced KIT protein	2.95	2.29	5.5
2280234			2.2625	3.01	5.4925
38228	LRP4	low density lipoprotein receptor-related protein 4	4.2375	4.485	5.465
2280745			1.995	1.67	5.465
200018	TCL1A	Tcell leukemia/lymphoma 1	2.735	3.11	5.4575
194112	POV1	homo sapiens pb39 mrna, complete cds	2.1825	2.275	5.3825
1989546	TNFRSF12A	Tumor necrosis factor receptor superfamily, member 12A	2.1775	1.965	5.3725
2009044	LOC283454	hypothetical protein LOC283454	1.335	2.27	5.325
122008	LCE	long-chain fatty-acyl elongase		5.165	5.31
2304122			1.7975	3.665	5.27
48538	ETV5	Human erm gene, exon 2,3,4,5 (and joined cds)	2.095	2.815	5.27
1751603		Homo sapiens cdna flj12195 fis, clone mamma1000865	3.2825	1.955	5.2675
138917	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1	1.89	2.825	5.22
109816	PIF1	dna helicase homolog pif1	1.89	2.515	5.075
2265368		Homo sapiens cdna flj10417 fis, clone nt2rp1000112	1.995	4.69	5.07
295666	NSMAF	Neutral sphingomyelinase (N-SMase) activation associated factor	3.1825	3.975	5.065
1964197	MYCL1	human l-myc protein gene	1.8	1.1	5.03
1706549	GRPC5C	g protein-coupled receptor, family c, group 5, member c	1.43	1.57	4.935
768508	DPPA4	Developmental pluripotency associated 4	1.245	2.42	4.8525
208621	CHST2	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	2.5425	2.115	4.82
2305046			1.61	1.88	4.79
726454	SALL4	sal-like 4 (drosophila)	2.135	2.79	4.765
1586473			1.8675	2.555	4.765
2067009			2.22	2.15	4.735
127962		homo sapiens cdna flj22539 fis, clone hrc13227	2.17	3.18	4.72
66317	H1F2	h.sapiens h1.2 gene for histone h1	1.3475	1.15	4.7075
2445335	AND-1	homo sapiens mrna for and-1 protein	0.9275	2.12	4.6975
345890	E2F1	E2F transcription factor 1	4.5975	2.795	4.665
195662	CDH1	cadherin 1, type 1, e-cadherin (epithelial)	1.6725	2.085	4.655
781099			2.23	2.585	4.57
41126	LOC283454	hypothetical protein LOC283454	1.47	1.825	4.525
725238	flj20105	hypothetical protein flj20105	1.6275	1.465	4.5125
109818	PIF1	DNA helicase homolog PIF1	2.07	2.325	4.51
138176	flj10652	hypothetical protein flj10652	2.3125	3.525	4.4525
2237532			1.055	1.08	4.41
2009563			2.0575	2.47	4.3875
740416	SOX17	SRY (sex determining region Y)-box 17	1.95	2.235	4.36
795868	SOX15	SRY (sex determining region Y)-box 15	2.19	1.785	4.3125
2345865	FLJ20696	hypothetical protein FLJ20696	2.2925	3.745	4.395
299928	CHST2	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	2.8125	2.105	4.2425
2238683			1.4425	2.515	4.2175
214076	FGD1	human faciogenital dysplasia mrna	1.18	1.295	4.2125
261453			1.775	2.35	4.1175
269968		homo sapiens cdna flj14035 fis, clone hemba1004638	1.495	1.645	4.11
161471	SIAT1	Sialyltransferase (beta-galactoside alpha-2,6-sialyltransferase)	2.6825	2.95	4.095
264778	SLC25A16	human gt mitochondrial solute carrier protein homologue	1.58	2.25	4.0775
2065473		Homo sapiens, clone IMAGE:4182817	2.17	1.43	4.065
2340764	PYY2	peptide yy, 2 (seminalplasmin)	1.9475	1.81	4.0575
36807	NSMAF	Neutral sphingomyelinase (N-SMase) activation associated factor	2.43	3.715	4.04
52960		homo sapiens, clone image4123507, mrna	1.9925	2.79	4.0125
767779	HRK	h.sapiens activator of apoptosis hrk	1.6975	1.31	4.0025
