Gene Name	Gene Symbol	CpG methylation Location	KG1	U937	THP1	Position	mRNA expression KG1	U937	THP1	N	Probe Set ID
hypothetical gene	LOC400027	12q12	1.82	1.16	1.19	down	NC/P	NC/P	NC/P	A	226413_at
branched chain aminotransferase 2, mitochondrial	BCAT2	19q13	1.24	1.18	1.29	proximal	1	1.8	NC/P	P	203576_at
chondrolectin	CHODL	21q11.2	1.52	1.49	1.44	down	NC/A	NC/A	NC/A	A	219867_at
collagen, type XIV, alpha 1 (undulin)	COL14A1	8q23	2.02	2.97	2.03	down	NC/A	NC/A	NC/A	A	1562189_at
cytochrome P450, family 27, subfamily B, polypeptide 1	CYP27B1	12q13.1-q13.3	1.55	1.87	2.15	down	NC/A	NC/P	0.8	A	205676_at
v-erb-a erythroblastic leukemia viral oncogene homolog 4	ERBB4	2q33.3-q34	1.63	1.34	1.36	down	NC/A	NC/A	NC/A	A	241581_at
family with sequence similarity 5, member B	FAM5B	1q24.1-q25.3	2.55	1.32	1.92	proximal	NC/A	NC/A	NC/A	A	214822_at
fibroblast growth factor 12	FGF12	3q28	1.2	1.76	1.52	proximal/down	NC/A	NC/A	NC/A	A	240067_at
hypothetical gene	FLJ13192	15q14	1.79	1.49	1.37	down	NC/A	NC/A	NC/A	A	233382_at
hypothetical gene	FLJ20366	8q23.2	1.9	1.39	1.45	up/down	NC/A	NC/A	NC/A	A	218692_at
hypothetical gene	FLJ36633	8q23.2	1.9	1.39	1.45	up	ND	ND	ND	ND	NA
hypothetical protein	FLJ20972	1p34.2	1.46	1.29	1.82	down	NC/M	NC/P	NC/P	P	230897_at
hypothetical protein	FLJ35074	6p24	2.07	1.09	1.59	down	NC/A	1.6	NC/A	A	1560503_a_at
transcription factor AP-2 alpha	TFAP2A	6p24	2.07	1.09	1.59	up	NC/A	2.4	NC/A	A	204653_at
laeverin	FLJ90650	5q23.1	2.14	3	2.77	up/down	NC/A	NC/A	NC/A	A	235382_at
forkhead box F1	FOXF1	16q24	1.4	1.84	2.72	down	2.7	NC/A	NC/A	A	205935_at
glycoprotein M6A	GPM6A	4q34	1.3	2.05	1.19	down	NC/A	NC/A	NC/A	A	209469_at
GS homeobox 2	GSH2	4q11-q12	1.34	2.29	1.26	down	NC/A	NC/A	NC/A	A	230338_x_at
hypocretin (orexin) receptor 2	HCRTR2	6p11-q11	1.08	1.46	1.62	down	NC/A	NC/A	NC/A	A	207393_at
Hey-like transcriptional repressor	HELT	4q35.1	1.37	3.51	1.52	up	ND	ND	ND	ND	NA
homeo box C10	HOXC10	12q13.3	1.13	1.62	1.01	up	NC/A	0.8	NC/P	A	214562_at
iroquois homeobox protein 1	IRX1	5p15.3	2.2	2.32	2.07	down	NC/A	NC/A	NC/A	A	230472_at
hypothetical protein	KIAA1024	15q25.1	1.04	2.06	1.73	down	NC/A	NC/A	NC/A	A	215081_at
LIM homeobox transcription factor 1, alpha	LMX1A	1q22-q23	2.42	2.08	2.29	down	NC/A	NC/A	NC/A	A	1553541_at
similar to seven in absentia 2 (SSIAH2)	LOC283514	13q14.13	2.43	2.73	1.54	proximal	NC/A	NC/A	NC/A	A	1560676_at
hypothetical protein	MGC12982	1p33	2.17	2.36	1.92	up	NC/P	NC/A	NC/A	A	207653_at
forkhead box D2	FOXD2	1p33	2.17	2.36	1.92	down	NC/P	NC/A	NC/A	A	224457_at
hypothetical protein	MGC42090	7p21.1	2.62	4.03	1.97	proximal	NC/A	NC/A	NC/A	A	1552293_at
hypothetical protein	MGC4767	12q24.31	1.68	2.58	2.23	proximal	1	1.2	NC/P	P	223114_at
myogenic differentiation 1	MYOD1	11p15.4	2.49	2.57	1.14	down	NC/A	NC/A	NC/A	A	206657_s_at
NK2 transcription factor related, locus 3 (Drosophila)	NKX2-3	10q24.2	2.96	4.06	1.3	down	NC/A	NC/A	3.3	A	1553808_a_at
one cut domain, family member 1	ONECUT1	15q21.1-q21.2	1.58	2.64	2.49	up	NC/A	NC/A	NC/A	P	210745_at
protocadherin gamma subfamily B, 1	PCDHGB1	5q31	1.12	1.69	3.19	proximal	ND	ND	ND	ND	NA
phospholipase A2, group VII	PLA2G7	6p21.2-p12	1.39	1.36	2.27	proximal	-8.9	-5.1	-5.7	P	206214_at
phospholipase D family, member 5	PLD5	1q43	1.43	1.69	1.92	down	NC/A	NC/P	NC/A	A	1563933_a_at
scinderin	SCIN	7p21.3	1.52	1.42	1.15	proximal/down	NC/A	NC/A	NC/A	A	239365_at
SLIT and NTRK-like family, member 3	SLITRK3	3q26.1	2.56	1.42	2.56	down	NC/A	NC/A	NC/A	A	206732_at
Sp5 transcription factor	SP5	2q31.1	1.3	1.89	1	down	NC/A	NC/A	NC/A	A	235845_at
transcription factor AP-2 gamma	TFAP2C	20q13.2	1.6	1.02	1.07	up	NC/P	NC/A	NC/A	A	205286_at
