Function	Genbank	Probe ID	GC-RMA norm. dLEC intensity	MAS 5 norm. dLEC intensity	GC-RMA norm. iLEC intensity	MAS 5 norm. iLEC intensity	Average fold change	GC-RMA q-value	MAS 5 q-value	Description	Function
COL6A1	AA292373	213428_s_at	0.5137866	0.8112408	3.0137117	2.4330668	4.432439739	0.0884	0.0968	Collagen, type VI, alpha 1	Cell adhesion
ARL3	NM_004311	202641_at	0.8370859	0.8400938	1.2038642	1.1846193	1.424132248	0.0828	0.0723	ADP-ribosylation factor-like 3	Signal transduction
RRBP1	NM_004587	201206_s_at	0.70138305	0.61715835	1.1744651	1.0987648	1.727430033	0.0477	0.0438	Ribosome binding protein 1 homolog 180kDa (dog)	Signal transduction
CDC42BPA		214464_at	0.4583262	0.6549203	1.7434661	1.5982738	3.12219743	0.064	0.0609	CDC42 binding protein kinase alpha (DMPK-like)	Signal transduction
STK38	BE048506	202951_at	0.8720166	0.80238307	1.111315	1.1371992	1.345848354	0.0644	0.0378	Serine/threonine kinase 38	Signal transduction
COPS6	NM_006833	201405_s_at	0.8262319	0.9082757	1.2520124	1.2828048	1.46383993	0.0945	0.0791	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	Signal transduction
RPS21	NM_001024	200834_s_at	0.8232294	0.7836584	1.1267074	1.2260251	1.466566246	0.09	0.032	Ribosomal protein S21	Cell cycle and proliferation
CDK4	NM_000075	202246_s_at	0.89415723	0.8335808	1.1695104	1.0656233	1.293157743	0.0926	0.0715	Cyclin-dependent kinase 4	Cell cycle and proliferation
CCT7	NM_006429	200812_at	0.82407796	0.807617	1.3656613	1.2835952	1.623280225	0.0607	0.0491	Chaperonin containing TCP1, subunit 7 (eta)	Cell cycle and proliferation
TRIAP1	NM_016399	218403_at	0.7833686	0.81012475	1.1871989	1.1474676	1.465956678	0.0978	0.0389	TP53 regulated inhibitor of apoptosis 1	Cell cycle and proliferation
AURKAIP1	NM_017900	218580_x_at	0.89012307	0.83107287	1.2730147	1.151023	1.40757014	0.0828	0.0909	Aurora-A kinase interacting protein	Cell cycle and proliferation
HBXIP	NM_006402	202300_at	0.86629677	0.8813509	1.0695276	1.1279459	1.257194658	0.0896	0.0979	Hepatitis B virus x interacting protein	Cell cycle and proliferation
HSPA9B	BC000478	200691_s_at	0.53265476	0.6026616	1.3791575	1.3305905	2.398535708	0.0926	0.0448	heat shock protein 9B	Cell cycle and proliferation
PSMC5	AF035309	209503_s_at	0.91396534	0.7095847	1.3020052	1.1246908	1.504783016	0.0846	0.0469	Proteasome (prosome, macropain) 26S subunit, ATPase, 5	Cell cycle and proliferation
TREX2	BE676218	213334_x_at	0.683136	0.84512776	1.6946478	1.2404858	1.974248686	0.0607	0.0515	Three prime repair exonuclease 2	Cell cycle and proliferation
RARRES3	NM_004585	204070_at	0.76878995	0.7425148	1.3968045	1.2794669	1.770020221	0.0694	0.0759	Retinoic acid receptor responder (tazarotene induced) 3	Cell cycle and proliferation
RPS19	NM_001022	202649_x_at	0.8631506	0.7459823	1.0450087	1.2242786	1.425927055	0.0559	0.0359	Ribosomal protein S19	Cell motility and organization
ARD1	NM_003491	203025_at	0.79810756	0.81352997	1.233584	1.2412596	1.535703126	0.0873	0.0672	ARD1 homolog, N-acetyltransferase (S. cerevisiae)	Cell motility and organization
UXT	NM_004182	218495_at	0.7509947	0.8475814	1.1154083	1.1558037	1.424445222	0.0607	0.0341	Ubiquitously-expressed transcript	Cell motility and organization
STOML2	AC_004472	215416_s_at	0.8473657	0.86893004	1.1664329	1.1077635	1.325699696	0.0873	0.073	Stomatin (EPB72)-like 2	Cell motility and organization
KRT18	NM_000224	201596_x_at	0.70362985	0.7701579	1.773745	1.6189647	2.311485025	0.0749	0.0445	Keratin 18	Cell motility and organization
DDX56	NM_019082	217754_at	0.7922028	0.8772299	1.436691	1.2241497	1.60450567	0.0607	0.0925	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	Cellular metabolism
DIMT1L	NM_014473	204405_x_at	0.77270037	0.74459386	1.4382764	1.2634012	1.779064605	0.0741	0.0807	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	Cellular metabolism
ATP5H	AF061735	210149_s_at	0.87929213	0.8635275	1.2408239	1.2516869	1.430333341	0.0954	0.072	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	Cellular metabolism
ATP5J2	NM_004889	202961_s_at	0.86534196	0.85527384	1.1214389	1.1323435	1.309951577	0.0948	0.0606	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	Cellular metabolism
