GenBank	 aYoung	 a Old	 a WS	Gene name	Synonym	Function
 NM_006207	5.92 IE	5.76 IE	NA	Platelet-derived growth factor receptor-like	PDGFRL	4NQO specific genes
 NM_002213	5.91	5.78	NA	Integrin, beta 5	ITGB5	4NQO specific genes
 AA127069	4.91	4.88	4.24	Ras-induced senescence 1	RIS1	4NQO specific genes
 NM_004218	4.28 IE	8.13 IE	5.54 IE	RAB11B, member RAS oncogene family	RAB11B	4NQO specific genes
 NM_005534	3.79 IE	NA	NA	Interferon gamma receptor 2 (interferon gamma transducer 1)	IFNGR2	4NQO specific genes
 NM_001998	3.64 IE	3.98 IE	3.19 IE	Fibulin 2	FBLN2	4NQO specific genes
 AA418694	3.47	3.12	NA	ATX1 antioxidant protein 1 homolog (yeast)	ATOX1	4NQO specific genes
 NM_005863	3.31 IE	6.33 IE	7.55 IE	Neuroepithelial cell-transforming gene 1	NET1	4NQO specific genes
 AA456028	3.22 IE	3.12	NA	Rab geranylgeranyltransferase, beta subunit	RABGGTB	4NQO specific genes
 H69049	3.19	3.06 IE	3.28 IE	CD36 antigen (collagen type I receptor, thrombospondin receptor)	CD36	4NQO specific genes
 NM_000786	3.15	NA	NA	Cytochrome P450, family 51, subfamily A, polypeptide 1	CYP51	4NQO specific genes
 NM_005719	3.05	3.30 IE	NA	Actin-related protein 2/3 complex, subunit 3, 21 kDa	ARPC3	4NQO specific genes
 NM_005951	3.01	NA	NA	Metallothionein 1H	MT1H	4NQO specific genes
 NM_014365	3.01	NA	NA	Protein kinase H11	H11	4NQO specific genes
 AA418689	3	4.49	NA	Polymerase (RNA) II (DNA directed) polypeptide F	POLR2F	4NQO specific genes
 NM_004652	-3.13	NA	NA	Ubiquitin-specific protease 9, X chromosome	USP9X	4NQO specific genes
 N54788	-3.23 IE	NA	NA	Cytochrome b reducatse 1	CYBRD1	4NQO specific genes
 R91950	-3.33 IE	-3.33	NA	Cytochrome b-5	CYB5	4NQO specific genes
 AK055180	-3.33 IE	-3.13	NA	Programmed cell death 2	PDCD2	4NQO specific genes
 NM_004996	-3.45 IE	-3.57 IE	NA	ATP-binding cassette, subfamily C (CFTR/MRP), member 1	ABCC1	4NQO specific genes
 AL833554	-3.45 IE	NA	NA	Interleukin 16 (lymphocyte chemoattractant factor)	IL16	4NQO specific genes
 R74171	-3.45 IE	-3.33 IE	NA	Rap2-interacting protein x	RIPX	4NQO specific genes
 NM_006856	-3.57 IE	-3.45 IE	NA	Activating transcription factor 7	ATF7	4NQO specific genes
 NM_001932	-3.70 IE	-3.85 IE	NA	Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	MPP3	4NQO specific genes
 H73714	3.39 IE	NA	NA	Replication factor C (activator 1) 1 (145 kDa)	RFC1	y-specific genes
 NM_002865	3.38 IE	NA	NA	RAB2, member RAS oncogene family	RAB2	y-specific genes
 AA453467	3.37	NA	NA	Lactate dehydrogenase C	LDHC	y-specific genes
 W45572	3.20 IE	NA	NA	ADP-ribosylation factor 1	ARF1	y-specific genes
 NM_138271	3.08 IE	3.28 IE	NA	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog,Sacharromyces cerevisiae)	ATRX	y-specific genes
 NM_002053	3.08 IE	3.1	3.08 IE	Guanylate-binding protein 1, interferon-inducible, 67 kDa	GBP1	y-specific genes
 NM_002715	3.03	4.34 IE	NA	Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	PPP2CA	y-specific genes
 NM_000245	-3.03	NA	NA	Met proto-oncogene (hepatocyte growth factor receptor)	MET	y-specific genes
 NM_000746	-3.03 IE	NA	NA	Cholinergic receptor, nicotinic, alpha polypeptide 7	CHRNA7	y-specific genes
 AA460302	-3.03 IE	NA	NA	Acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	MYO5B	y-specific genes
 X68560	-3.03	NA	NA	Sp3 transcription factor	SP3	y-specific genes
 T95553	-3.13	NA	NA	Helicase with zinc-finger domain	HELZ	y-specific genes
 NM_030981	-3.13 IE	NA	NA	RAB1B, member RAS oncogene family	RAB1B	y-specific genes
 N72976	-3.13 IE	NA	NA	General transcription factor IIIC, polypeptide 4, 90 kDa	GTF3C5	y-specific genes
 NM_004506	-3.33 IE	NA	NA	Heat?shock transcription factor 2	HSF2	y-specific genes
 R31512	-3.33	NA	NA	Activating transcription factor 7-interacting protein	ATF7IP	y-specific genes
 NM_005424	-3.33 IE	NA	NA	Tyrosine kinase with immunoglobulin and epidermal growth factor homology domains	TIE	y-specific genes
 BC024739	-3.45	-4.55 IE	-3.03	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	DDX18	y-specific genes
 NM_002869	-3.45 IE	NA	NA	RAB6A, member RAS oncogene family	RAB6A	y-specific genes
 NM_002930	-3.45	NA	NA	Ras-like without CAAX 2	RIT2	y-specific genes
 NM_001827	-3.45 IE	NA	NA	CDC28 protein kinase regulatory subunit 2	CKS2	y-specific genes
 NM_000284	-3.7	-3.13 IE	-3.23	Pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1	y-specific genes
 NM_145803	-3.70 IE	-3.57 IE	NA	TNF receptor-associated factor 6	TRAF6	y-specific genes
 NM_012448	-3.70 IE	-5.00 IE	-3.45 IE	Signal transducer and activator of transcription 5B	STAT5B	y-specific genes
 NM_000236	-3.85	-3.33 IE	NA	Lipase, hepatic	LIPC	y-specific genes
 R68464	-4.17 IE	-3.23 IE	-3.23 IE	Junctional adhesion molecule 2	JAM2	y-specific genes
 NM_000397	-4.17	-6.67 IE	-3.23 IE	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)	CYBB	y-specific genes
 H50677	-4.35 IE	-3.33 IE	NA	RNA-binding motif protein 6	RBM6	y-specific genes
 N57750	4.25 IE	6.54 IE	5.17 IE	Protein kinase, cAMP-dependent, catalytic, alpha	PRKACA	UV-specific genes
 NM_001781	3.9	NA	NA	CD69 antigen (p60, early T-cell activation antigen)	CD69	UV-specific genes
 AA485272	3.77	NA	NA	Hexokinase 1	HK1	UV-specific genes
 NM_005194	3.65 IE	NA	NA	CCAAT/enhancer-binding protein (C/EBP), beta	CEBPB	UV-specific genes
 NM_000395	3.51	NA	NA	Colony-stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	CSF2RB	UV-specific genes
 NM_001885	3.46 IE	NA	3.18 IE	Crystallin, alpha B	CRYAB	UV-specific genes
 W68559	3.35 IE	NA	3.40 IE	Angiotensin I-converting enzyme (peptidyl-dipeptidase A) 1	ACE	UV-specific genes
 NM_001299	3.33	NA	NA	Calponin 1, basic, smooth muscle	CNN1	UV-specific genes
 NM_003842	3.28	NA	NA	Tumor necrosis factor receptor superfamily, member 10b	TNFRSF10B	UV-specific genes
 NM_005399	3.26 IE	NA	NA	Protein kinase, AMP-activated, beta 2 noncatalytic subunit	PRKAB2	UV-specific genes
 AA169176	3.13 IE	NA	3.35 IE	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	GPD3	UV-specific genes
 N62248	-3.03 IE	NA	-3.45 IE	Eukaryotic translation initiation factor 4A, isoform 2	EIF4A3	UV-specific genes
 W49583	-3.13	-4.55 IE	NA	Growth differentiation factor 11	GDF11	UV-specific genes
 NM_000846	-3.13 IE	NA	NA	Glutathione S-transferase A2	GSTA2	UV-specific genes
 H56918	-3.13 IE	NA	NA	Eucaryotic translation initiation factor 4A, isoform 1	EIF4A2	UV-specific genes
 NM_006286	-3.13	NA	NA	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	UV-specific genes
 AA236141	-3.33	NA	NA	ATPase, Cu2+ transporting, alpha polypeptide (Menkes syndrome)	ATP7A	UV-specific genes
 N51858	-3.45	NA	NA	Ubiquitin ligase E3 alpha-II	KIAA0349	UV-specific genes
 AA057313	-3.57	NA	NA	MYST histone acetyltransferase (monocytic leukemia) 4	MYST4	UV-specific genes
 NM_007217	-3.57	NA	-4.00 IE	Programmed cell death 10	PDCD10	UV-specific genes
 NM_003474	-3.57 IE	NA	-3.45 IE	A disintegrin and metalloproteinase domain 12 (meltrin alpha)	ADAM12	UV-specific genes
 AA398492	-4.17	-3.23	-3.23	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3	ADAMTS3	UV-specific genes
 NM_006166	-6.25 IE	-7.69 IE	-10.00 IE	Nuclear transcription factor Y, beta	NFYB	UV-specific genes
 NM_139276	-8.33 IE	-8.33 IE	-7.14 IE	Signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	UV-specific genes
 T58773	-10.00 IE	-5.88 IE	-10.00 IE	Inositol polyphosphate-5-phosphatase, 40 kDa	INPP5A	UV-specific genes
 NM_002312	-12.50 IE	-7.69 IE	-16.67 IE	Ligase IV, DNA, ATP-dependent	LIG4	UV-specific genes
