Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
U08020	procollagen, type I, alpha 1	Col1a1	N.C.	N.C.	-2.6 ± 0.4	-2.0 ± 0.4	18
BF227507	procollagen, type I, alpha 2	Col1a2	N.C.	N.C.	-2.1 ± 0.4	-1.8 ± 0.4	14
AW550625	procollagen, type III, alpha 1	Col3a1	N.C.	N.C.	-2.8 ± 0.4	-1.9 ± 0.4	12
AW744319	procollagen, type V, alpha 1	Col5a1	N.C.	N.C.	-1.8 ± 0.4	N.C.	13
AV229424	procollagen, type V, alpha 2	Col5a2	-1.5 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	11
AF064749	procollagen, type VI, alpha 3	Col6a3	N.C.	N.C.	-1.8 ± 0.4	-1.8 ± 0.4	9
BB546487	procollagen, type VIII, alpha 1	Col8a1	N.C.	-2.0 ± 0.4	N.C.	N.C.	2
AK004383	procollagen, type IX, alpha 1	Col9a1	N.C.	-2.1 ± 0.4	N.C.	N.C.	7
NM_007729	procollagen, type XI, alpha 1	Col11a1	N.C.	-2.9 ± 0.5	N.C.	N.C.	5
NM_007732	procollagen, type XVII, alpha 1	Col17a1	N.C.	N.C.	-2.0 ± 0.4	N.C.	16
D17546	procollagen, type XVIII, alpha 1	Col18a1	N.C.	N.C.	N.C.	-1.6 ± 0.4	15
BB229377	elastin	Eln	N.C.	-2.0 ± 0.4	N.C.	N.C.	27
AK020015	elastin microfibril interfacer 1	Emilin1	N.C.	N.C.	N.C.	-2.5 ± 0.6	10
BB811788	elastin microfibril interfacer 2	Emilin2	N.C.	N.C.	-1.8 ± 0.4	N.C.	3
NM_007993	fibrillin 1	Fbn1	N.C.	N.C.	-1.8 ± 0.4	N.C.	35
AV246759	transforming growth factor, beta 2	Tgfb2	-1.9 ± 0.4	N.C.	-2.0 ± 0.4	-1.7 ± 0.4	22
BB554226	latent transforming growth factor beta binding protein 4	Ltbp4	N.C.	N.C.	N.C.	-1.5 ± 0.4	25
NM_133903	spondin 2, extracellular matrix protein	Spon2	N.C.	-3.3 ± 0.4	N.C.	N.C.	4
NM_008305	perlecan (heparan sulfate proteoglycan 2)	Hspg2	N.C.	-1.7 ± 0.4	N.C.	N.C.	6
AK017328	chondroitin sulfate proteoglycan 2	Cspg2	N.C.	-3.5 ± 0.4	N.C.	N.C.	8
BG065683	Hyaluronan and proteoglycan link protein 1	Hapln1	N.C.	-11.3 ± 1.0	N.C.	N.C.	1
NM_008606	matrix metalloproteinase 11	Mmp11	-3.2 ± 0.4	N.C.	-1.6 ± 0.4	-1.7 ± 0.4	36
NM_008608	matrix metallopeptidase 14 (membrane-inserted)	Mmp14	N.C.	N.C.	-1.5 ± 0.4	N.C.	37
NM_008609	matrix metalloproteinase 15	Mmp15	N.C.	N.C.	N.C.	-1.5 ± 0.4	38
AF282844	matrix metallopeptidase 16	Mmp16	N.C.	-2.4 ± 0.4	N.C.	N.C.	28
D67076	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	Adamts1	N.C.	N.C.	N.C.	-2.0 ± 0.4	34
