Description	Clustera	GenBankb	Fold activationc 28 h	31 h	33 h	50 h	66 h	92 h	10 days	Function
N-WASP	B	BE504979	3.9	4.1	2.1	2.3	5.6	4.5	12.1	Cytoskeleton
Cortactin	C	BG475299	2.4	2.4	1.6	3	1.8	1.9	4.2	Cytoskeleton
ARP2	C	AA699583	2.2	2.1	1.9	2.2	3.1	3.5	3.1	Cytoskeleton
Bicaudal D homolog 1	C	U90030	3.3	4.3	2.4	2.5	2.1	1.6	3.5	Cytoskeleton
Kelch-like 4	C	BF215673	2.2	2.4	1.9	2.8	2.9	4.1	5	Cytoskeleton
Tropomodulin	C	BC002660	1.3	1.6	1.6	2	2	3.2	4.9	Cytoskeleton
WAVE 3	G	AB020707	1.1	1.6	1.1	1.1	1.6	1.8	3.1	Cytoskeleton
Myomesin 1	G	NM_003803	1.3	1	1.2	1.8	1.5	2.1	3.5	Cytoskeleton
Adducin 3	G	NM_019903	0.6	1.3	1.1	1.1	1.5	1.7	3.3	Cytoskeleton
Amphiphysin	G	NM_001635	1	1.3	1.1	1.3	1.5	1.7	3.6	Cytoskeleton
Rho E	G	BG054844	0.9	0.9	1.1	1.1	1.3	1.1	3	Cytoskeleton
Rho GTPase activating protein 4	D	NM_001666	2.4	2.4	1.6	2.4	1.7	1	2.5	Cytoskeleton
Collagen, type I, alpha1	B	K01228	2.2	5.3	2.6	4.5	6.3	7.5	12.9	Cell matrix-interaction/adhesion/cell-cell interaction
Collagen, type V, alpha2	C	NM_000393	1	1.2	1.1	1.2	1.3	1.9	5.5	Cell matrix-interaction/adhesion/cell-cell interaction
Collagen, type XIV, alpha1	G	BF449063	1.3	1	1	1	1	1	6.6	Cell matrix-interaction/adhesion/cell-cell interaction
Matrix metalloproteinase 1 (MMP1)	G	NM_002421	1	0.9	1.2	0.8	1.1	1.4	4.5	Cell matrix-interaction/adhesion/cell-cell interaction
SPARC/osteonectin	B	NM_003118	3	7.6	2.9	10.9	6.2	15.9	79.7	Cell matrix-interaction/adhesion/cell-cell interaction
Plakoglobin	C	NM_021991	2	3.4	1.8	3	3.6	5.1	5.8	Cell matrix-interaction/adhesion/cell-cell interaction
Junctional adhesion molecule 1 (JAM)	C	AF154005	1.5	1.5	1.9	1.8	2.5	3.3	2.6	Cell matrix-interaction/adhesion/cell-cell interaction
OSF 2	G	D13665	0.9	1	0.8	1	1.2	1.4	4.5	Cell matrix-interaction/adhesion/cell-cell interaction
Plexin B2	G	BC004542	1	1.3	0.9	1.3	1.4	1.8	3.2	Cell matrix-interaction/adhesion/cell-cell interaction
Connexin 43	G	NM_000165	1	1.1	1	1.8	3.2	3.3	26	Cell matrix-interaction/adhesion/cell-cell interaction
DOCK4	G	NM_014705	1	1.1	1.2	1.2	1.5	1.7	3.6	Cell matrix-interaction/adhesion/cell-cell interaction
Neogenin homolog 1	G	NM_002499.1	0.9	0.7	1.3	1	1	1.4	3.1	Cell matrix-interaction/adhesion/cell-cell interaction
Sarcoglycan, epsilon	G	NM_003919	1.2	1	1	0.9	1.5	1.8	3.6	Cell matrix-interaction/adhesion/cell-cell interaction
Pleiotrophin	A	NM_002825	130.8	118	151.1	165.9	147.3	163.9	179.1	Signal transduction Cytokines, receptors
HB-EGF	B	M60278	2.3	3.3	1.9	2.2	2.3	2.3	2.7	Signal transduction Cytokines, receptors
Frizzled 7	B	NM_003507	3.7	6.1	3	5.3	3.8	4	7.2	Signal transduction Cytokines, receptors
IGFR1	C	H05812	2.3	2.3	2	1.9	1.6	1.9	3.6	Signal transduction Cytokines, receptors
IGFR2	C	BG031974	2.1	1.8	1.8	1.8	2.7	2.8	4.4	Signal transduction Cytokines, receptors
CXCR4	G	AJ224869	1	1	0.7	1.2	1.2	1.4	7.2	Signal transduction Cytokines, receptors
FAS1	G	AA164751	0.8	1.6	0.9	1.5	1.5	1.6	5.8	Signal transduction Cytokines, receptors
ERBB2	C	X03363	2.6	2.8	1.8	2.6	1.8	1.6	3.7	Signal transduction Cytokines, receptors
Interferon alpha, beta and o receptor 2	C	L41944	1.9	3.1	1.7	1.7	2.2	2	3.6	Signal transduction Cytokines, receptors
Interleukin 15 receptor, alpha	C	NM_002189	2.6	3.3	2.4	2.8	2.7	2.2	2.7	Signal transduction Cytokines, receptors
SMAD 5	C	AF010601	2.4	2.4	1.7	2	2.1	2	2.8	Intracellular transduction signal
Pellino	C	NM_020651	1.5	2.1	1.5	2.5	2.1	2.4	6	Intracellular transduction signal
Phospholipase C, epsilon	G	NM_006226	1.2	1.3	1	1.6	1	2.2	9.2	Intracellular transduction signal
AMPK ?2	G	NM_005399	1.1	1.5	1.3	1.2	1.4	1.8	3.1	Intracellular transduction signal
FAST kinase	G	NM_006712	1.2	1.3	0.7	1	1.4	1.3	3.6	Intracellular transduction signal
RAB14	D	AF112206	2.1	1.9	2.2	1.9	1.5	1.4	2.2	Intracellular transduction signal
RAB36	E	AF133588	1.8	2.9	1.9	2.6	0.9	0.4	1.6	Intracellular transduction signal
RAB3B	F	NM_002867	1.3	1.3	1.5	1.5	2.2	2.7	1.9	Intracellular transduction signal
RAB5B	C	AF267863	1.4	1.7	1.3	1.5	2.2	2.5	3.6	Intracellular transduction signal
RAB5C	F	AF141304	1.3	1.2	1	1.3	2.1	1.8	2.4	Intracellular transduction signal
Interferon, gamma-inducible protein 16	C	BG256677	2.6	4.2	3.4	4.1	6.1	7.4	16.1	Nuclear factor
HEYR1	B	NM_012258	2.3	3.8	2.1	3.4	3.3	3	4.7	Nuclear factor
Bagpipe homeobox homolog 1	C	NM_001189	2.9	3.7	1.7	2.5	3.3	3.8	3.9	Nuclear factor
HOXC8	C	NM_022658	2.3	1.3	2	2.5	2.4	1.9	2.8	Nuclear factor
POD1: transcription factor 21	C	NM_003206	1.3	1	1.8	2.1	3.6	4.7	12.1	Nuclear factor
Dachshund homolog	D	NM_004392	1.8	2.3	1.5	2.2	1.6	1.1	3.6	Nuclear factor
