Unigene ID	Gene Name	Description	Map	Avg M1 /   Avg M0
Hs.307944	38238	septin 8	5q31	5.262
Hs.355455	38240	septin 10	2q13	3.860
Hs.90606	38245	15 kDa selenoprotein	1p31	3.130
NA	1D12A	Pre-T/NK cell associated protein	NA	0.329
Hs.497941	76P	gamma tubulin ring complex protein (76p gene)	15q15	2.978
Hs.390608	A1BG	alpha-1-B glycoprotein	19q13.4	0.308
Hs.254593	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1p31	4.824
Hs.437178	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	17p13-p11	3.452
NA	ACTB	Actin, beta	NA	0.420
NA	ACTB	Actin, beta	NA	0.396
NA	ACTB	Actin, beta	NA	0.433
Hs.433512	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	2q14.1	5.947
Hs.297304	AD-017	glycosyltransferase AD-017	3p21.31	2.059
Hs.82933	AD-020	protein x 013	1p13.3	3.158
Hs.178748	ADAM21	a disintegrin and metalloproteinase domain 21	14q24.1	0.302
Hs.2442	ADAM9	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	8p11.22	2.719
Hs.40919	ALG2	asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase)	9q31.1	2.703
Hs.89499	ALOX5	arachidonate 5-lipoxygenase	10q11.2	0.356
Hs.89570	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	1p13	0.205
Hs.7101	ANAPC5	anaphase promoting complex subunit 5	12q24.31	0.104
Hs.530379	ANAPC7	anaphase promoting complex subunit 7	12q13.12	4.216
Hs.435023	ANKMY1	ankyrin repeat and MYND domain containing 1	2q37.3	0.255
Hs.158935	ANKRD23	ankyrin repeat domain 23	2q11.2	0.255
Hs.5897	ANTXR2	anthrax toxin receptor 2	4q21.3	5.099
Hs.82542	AOAH	acyloxyacyl hydrolase (neutrophil)	7p14-p12	0.227
Hs.446648	AP3B1	adaptor-related protein complex 3, beta 1 subunit	5q14.1	2.788
Hs.115099	APOL4	apolipoprotein L, 4	22q11.2-q13.2	0.197
Hs.28914	APRT	adenine phosphoribosyltransferase	16q24	0.344
Hs.33642	ARCN1	archain 1	11q23.3	2.235
Hs.13014	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3	22q13.2-q13.3	6.067
Hs.414164	ARHGAP21	Rho GTPase activating protein 21	10p12.31	6.253
Hs.292738	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	12p12.3	0.406
Hs.170333	ARID1A	AT rich interactive domain 1A (SWI- like)	1p35.3	2.252
Hs.342849	ARL5	ADP-ribosylation factor-like 5	2q24.1	3.049
Hs.75249	ARL6IP	ADP-ribosylation factor-like 6 interacting protein	16p12-p11.2	2.951
Hs.1619	ASCL1	achaete-scute complex-like 1 (Drosophila)	12q22-q23	0.376
Hs.413557	ASPH	aspartate beta-hydroxylase	8q12.1	4.565
Hs.80285	ATF2	activating transcription factor 2	2q32	3.604
Hs.77613	ATR	ataxia telangiectasia and Rad3 related	3q22-q24	2.813
Hs.397010	AYP1	AYP1 protein	11q13.1	0.296
Hs.512029	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-ike 1	17q25.3	0.464
Hs.435326	BAF53A	BAF53	3q27.1	3.291
Hs.512660	BAGE	B melanoma antigen	13	0.453
Hs.436488	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	14q12-q13	6.323
Hs.310922	BCL2L13	BCL2-like 13 (apoptosis facilitator)	22q11	2.007
Hs.436939	BICD2	bicaudal D homolog 2 (Drosophila)	9q22.32	4.381
Hs.444697	BLZF1	basic leucine zipper nuclear factor 1 (JEM-1)	1q24	5.562
Hs.367646	BM-002	hypothetical protein BM-002	13q13.3	6.596
Hs.369973	BM-009	hypothetical protein BM-009	8q24.21	2.886
Hs.278675	BRD4	bromodomain containing 4	19p13.1	0.230
Hs.150557	BTEB1	basic transcription element binding protein 1	9q13	12.058
Hs.355983	BZW1	basic leucine zipper and W2 domains 1	2q33	2.900
Hs.408487	C13orf10	chromosome 13 open reading frame 10	13q22.2	6.210
Hs.170641	C14orf126	chromosome 14 open reading frame 126	14q12	1.996
Hs.413671	C14orf135	chromosome 14 open reading frame 135	14q23.1	3.900
Hs.406401	C14orf32	chromosome 14 open reading frame 32	14q22.2	7.227
Hs.7943	C19orf2	chromosome 19 open reading frame 2	19q12	3.032
Hs.7991	C20orf102	chromosome 20 open reading frame 102	20q12	0.499
Hs.159538	C22orf1	chromosome 22 open reading frame 1	22q13.31	0.430
Hs.368545	C2orf8	chromosome 2 open reading frame 8	2p22.2	4.425
Hs.414993	C6orf111	chromosome 6 open reading frame 111	6q16.3	6.610
Hs.29857	C6orf113	chromosome 6 open reading frame 113	6q22.31	7.033
Hs.82921	C6orf165	chromosome 6 open reading frame 165	6q15	3.414
Hs.432608	C6orf62	chromosome 6 open reading frame 62	6p22.1	3.024
Hs.38069	C8B	complement component 8, beta polypeptide	1p32	0.506
Hs.12999	C9orf37	chromosome 9 open reading frame 37	9q34.3	0.323
Hs.23118	CA1	carbonic anhydrase I	8q13-q22.1	0.324
Hs.326763	CACNG7	calcium channel, voltage-dependent, gamma subunit 7	19q13.4	0.368
Hs.104125	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	1p34.2	3.383
Hs.13359	CAPNS2	calpain small subunit 2	16q13	0.302
Hs.309415	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	1p13.1	2.411
Hs.324725	CAS1	O-acetyltransferase	7q21.3	3.740
Hs.350229	CASC3	cancer susceptibility candidate 3	17q11-q21.3	5.036
Hs.3280	CASP6	caspase 6, apoptosis-related cysteine protease	4q25	7.834
Hs.395771	CAT	catalase	11p13	2.111
Hs.77254	CBX1	chromobox homolog 1 (HP1 beta homolog Drosophila )	17q	1.890
Hs.271387	CCL8	chemokine (C-C motif) ligand 8	17q11.2	0.450
Hs.438833	CCM1	cerebral cavernous malformations 1	7q21-q22	10.323
Hs.376071	CCND2	cyclin D2	12p13	3.157
Hs.143601	CCNL2	cyclin L2	1p36.33	2.515
Hs.292754	CCNT2	cyclin T2	2q21.3	2.873
Hs.1600	CCT5	chaperonin containing TCP1, subunit 5 (epsilon)	5p15.31	1.927
Hs.398093	CD84	CD84 antigen (leukocyte antigen)	1q24	0.320
Hs.396503	CDC10	CDC10 cell division cycle 10 homolog (S. cerevisiae)	7p14.3-p14.1	2.472
Hs.1592	CDC16	CDC16 cell division cycle 16 homolog (S. cerevisiae)	13q34	2.858
Hs.397734	CDK8	cyclin-dependent kinase 8	13q12	3.454
Hs.276770	CDW52	CDW52 antigen (CAMPATH-1 antigen)	1p36	0.255
NA	CG1I	Putative cyclin G1 interacting protein	NA	0.397
