Gene	Locus	t statistics Penn	t statistics MSKCC	Confidence Penn	Confidence MSKCC
STX12	1p35.3	?9.09	?2.66	0.996	0.98
PTP4A2	1p35	?7.62	?1.66	0.996	0.894
GNB1	1p36.33	?7.21	?1.75	0.996	0.904
CLSTN1	1p36.22	?7.05	?2.47	0.996	0.973
PUM1	1p35.2	?6.73	?1.83	0.996	0.915
RERE	1p36.23	?6.32	?2.48	0.996	0.973
DNAJC8	1p35.2	?6.22	?2.51	0.996	0.974
CDC42	1p36.1	?6.22	?1.57	0.996	0.889
KIAA0962	1p36.1	?5.95	?1.77	0.996	0.909
MFN2	1p36.21	?5.90	?2.06	0.996	0.942
KIAA0842	1p36.13	?5.90	?2.39	0.996	0.971
BAI2	1p35	?5.87	?2.54	0.996	0.974
ICMT	1p36.21	?5.72	?1.12	0.996	0.835
PRDM2	1p36	?5.65	?1.47	0.996	0.889
SLC35E2	1p36.33	?5.64	?2.69	0.996	0.98
P29	1p36.11	?5.52	?1.90	0.996	0.92
PIK3CD	1p36.2	?5.51	?1.99	0.996	0.938
CHD5	1p36.23	?5.45	?1.07	0.996	0.824
CAMTA1	1p36.23	?5.19	?1.99	0.996	0.938
CLCN6	1p36	?5.04	?1.44	0.996	0.889
FRAP1	1p36.2	?5.02	?0.99	0.996	0.805
SDC3	1p35.2	?4.94	?3.23	0.996	0.983
PMSCL2	1p36.22	?4.88	?2.22	0.996	0.957
CTNNBIP1	1p36.22	?4.86	?2.73	0.996	0.98
CDC2L1	1p36	?4.79	?1.53	0.996	0.889
RER1	1p36.33	?4.78	?1.57	0.996	0.889
KIAA0453	1p36.21	?4.77	?2.03	0.996	0.94
DJ159A19.3	1p36.13	?4.70	?1.77	0.996	0.909
SRRM1	1p36.11	?4.60	?3.29	0.996	0.985
SFRS4	1p35.2	?4.51	?2.66	0.996	0.98
UBE4B	1p36.3	?4.49	?1.69	0.996	0.895
CAPZB	1p36.1	?4.47	?3.10	0.996	0.98
TCEB3	1p36.1	?4.47	?1.54	0.996	0.889
EIF4G3	1p36.12	?4.39	?1.77	0.996	0.909
VAMP3	1p36.23	?4.35	?2.03	0.996	0.94
CASP9	1p36.21	?4.35	?0.97	0.996	0.805
FUCA1	1p36.11	?4.10	?2.02	0.996	0.94
RER1	1p36.33	?4.07	?1.30	0.996	0.866
AKR7A2	1p36.13	?3.86	?1.51	0.996	0.889
ECE1	1p36.1	?3.80	?2.09	0.996	0.945
CDC2L2	1p36.3	?3.73	?1.99	0.996	0.938
CDC2L2	1p36.3	?3.73	?2.54	0.996	0.974
DJ465N24.2.1	1p36.11	?3.60	?3.57	0.995	0.985
MGC33488	1p36.23	?3.51	?0.97	0.995	0.805
NUDC	1p36.11	?3.49	?1.44	0.995	0.889
PTP4A2	1p35	?3.48	?2.41	0.995	0.971
SHARP	1p36.13	?3.38	?1.53	0.995	0.889
KIAA0495	1p36.32	?3.29	?1.31	0.995	0.867
KIAA0469	1p36.23	?3.26	?2.40	0.994	0.971
VAMP3	1p36.23	?3.13	?1.08	0.994	0.824
KIAA0450	1p36.32	?3.12	?1.44	0.994	0.889
TNFRSF25	1p36.2	?3.12	?2.72	0.994	0.98
PRDM2	1p36	?3.09	?1.88	0.994	0.918
TNFRSF1B	1p36.22	?2.92	?2.67	0.992	0.98
RBAF600	1p36.13	?2.91	?1.47	0.992	0.889
TNFRSF1B	1p36.22	?2.67	?2.69	0.988	0.98
RUNX3	1p36	?2.61	?1.54	0.987	0.889
HMGCL	1p36.11	?2.60	?1.07	0.987	0.824
ARHGEF16	1p36.3	?2.55	?1.31	0.986	0.867
CASP9	1p36.21	?2.49	?1.54	0.985	0.889
KIAA1037	1p36.11	?2.47	?2.96	0.984	0.98
HTR6	1p36.13	?2.44	?1.57	0.983	0.889
STMN1	1p36.11	?2.34	?1.66	0.98	0.894
LYPLA2	1p36.11	?2.22	?1.28	0.973	0.866
TAF12	1p35.2	?2.12	?1.54	0.967	0.889
ZNF151	1p36.13	?2.07	?2.72	0.963	0.98
KIAA0478	1p36.12	?1.98	?1.39	0.958	0.881
LAPTM5	1p35.2	?1.89	?2.90	0.951	0.98
SCNN1D	1p36.33	?1.84	?1.23	0.947	0.858
G1P2	1p36.33	?1.73	?1.45	0.935	0.889
G1P2	1p36.33	?1.66	?1.33	0.926	0.868
CLIC4	1p36.11	?1.57	?1.24	0.918	0.859
RAP1GA1	1p36.12	?1.47	?1.37	0.904	0.879
CDW52	1p36	?1.47	?1.35	0.904	0.873
CORT	1p36.22	?1.30	?1.63	0.874	0.889
SDR1	1p36.1	?1.18	?1.50	0.85	0.889
LCK	1p35.2	?1.15	?1.41	0.845	0.882
HMGN2	1p36.1	?1.06	?1.84	0.835	0.915
GJB5	1p35.1	?0.99	?1.52	0.821	0.889
