Symbol	Genes	Genbank accession no.	Mean
DR3	Death receptor 3 (DR3)	U72763.1	0.5
GST-pi-1	Anionic glutathione-S-transferase (GST-pi-1)	X15480.1	0.5
TSHR	Thyroid stimulatory hormone receptor	M32215.1	0.5
PRDX6	Peroxiredoxin 6	NM_004905.2	0.499
IGFBP6	Insulin-like growth factor binding protein 6	M62402.1	0.499
HRR-1	Farnesol receptor	U68233.1	0.498
IL8RBA	Interleukin-8 receptor type A	U11870.1	0.497
RPS2	Ribosomal protein S2	NM_002952.2	0.493
COX6C	Cytochrome coxidase subunit Vic	NM_004374.2	0.49
HINT1	Histidine triad nucleotide–binding protein 1	NM_005340.2	0.489
E2F-1	pRB-binding protein	M96577.1	0.483
SKP1A	S-phase kinase–associated protein 1A (p19A; SKP1A), transcript variant 1	NM_006930.2	0.483
Hs.	HS1 protein	X57347.1	0.478
PPP2CA	Protein phosphatase 2 (formerly 2A), catalytic subunit, ?isoform	NM_002715.1	0.478
G3PD	Glyceraldehyde-3-phosphate dehydrogenase	X01677.1	0.473
VitDR	Vitamin D receptor	J03258.1	0.472
SEC61B	Sec61 ?subunit	NM_006808.2	0.47
SHC	SHC	X68148.1	0.47
COX6A1	Cytochrome coxidase subunit VIa polypeptide 1	NM_004373.2	0.46
PIN1	Peptidyl-prolyl isomerase and essential mitotic regulator	U49070.1	0.457
IL5R?	Interleukin 5 receptor ?	M75914.1	0.443
RAB	Cellular cofactor	L42025.1	0.435
CD6	T-cell glycoprotein CD6	X60992.1	0.434
NDUFB3	NADH dehydrogenase (ubiquinone) 1 ?subcomplex, 3, 12 kDa	NM_002491.1	0.433
TXN	Thioredoxin	NM_003329.1	0.431
COX4I1	Cytochrome coxidase subunit IV isoform 1	NM_001861.2	0.426
SMRT	Silencing mediator of retinoid and thyroid hormone action	U37146.1	0.423
ERK3	ERK3	X80692.1	0.422
TCRB	T-cell receptor ?chain	L07294.1	0.421
LGALS1	Lectin, galactoside-binding, soluble, 1 (galectin 1)	NM_002305.2	0.417
SOD1	Superoxide dismutase 1	NM_000454.2	0.414
ROX	ROX protein	X96401.1	0.41
BAG1	BCL2-associated athanogene	NM_004323.2	0.409
DC50	Hypothetical protein DC50	NM_031210.3	0.407
FTH1	Ferritin, heavy polypeptide 1	NM_002032.1	0.398
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5	NM_021141.2	0.387
GSTO1	Glutathione S-transferase ?1	NM_004832.1	0.384
TPM2	Tropomyosin 2 (?)	NM_003289.1	0.377
CD27L	CD27 ligand	L08096.1	0.374
PRDX1	Peroxiredoxin 1	NM_002574.2	0.372
RPS21	Ribosomal protein S21	NM_001024.2	0.371
MAD-3	MAD-3 mRNA encoding IkB-like activity	M69043.1	0.369
CRAF1	CD40 receptor associated factor 1	U21092.1	0.365
KIP2	Cdk-inhibitor p57KIP2	U22398.1	0.362
RPLP1	Ribosomal protein, large, P1	NM_001003.2	0.356
PIG3	Pig3	AF010309.1	0.341
GAS	Growth-arrest–specific protein	L13720.1	0.33
TMSB10	Thymosin, ?10 (TMSB10)	NM_021103.2	0.322
ME491	Melanoma-associated antigen ME491	X07982.1	0.313
ANXA2	Annexin A2	NM_004039.1	0.29
CollagenaseV	Collagenase type IV	J03210.1	0.29
S100A2	S100 calcium–binding protein A2	NM_005978.2	0.281
calpain	Calcium-activated neutral protease large subunit	X04366.1	0.262
FTL	Ferritin, light polypeptide	NM_000146.2	0.239
