Accession no.	Fold1	Gene name	Function
NM_004102	3.85	Fatty acid binding protein 3	Lipid metabolism
NM_006804	2.32	START domain containing 3	Lipid metabolism
NM_001995	2.07	Fatty-acid-coenzyme A ligase	Lipid metabolism
NM_000527	2.01	LDL receptor	Lipid metabolism
NM_004176	2.16	SREBP-1	Lipid metabolism
NM_000594	2.74	TNF-?	Inflammatory cytokine
M29383	2.01	Interferon-?	Inflammatory cytokine
M11734	2.44	GM-CSF2	Inflammatory cytokine
NM_002184	2.11	IL-6 signal transducer	Inflammatory response
NM_001065	2.21	TNF receptor 1	Inflammatory response
M27281	2.16	VEGF	Cytokine, growth factor
NM_000428	2.56	Latent TGF-? binding protein 2	Cytokine function
NM_000618	2.23	IGF-1 (somatomedin C)	Insulin function
NM_005542	4.01	Insulin-induced gene 1	Insulin function
NM_002303	2.16	Leptin receptor	Cell surface receptor
M59040	3.12	CD44 antigen	Cell surface molecule
U82164	3.56	Transmembrane protein CD99 type II	Cell surface molecule
J03202	2.86	Laminin-?2 chain	Excellular matrix
NM_006165	2.34	Nuclear factor related to ?B binding protein	Transcription factor
