Symbol	Acc ID	Name	R
CTTN	M98343	Cortactin	0.96
SLC39A1	BC047288	Solute carrier family 39 (zinc transporter), member 1	0.93
TTF2	NM_003594	Transcription termination factor, RNA polymerase II	0.93
TPI1	BM913099	Triosephosphate isomerase 1	0.93
DDAH1	NM_012137	Dimethylarginine dimethylaminohydrolase 1	0.92
EXTL1	NM_004455	Exostoses (multiple)-like 1	0.92
GNA11	BC063426	Guanine nucleotide binding protein (G protein), alpha 11	0.92
MAPK11	BC027933	Mitogen-activated protein kinase 11	0.92
SURB7	NM_004264	SRB7 suppressor of RNA polymerase B homolog (yeast)	0.91
HLA-DOA	NM_002119	Major histocompatibility complex, class II, DO alpha	0.9
STAT1	NM_007315	Signal transducer and activator of transcription 1, 91 kDa	0.89
AGRN	AB191264	Agrin	0.89
PTTG1IP	AK095586	Pituitary tumour-transforming 1 interacting protein	0.89
FXYD1	AK124802	FXYD domain containing ion transport regulator 1	0.88
DRPLA	BC051795	Dentatorubral-pallidoluysian atrophy	0.88
TULP3	NM_003324	Tubby like protein 3	0.88
BCAR1	AK124526	Breast cancer anti-oestrogen resistance 1	0.88
SPAG9	AF327452	Sperm associated antigen 9	0.87
ABCB6	BC043423	ATP-binding cassette, subfamily B (MDR/TAP), member 6	0.87
CAST	NM_173060	Calpastatin	0.87
BNIP2	AK125533	BCL2/adenovirus E1B 19 kDa interacting protein 2	-0.97
GCAT	AK123190	Glycine C-acetyltransferase	-0.92
TIMM10	BQ011318	Translocase of inner mitochondrial membrane 10 homolog (yeast)	-0.91
RNUT1	BG421329	RNA, U transporter 1	-0.9
ASCC3	AL834463	DJ467N11.1 protein	-0.9
GAS7	NM_201433	Growth arrest-specific 7	-0.88
CORO1A	AK123401	Coronin, actin-binding protein, 1A	-0.88
LCP2	NM_005565	Lymphocyte cytosolic protein 2	-0.88
WAS	BM455138	Wiskott–Aldrich syndrome	-0.88
EBP	BE253850	Emopamil-binding protein	-0.88
PSD4	BC073151	Pleckstrin and Sec7 domain containing 4	-0.87
KIAA1545	AB046765	KIAA1545 protein	-0.87
IDH3A	AK123316	Isocitrate dehydrogenase 3 (NAD+) alpha	-0.87
NIPBL	AJ627032	Nipped-B homolog (Drosophila)	-0.86
POLQ	NM_006596	Polymerase (DNA directed), theta	-0.86
C15orf22	AK075529	Chromosome 15 open reading frame 22	-0.85
RAC2	AK096924	Ras-related C3 botulinum toxin substrate 2	-0.85
PHF2	NM_005392	PHD finger protein 2	-0.85
TPBG	NM_006670	Trophoblast glycoprotein	-0.85
ARHGDIB	AK125625	Rho GDP dissociation inhibitor (GDI) beta	-0.84
