HG-U133A	Gene	Localization	GenBank	Description	Function
214414_X_AT	HBA2	T50399	16p13.3	Hemoglobin, alpha	Hemato-specific molecules
209116_X_AT	HBB	M25079	11p15.5	Hemoglobin,beta	Hemato-specific molecules
217232_X_AT	HBB	AF059180		Mutant beta-globin (HBB) gene	Hemato-specific molecules
204748_AT	PTGS2	NM_000963	1q25.2-q25.3	Prostaglandin-endoperoxide synthase 2	Hemato-specific molecules
202732_AT	PKIG	NM_007066	20q12-q13.1	Protein kinase inhibitor gamma	Signal transduction
212767_AT	Sprn	BC004409	10q26.3	Shadow of prion protein (GTPase of unknown function)	Signal transduction
205883_AT	PLZF	NM_006006	11q23.1	Zinc finger protein 145	Signal transduction
221290_S_AT	MUM1	NM_016473		Melanoma ubiquitous mutated protein	Transcription
213281_AT	JUN	BE327172	1p32-p31	V-jun sarcoma virus 17oncogene homolog (avian)	Transcription
216026_S_AT	POLE	AL080203	12q24.3	Polymerase (DNA directed), epsilon	Nucleus
218452_AT	SMARCAL1	NM_014140	2q34-q35	SMARCA-like protein 1	Nucleus
201215_AT	PLS3	NM_005032	Xq24	Plastin 3 (T isoform)	Cytoskeleton
208578_AT	HPN3	NM_006514	3p22-p21	Sodium channel, voltage-gated, type X, alpha	Transport
202307_S_AT	TAP1	NM_000593	6p21.3	Transporter 1, ATP-binding cassette, subfamily B	Transport
205222_AT	PBFE	NM_001966	3q26.3-q28	3-Hydroxyacyl coenzyme A dehydrogenase	Metabolism
209301_AT	CA2	M36532	8q22	Carbonic anhydrase II	Metabolism
203235_AT	THOP1	NM_003249	19q13.3	Thimet oligopeptidase1	Metabolism
212996_S_AT	C21ORF108	AF231919	21	Chromosome 21 open reading frame 108	Unclassified
205565_S_AT	X25	NM_000144	9q13-q21.1	Friedreich ataxia	Unclassified
203713_S_AT	LLGL2	NM_004524	17	Lethal giant larvae (Drosophila) homolog 2	Unclassified
212372_AT	MYH10	AK026977	17	Nonmuscle myosin heavy chain-B	Unclassified
219083_AT	FLJ10539	NM_018130	3p14.1	Hypothetical protein FLJ10539	Hypothetical proteins
219706_AT	FLJ11168	NM_018347	20p13	Hypothetical protein FLJ11168	Hypothetical proteins
218051_S_AT	FLJ12442	NM_022908		Hypothetical protein FLJ12442	Hypothetical proteins
46142_AT	FLJ12681	AI003763	16	Hypothetical protein FLJ12681	Hypothetical proteins
210463_X_AT	FLJ20244	BC002492	19p13.2	Hypothetical protein FLJ20244	Hypothetical proteins
222270_AT	KIAA1387	BG540048	2	Hypothetical protein KIAA1387	Hypothetical proteins
214051_AT	MGC39900	BF677486	X	Hypothetical protein MGC39900	Hypothetical proteins
203257_S_AT	FLJ22210	NM_024113	11p11.2	Hypothetical protein MGC4707	Hypothetical proteins
219000_S_AT	MGC5528	NM_024094	8q24.12	Hypothetical protein MGC5528	Hypothetical proteins
