Symbol	Title	Functiona	Accessionb	Medianc	25%c	75%c	%Up	Pd
NA	EST	Unknown	H04796	3.66	3.15	4.54	100	8.60E-12
LHX1	LIM homeobox protein 1	Transcription factor	U14755	2.80	2.03	5.52	100	2.64E-08
NFIL3	Nuclear factor, interleukin 3 regulated	Transcription factor	U26173	2.31	1.75	2.68	100	6.46E-11
PPI5PIV	Phosphatidylinositol (4,5) bisphosphate 5-phosphatase homologue; phosphatidylinositol polyphosphate 5-phosphatase type IV	Lipid metabolism	U45974	2.29	2.00	3.36	100	1.84E-09
PROCR	Protein C receptor, endothelial (EPCR)	Signal transduction	L35545	1.86	1.59	2.37	100	3.17E-12
NA	EST	Unknown	D80822	1.39	1.24	1.84	93.3	3.83E-05
CDH3	Cadherin 3, type 1, P-cadherin (placental)	Cell adhesion/cytoskeleton	X63629	3.03	2.69	5.62	92.9	7.22E-05
A	Protein “A”	Unknown	U47925	2.79	1.79	4.04	92.9	2.54E-05
D6S82E	HLA-B associated transcript-5	Immune	AA234856	1.90	1.39	2.32	92.9	8.87E-09
SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	Glucose transport	K03195	1.87	1.56	5.15	92.9	2.97E-04
PRPS1	Phosphoribosyl pyrophosphate synthetase 1	Purine base metabolism	D00860	3.07	2.16	3.73	92.3	6.05E-10
GFRA2	GDNF family receptor  2	Cell-cell signalling	U97145	2.75	2.24	3.99	92.3	3.57E-07
MGC5347	Hypothetical protein MGC5347	Unknown	AA176698	2.41	1.39	3.23	92.3	4.08E-08
SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	Energy generation	J02966	1.54	1.22	2.03	92.3	4.08E-06
RPA3	Replication protein A3 (14 kD)	DNA repair/Recombination	L07493	2.28	1.85	3.02	91.7	2.93E-02
SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	Transcription factor	Z46629	1.62	1.41	1.91	90.0	3.00E-04
HGF	Hepatocyte growth factor (hepapoietin A; scatter factor)	Signal transduction/growth factor	M73239	1.98	1.10	2.59	87.5	3.01E-06
TFRC	Transferrin receptor (p90, CD71)	Endosome/receptor (protein translocation)	AA806223	1.63	1.08	2.13	87.5	1.45E-03
HSPA9B	Heat shock 70kD protein 9B (mortalin-2)	RNA/protein processing	L15189	1.69	1.29	2.17	86.7	2.89E-05
HRH1	Histamine receptor H1	Signal transduction	D28481	1.64	1.19	2.77	85.7	1.64E-06
DNM1L	Dynamin 1-like	Mitochondrial membrane organization and biogenesis	AB006965	1.41	1.12	1.97	85.7	1.06E-05
NA	EST	Unknown	AI091879	1.75	1.34	2.14	84.6	3.55E-04
NA	EST	Unknown	H03296	1.59	1.15	2.40	84.6	8.79E-05
LAMC2	Laminin,  y2 (nicein (100 kD), kalinin (105 kD), BM600 (100 kD), Herlitz junctional epidermolysis bullosa)	Cell adhesion	AA079060	2.90	1.71	5.91	83.3	4.06E-02
MMP19	Matrix metalloproteinase 19	Protein degradation	U37791	2.52	1.62	3.73	83.3	1.81E-07
NME1	Non-metastatic cells 1, protein (NM23A) expressed in	Transcription factor	X17620	2.05	1.29	2.42	83.3	4.80E-03
ENC1	Ectodermal-neural cortex (with BTB-like domain)	Neuronal development	T03322	2.03	1.12	2.86	83.3	8.42E-04
CCNC	Cyclin C	Cell cycle control	M74091	1.94	1.45	2.85	83.3	2.62E-02
TUBA3	Tubulin,  a, brain-specific	Cell structure	AA706491	1.75	1.23	2.59	83.3	9.21E-04
LPAP	Lysophosphatidic acid phosphatase	Lipid metabolism/acid phosphatase	AA160670	1.54	1.16	2.05	83.3	8.88E-04
HOXB7	Homeo box B7	Transcription factor	M16937	2.17	1.22	2.41	82.4	9.20E-06
IRF7	Interferon regulatory factor 7	Transcription factor	U73036	1.90	1.21	2.88	82.4	3.13E-05
MYBPC2	Myosin-binding protein C, fast-type	Cytoskeletal	X73113	1.67	1.26	2.33	82.4	1.56E-09
HSF4	Heat shock transcription factor 4	Transcription factor	D87673	1.63	1.03	2.59	81.3	3.38E-07
RUVBL1	RuvB (Escherichia coli homolog)-like 1	DNA binding/DNA helicase	AB012122	1.47	1.04	2.06	81.3	1.73E-05
CHST1	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	Polysaccharide metabolism	U65637	1.94	1.43	3.20	80.0	4.43E-06
NA	EST, highly similar to integral membrane transporter protein [Homo sapiens]	Unknown	W93907	1.81	1.24	2.74	80.0	3.24E-03
HSPC195	Hypothetical protein	Unknown	W32401	1.26	1.09	1.93	78.9	1.84E-04
SERPING1	Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1	Immune response/serine protease inhibitor	M13690	3.11	1.30	4.16	78.6	3.13E-04
BCL2	B-cell CLL/lymphoma 2	Cell cycle regulator/apoptosis inhibitor	M14745	2.68	1.32	5.02	78.6	5.57E-04
LY6E	Lymphocyte antigen 6 complex, locus E	Signal transduction/receptor	U42376	1.75	1.13	3.39	78.6	2.75E-02
NA	EST	Unknown	AA400550	1.09	1.03	1.29	78.6	3.08E-03
ABCB2	ATP-binding cassette, sub-family B (MDR/TAP), member 2	Peptide transport	L21204	2.59	1.53	3.35	77.8	1.49E-06
RPL10	Ribosomal protein L10	Protein biosynthesis/RNA binding	AA149846	1.74	1.17	2.10	77.8	1.15E-03
MIA	Melanoma inhibitory activity	Cell proliferation	X75450	2.11	1.37	2.32	76.9	8.83E-04
SRPX	Sushi-repeat-containing protein, X chromosome	Unknown	U78093	1.16	1.02	2.29	76.9	1.12E-05
SCD	Stearoyl-CoA desaturase   -9-desaturase)	Fatty acid biosynthesis	AA452018	2.04	1.10	2.59	76.5	7.88E-03
PLAB	Prostate differentiation factor	Cell-to-cell signalling	N30179	2.11	1.03	3.81	75.0	1.91E-04
CHGB	Chromogranin B (secretogranin 1)	Peptide hormone	Y00064	2.08	1.05	3.54	75.0	1.77E-06
FHL3	Four and a half LIM domains 3	Muscle development	U60116	2.07	1.01	2.46	75.0	3.33E-03
NA	Human BAC clone GS1-99H8	Unknown	AA894447	2.06	1.44	3.77	75.0	2.03E-04
PLEK2	Pleckstrin 2 (mouse) homologue	Signal transduction	AA308562	1.83	1.35	15.32	75.0	4.36E-02
HRG	Histidine-rich glycoprotein	Blood coagulation	M13149	1.80	1.53	2.84	75.0	7.11E-04
KIAA1247	Similar to glucosamine-6-sulfatases	Unknown	AA777773	1.76	1.03	2.24	75.0	6.93E-03
IFITM2	Interferon induced transmembrane protein 2 (1-8D)	Immune response	X57351	1.76	1.06	3.29	75.0	1.97E-05
PRKDC	Protein kinase, DNA-activated, catalytic polypeptide	DNA repair/Recombination	AA670141	1.59	1.08	2.53	75.0	5.91E-03
NA	EST	Unknown	AA528820	1.52	0.87	2.52	75.0	4.45E-02
HSPCB	Heat shock 90kD protein 1, B	RNA/protein processing	AI273886	1.51	1.09	1.93	75.0	1.09E-04
SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	Monocarboxylic acid transport	L31801	1.34	0.95	3.31	75.0	8.57E-05
EIF3S9	Eukaryotic translation initiation factor 3, subunit 9 n, 116-kD)	Protein synthesis initiation	U78525	1.24	0.97	1.75	75.0	1.46E-03
SLC16A2	Solute carrier family 16 (monocarboxylic acid transporters), member 2 (putative transporter)	Monocarboxylic acid transport	U05321	1.22	0.94	1.52	75.0	1.02E-03
