Location	Accession no.	UniGene cluster	Log2 ratio	Gene name organized by designated gene products	Description/pathway	Function
22q12.1	NM_005080	Hs.149923	3.4 ± 0.7	X-box binding protein 1	DNA binding; immune response	Transcription
2p22.3–p21	NM_006887	Hs.78909	2.3 ± 0.5	zinc finger protein 36, C3H type-like 2	Oncogenesis; cell proliferation	Transcription
7q11.23	NM_033003	Hs.278589	1.9 ± 0.5	general transcription factor II	Protein binding; transcription initiation from Pol II promoter	Transcription
14q24.3	NM_005252	Hs.25647	1.6 ± 0.5	v-fos FBJ murine osteosarcoma viral oncogene homolog	Cell growth and maintenance; MAPK signaling pathway	Transcription
12q23–q24.1	NM_080911	Hs.78853	1.8 ± 0.9	uracil-DNA glycosylase	Base-excision repair	Replication and repair
11p12–p11	NM_000107	Hs.77602	1.5 ± 0.7	damage-specific DNA binding protein 2 (48 kD)	Pyrimidine-dimer repair; DNA damage excision	Replication and repair
12q24.1	NM_003211	Hs.173824	1.4 ± 0.6	thymine-DNA glycosylase	Base-excision repair	Replication and repair
16p11.2	NM_007317	Hs.119324	1.2 ± 0.4	kinesin-like 4	Mitosis; ATPase; DNA binding; microtubule motor	Replication and repair
2q33–q36	L27560	Hs.180324	5.5 ± 0.5	insulin-like growth factor binding protein 5 (IGFBP5)	Inhibitor of IGF signalling	Signal transduction mechanisms
10q11.1	NM_000609	Hs.237356	4.4 ± 1	stromal cell-derived factor 1	Chemokine; cell adhesion; immune response; response to viruses	Signal transduction mechanisms
12q13	NM_001982	Hs.199067	2.5 ± 0.4	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (v-erb-b2)	Transmembrane receptor protein tyrosin kinase; protein phosphorylation	Signal transduction mechanisms
14q31	NM_014216	Hs.6453	1.7 ± 0.3	inositol 1,3,4-triphosphate 5/6 kinase	Protein phosphorylation	Signal transduction mechanisms
6p25–p24	NM_006403	Hs.80261	1.4 ± 0.2	enhancer of filamentation 1	Regulation of cell cycle	Signal transduction mechanisms
7q11.23	NM_012479	Hs.25001	1.4 ± 0.5	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase	Protein kinase C binding	Signal transduction mechanisms
14q32.3	NM_001312	Hs.70327	1.4 ± 0.5	cysteine-rich protein 2	Zinc ion binding	Signal transduction mechanisms
6q12	NM_003463	Hs.227777	1.3 ± 0.3	protein tyrosine phosphatase type IVA, member 1	Oncogenesis; protein dephosphorylation; prenylated protein tyrosine phosphatase	Signal transduction mechanisms
5q31	NM_031860	Hs.247735	3.6 ± 0.5	protocadherin ? 10	Plasma membrane protein	Cell adhesion/cell motility/cell and matrix interaction-communication
7q31.1–q31.2	NM_005010	Hs.7912	3.5 ± 0.9	neuronal cell adhesion molecule	Immunoglobulin C-2 Type; Fibronectin type III domain; tumor suppressor	Cell adhesion/cell motility/cell and matrix interaction-communication
1q24.3	NM_005717	Hs.82425	4.3 ± 0.8	actin related protein 2/3 complex, subunit 5 (16 kD)	Actin cytoskeleton reorganization	Cell structure/matrix
9q34.3	NM_058199	Hs.74376	2.5 ± 0.5	olfactomedin 1	ERM family; Neurogenesis	Cell structure/matrix
6q23.3	NM_003980	Hs.146388	1.7 ± 0.3	microtubule-associated protein 7	Adaptation and maintenance of the cytoskeleton	Cell structure/matrix
7q11.1	NM_006409	Hs.90370	1.5 ± 0.3	actin related protein 2/3 complex, subunit 1A (41 kD)	Actin cytoskeleton reorganization	Cell structure/matrix
15q24.1	NM_018602	Hs.76853	1.5 ± 0.4	DnaJ (Hsp40) homolog, subfamily A, member 4	Associated with protein folding, complex assembly and export	Posttranslational modification, protein turnover, chaperones
6p21.3	NM_005345	Hs.8997	1.5 ± 0.3	heat shock 70 kD protein 1A	Cell division protein	Posttranslational modification, protein turnover, chaperones
4q32.3	NM_001873	Hs.75360	1.4 ± 0.7	carboxypeptidase E	Proteolysis and peptidolysis; neuropeptide signalling pathway	Posttranslational modification, protein turnover, chaperones
2p25	NM_002166	Hs.180919	4.0 ± 0.9	inhibitor of DNA binding 2, dominant negative helix-loop-helix	Developmental processes	Developmental processes
7q21.3–q22.1	NM_005916	Hs.77152	2.0 ± 0.9	MCM7 minichromosome maintenance deficient 7	DNA replication; cell cycle	Cell growth and apoptosis
8p21–p12	NM_001831	Hs.75106	2.0 ± 0.2	clusterin, apolipoprotein J	Lipid metabolism, proapoptotic protein	Cell growth and apoptosis
3q21–q22	NM_000532	Hs.63788	1.4 ± 0.2	propionyl Coenzyme A carboxylase, ? polypeptide	Carboxyl transferase domain	Metabolism
7p12.3–q11.2	NM_005918	Hs.343521	1.3 ± 0.2	malate dehydrogenase 2, NAD (mitochondrial)	Carbohydrate metabolism	Metabolism
16q22.2	NM_012320	Hs.6770	1.3 ± 0.1	lysophospholipase 3 (lysosomal phospholipase A2)	Fatty acid catabolism	Metabolism
22q12.3	NM_133642	Hs.25220	2.0 ± 0.8	like-glycosyltransferase	Glycosyl transferase family 8	Metabolism
17q25	NM_006356	Hs.64593	2.7 ± 0.9	ATP synthase, H+ transporting, mitochondrial F0 complex	Energy metabolism; oxidative phosphorylation	Metabolism
