Gene	Genbank no.	Description	Function
CD74	NM_004355	CD74, MHC, class II chain	Antigen presentation pathway
HLA-DMA	NM_006120	MHC, class II, DM alpha	Antigen presentation pathway
HLA-DMB	NM_002118	MHC, class II, DM beta	Antigen presentation pathway
HLA-DPA1	NM_033554	MHC, class II, DP alpha1	Antigen presentation pathway
HLA-DPB1	NM_002121	MHC, class II, DP beta1	Antigen presentation pathway
HLA-DQA1	NM_002122	MHC, class II, DQ alpha1	Antigen presentation pathway
HLA-DRA	NM_019111	MHC, class II, DR alpha	Antigen presentation pathway
HLA-DRB1	NM_002124	MHC, class II, DR beta1	Antigen presentation pathway
HLA-DRB3	NM_022555	MHC, class II, DR beta3	Antigen presentation pathway
HLA-DRB4	NM_021983	MHC, class II, DR beta4	Antigen presentation pathway
HLA-DRB5	NM_002125	MHC, class II, DR beta5	Antigen presentation pathway
HLA-E	NM_005516	MHC, class I, E	Antigen presentation pathway
HLA-DMA	NM_006120	MHC, class II, DM alpha	IL-4 signaling
HLA-DMB	NM_002118	MHC, class II, DM beta	IL-4 signaling
HLA-DQA1	NM_002122	MHC, class II, DQ alpha1	IL-4 signaling
HLA-DQB1	NM_002123	MHC, class II, DQ beta1	IL-4 signaling
HLA-DRA	NM_019111	MHC, class II, DR alpha	IL-4 signaling
HLA-DRB1	NM_002124	MHC, class II, DR beta1	IL-4 signaling
HLA-DRB5	NM_002125	MHC, class II, DR beta5	IL-4 signaling
PIK3CG	NM_002649	Phosphoinositide-3-kinase, catalytic, gamma polypeptide	IL-4 signaling
CCL4	NM_002984	Chemokine (C-C motif) ligand 4	Chemokine signaling
CCL5	NM_002985	Chemokine (C-C motif) ligand 5	Chemokine signaling
CCL24	NM_002991	Chemokine (C-C motif) ligand 24	Chemokine signaling
CXCR4	NM_003467	Chemokine (C-X-C motif) receptor 4	Chemokine signaling
FOS	NM_005252	v-fos FBJ murine osteosarcoma viral oncogene homologue	Chemokine signaling
PIK3CG	NM_002649	Phosphoinositide-3-kinase, catalytic, gamma polypeptide	Chemokine signaling
PLCG2	NM_002661	Phospholipase C, gamma 2 (phosphatidylinositol specific)	Chemokine signaling
C2	NM_000063	Complement component 2	Complement system
C1QA	NM_015991	Complement component 1, q subcomponent, A chain	Complement system
C1QB	NM_000491	Complement component 1, q subcomponent, B chain	Complement system
C1QC	NM_172369	Complement component 1, q subcomponent, C chain	Complement system
