Accession no.	Unigene no.	Description	Ratio of gene expression at different times after transfection 6 h	16 h	24 h	48 h	72 h	Function
AF035625	Hs.301772	Serine/threonine kinase 11(LKB1/STK11)	3.89	7.13	7.24	4.88	-b	NA
AA775447	Hs.74561	?-2-macroglobulin(A2M)	3.11	4.53	4.48	3	-	Adhesion molecules
AI016683	Hs.35094	Extracellular matrix protein 2(ECM2)	4.64	3.43	3.14	-	-	Adhesion molecules
AA709271	Hs.177691	Neural cell adhesion molecule 2(NCAM2)	3.68	3.7	3.89	-	-	Adhesion molecules
N75719	Hs.82085	Serine(or cysteine) proteinase inhibitor, clade E, member 1(SERPINE1)	6.89	-	4.64	3.91	3.92	Adhesion molecules
N78611	Hs.200272	B-cell CLL/lymphoma 6, member B(BCL6B)	4.91	-	3.21	-	-	Apoptosis
AA291513	Hs.16269	B-cell CLL/lymphoma 7, member B(BCL7B)	3.01	3	3.1	-	-	Apoptosis
AA699441	Hs.19405	Caspase recruitment domain 4(NOD1)	3.93	-	3.59	-	-	Apoptosis
g1388704	Hs.169611	Second mitochondria-derived activator of caspase(SMAC)	3.61	3.11	3.37	-	-	Apoptosis
AI301262	Hs.120996	Serine/threonine kinase 17b(STK17B)	3.58	5.07	4.56	-	-	Apoptosis
AA476272	Hs.211600	Tumor necrosis factor, ?-induced protein 3(TNFAIP3)	9.1	3.51	4.29	-	-	Apoptosis
R45433	Hs.181097	Tumor necrosis factor(ligand)superfamily, member 4(TNFSF4)	5.3	3.67	4.26	-	-	Apoptosis
H54629	Hs.83429	Tumor necrosis factor(ligand)superfamily, member 10(TNFSF10)	3.4	4.06	2.95	-	-	Apoptosis
AA443000	Hs.2175	Colony stimulating factor 3 receptor(CSF3R)	3.76	3.21	3.39	-	-	Cell cycle control
AA147214	Hs.80409	Growth arrest and DNA-damage-inducible, ?(GADD45A)	5.56	3.87	3.91	-	-	Cell cycle control
AI184305	Hs.110571	Growth arrest and DNA-damage-inducible, ?(GADD45B)	3.73	3.01	4.28	-	-	Cell cycle control
AA996024	Hs.91400	Histone deacetylase 4(HDAC4)	3.2	3.41	3.62	-	-	Cell cycle control
W94880	Hs.172350	Histone cell cycle regulation defective, Saccharomyces cerevisiae homolog(HIRA)	5.08	4.08	3.63	-	-	Cell cycle control
AA868028	Hs.115246	MutS(Escherichia coli) homolog 4(MSH4)	-	4.81	3.46	3.01	-	Cell cycle control
AA779457	Hs.1104	Bone morphogenetic protein 5(BMP5)	-	4.53	3.54	-	-	Differentiation and development
AA953456	Hs.127562	Homeo box C11(HOXC11)	-	3.15	3.05	-	-	Differentiation and development
W93113	Hs.89791	Wingless-type MMTV integration site family member 2(WNT2)	4.54	4.97	4.17	-	-	Differentiation and development
W49672	Hs.152213	Wingless-type MMTV integration site family, member 5A(WNT5A)	5.23	3.97	394	-	-	Differentiation and development
AA936678	Hs.10712	Phosphatase and tensin homolog(PTEN)	4.93	4.13	3.69	-	-	Differentiation and development
N50828	Hs.12940	Zinc-fingers and homeoboxes 1(ZHX1)	3.83	3	4.71	-	-	Differentiation and development
AI174266	Hs.137354	Egf-like module containing, mucin-like, hormone receptor-like sequence 2(EMR2)	3.09	5.18	3.04	3	3.01	Hormones
H27864	Hs.75426	Secretogranin II(SCG2)	7.08	4.35	5.87	3.4	3.4	Hormones
T68351	Hs.1360	Cytochrome P450, subfamily IIB polypeptide 6(CYP2B6)	4	3.12	3.34	-	-	Lung cancer
AI401776	Hs.268554	Cytochrome P450, subfamily IVF, polypeptide 8(CYP4F8)	3.31	-	3.58	-	-	Lung cancer
AI128840	Hs.153503	Hypothetical protein FLJ22529(FLJ22529)	3.19	-	3.14	-	-	Lung cancer
AA155778	Hs.107707	Mitochondrial ribosomal protein S15(MRPS15)	3.64	-	3.68	-	-	Lung cancer
AA136910	Hs.150402	Activin A receptor, type I(ACVR1)	4.54	-	4.88	-	-	Signal transduction and growth factors
N514999	Hs.42322	A kinase(PRKA) anchor protein 2(AKAP2)	3.3	3.04	-	-	-	Signal transduction and growth factors
AA427733	Hs.333257	Advillin(AVIL)	3.33	4.63	5.3	3	-	Signal transduction and growth factors
N31585	Hs.115263	Epiregulin(EREG)	6.07	3.01	3.48	-	-	Signal transduction and growth factors
AA418008	Hs.73172	Growth factor independent 1(GFI1)	-	3.07	3.78	-	-	Signal transduction and growth factors
AA233079	Hs.102122	Insulin-like growth factor binding protein 1(IGFBP1)	3.51	-	3.72	-	-	Signal transduction and growth factors
N20798	Hs.81665	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog(KIT)	3.27	4.22	4.05	-	-	Signal transduction and growth factors
AI147161	Hs.131953	v-maf musculoaponeurotic fibrosarcoma(avian) oncogene family, protein K(MAFK)	3.1	3	3.21	-	-	Signal transduction and growth factors
H00292	Hs.25155	Neuroepithelial cell transforming gene 1(NET1)	3.25	-	3.38	-	-	Signal transduction and growth factors
AA127673	Hs.267819	Protein phosphatase 1, regulatory subunit 2(PPP1R2)	3.31	3.32	3.45	-	-	Signal transduction and growth factors
AA682684	Hs.153932	Protein tyrosine phosphatase, nonreceptor type 3(PTPN3)	3.2	3.56	-	-	-	Signal transduction and growth factors
AA476460	Hs.78867	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1(PTPRZ1)	-	4.64	4.16	3.11	3.11	Signal transduction and growth factors
AA679341	Hs.26931	Ras association(RalGDS/AF-6)domain family 1(RASSF1)	-	3.53	5.04	3.04	-	Signal transduction and growth factors
AI015986	Hs.80905	Ras association(RalGDS/AF-6)domain family 2(RASSF2)	4.67	4.32	3.25	-	-	Signal transduction and growth factors
AA278633	Hs.182591	RAS guanyl releasing protein 1(calcium and DAG-regulated) (RASGRP1)	3.81	3.44	4.19	-	-	Signal transduction and growth factors
AA017544	Hs.75256	Regulator of G-protein signalling 1(RGS1)	6.94	5.6	4.32	5.23	5.23	Signal transduction and growth factors
AA700934	Hs.99034	GTP-binding protein Rho7(RHO7)	3.62	-	3.06	-	-	Signal transduction and growth factors
AA933077	Hs.170009	Transforming growth factor, ?(TGFA)	8.49	3.23	6.89	3.33	3.35	Signal transduction and growth factors
H21041	Hs.460	Activating transcription factor 3(ATF3)	3.48	-	4.3	-	-	Transcription factor
AA143678	Hs.241381	Cofactor required for Sp1 transcriptional activation, subunit 7(CRSP7)	-	-	3.08	3.56	-	Transcription factor
T89996	Hs.283565	FOS-like antigen-1(FOSL1)	6.07	-	4.36	3.09	3	Transcription factor
AA454711	Hs.198951	Jun B proto-oncogene(JUNB)	6.05	4.83	3.06	-	-	Transcription factor
AA952897	Hs.73090	Nuclear factor of ? light polypeptide gene enhancer in B-cells 2(NFKB2)	8.42	3.05	5.53	-	-	Transcription factor
AI435898	Hs.164347	Zinc finger protein 46(ZNF46)	3.02	-	3.51	-	-	Transcription factor
N62704	Hs.82916	Chaperonin containing TCP1, subunit 6A(CCT6A)	-	4.56	4.14	-	-	Ubiquitin pathways and chaperones
W01031	Hs.11050	F-box only protein 9(FBX06)	3.02	-	3.64	-	-	Ubiquitin pathways and chaperones
AA455107	Hs.301373	Ubiquitin-specific protease 19(USP19)	3.85	3.54	3.58	-	-	Ubiquitin pathways and chaperones
W85847	Hs.173880	Interleukin 1 receptor accessory protein(ILRAP)	4.33	3.7	4.41	-	-	Inmune response
AA057156	Hs.75596	Interleukin 2 receptor, ?(IL2RB)	3.02	3.55	3.45	-	-	Inmune response
AA629584	Hs.77541	ADP-ribosylation factor 5(ARF5)	3.39	-	3.07	-	-	Miscellaneous
AA676259	Hs.176626	Hypothetical protein EDAG-1(EDAG-2)	4.89	3.98	3.32	-	-	Miscellaneous
R63812	Hs.28444	Mitochondrial ribosomal protein S10(MRPS10)	3.4	-	3.48	-	-	Miscellaneous
AA903758	Hs.121378	Metallothionein-like 5, testis-specific(tesmin) (MTL5)	3.51	3.82	4.09	-	-	Miscellaneous
R69567	Hs.272620	Pregnancy-specific ?-1-glycoprotein 9(PSG9)	8.74	-	3.91	4.29	-	Miscellaneous
AI245607	Hs.198003	Sarcosine dehydrogenase(SARDH)	4.39	4.64	4.87	-	-	Miscellaneous
R76229	Hs.84700	Serologically defined colon cancer antigen 28(SDCCAG2)	3.55	-	3.75	-	-	Miscellaneous
AI276473	Hs.23590	Solute carrier family 16 member 4(SDC16A4)	3.21	-	4.48	-	-	Miscellaneous
AA490694	Hs.75445	SPARC-like 1(mast9, hevin) (SPARCL1)	3.87	4.61	3.26	-	-	Miscellaneous
N59426	Hs.182741	TIA1 cytotoxic granule-associated RNA-binding protein-like 1(TIAL1)	6.88	-	7.16	4.46	4.46	Miscellaneous
N49967	Hs.46624	HSPC043 protein(HSPC043)	4.82	-	3.32	-	-	Miscellaneous
