Common name	Genbank	Affymetrix ID	Fold Change	P-value
ACPP	NM_001099	204393_s_at	0.52	0.0129
AD-017	NM_018446	218146_at	0.584	0.0293
AMIGO2	AC_004010	222108_at	0.365	0.00516
APPBP2	AA046411	202630_at	0.61	0.0174
ASNS	NM_001673	205047_s_at	1.629	0.0412
ATAD2	NM_014109	218782_s_at	1.637	0.041
ATP6V0E	AV717561	214244_s_at	0.585	0.0269
ATXN1	NM_000332	203232_s_at	0.347	0.0117
AURKB	AB011446	209464_at	2.704	0.0326
B3GALT4	AB026730	210205_at	0.611	0.0144
BANK1	NM_017935	219667_s_at	0.647	0.00822
BCAP29	NM_018844	205084_at	0.596	0.0199
BIRC5	NM_001168	202095_s_at	1.953	0.00548
BM039 (CENPN)	NM_018455	219555_s_at	1.601	0.0426
BRE	AL566299	212645_x_at	0.527	0.00829
BUB1	AF043294	209642_at	1.733	0.0286
BUB1B	NM_001211	203755_at	1.698	0.000891
C18orf10	BF063896	213616_at	0.558	0.00256
C1orf9	NM_016227	203429_s_at	0.636	0.0189
C22orf18 (CENPM)	NM_024053	218741_at	1.657	0.0346
C5orf13	NM_004772	201310_s_at	0.594	0.00209
C6orf111	AW157501	212179_at	0.642	0.00971
C6orf210	NM_020381	219307_at	0.643	0.0199
C9orf116	AI830563	59437_at	0.643	0.031
C9orf127	NM_016446	207839_s_at	0.451	0.0216
CATSPER2	AW971983	217588_at	1.957	0.0452
CCNA2	NM_001237	203418_at	1.889	0.0496
CCNB1	BE407516	214710_s_at	1.689	0.00415
CCNB2	NM_004701	202705_at	1.8	0.00114
CCNE2	AF112857	211814_s_at	1.658	0.0412
CD24	AA761181	209771_x_at	0.566	0.031
CDC16	AF164598	209658_at	0.6	0.0377
CDC2	NM_001786	203214_x_at	1.834	0.0049
CDC20	NM_001255	202870_s_at	2.135	0.026
CDC25C	NM_001790	205167_s_at	1.667	0.000282
CDC6	NM_001254	203968_s_at	2.127	0.0251
CDC7	NM_003503	204510_at	1.526	0.0311
CDKN3	AF213033	209714_s_at	1.771	0.000997
CENPA	NM_001809	204962_s_at	2.132	0.0148
CENPC1	NM_001812	204739_at	0.59	0.0112
CENPF	NM_005196	207828_s_at	1.626	0.0272
CHEK1	NM_001274	205393_s_at	1.904	0.0187
CHEK1	NM_001274	205394_at	1.707	0.026
CITED2	NM_006079	207980_s_at	0.582	0.0191
CITED2	AF109161	209357_at	0.555	0.00423
CLUL1	NM_014410	206556_at	0.538	0.0429
COH1	AI052003	213243_at	0.634	0.0464
CPT2	M58581	204263_s_at	1.534	0.0118
CRADD	U79115	209833_at	0.645	0.00431
CTSL2	AF070448	210074_at	1.536	0.0173
CYFIP2	NM_030778	220999_s_at	0.562	0.00775
DEPDC1	NM_017779	220295_x_at	1.691	0.0153
DGKA	NM_001345	203385_at	0.646	0.0281
DMXL1	NM_005509	203791_at	0.626	0.0407
DSCR1L1	NM_005822	203498_at	0.429	0.0239
EFNB2	BF001670	202668_at	0.621	0.0369
ESPL1	D79987	38158_at	2.072	0.0444
F2R	NM_001992	203989_x_at	0.47	0.0396
FEN1	NM_004111	204768_s_at	1.914	0.0033
FLJ10036	NM_017975	218349_s_at	1.735	0.00812
FLJ10534	AI803633	221987_s_at	1.559	0.0302
FLJ22624	NM_024808	219544_at	1.682	0.00198
GABARAPL1	AF180519	211458_s_at	0.646	0.0247
GALNT7	NM_017423	218313_s_at	1.929	0.00125
GFPT1	BE645771	202721_s_at	1.512	0.0286
GGA2	AI799984	214190_x_at	1.683	0.0191
GTSE1	BF305380	204317_at	1.635	0.0185
GTSE1	NM_016426	204318_s_at	1.93	0.037
H2AFX	NM_002105	205436_s_at	1.854	0.00536
H2AFY	NM_024752	220375_s_at	0.651	0.00133
HCAP-G	NM_022346	218662_s_at	1.637	0.0208
HCAP-G	NM_022346	218663_at	1.983	0.0186
HECA	NM_016217	218603_at	0.643	0.034
HMGB2	BC000903	208808_s_at	1.746	0.00308
HMMR	NM_012485	207165_at	2.049	0.0256
HMMR	U29343	209709_s_at	1.67	0.0161
HPS1	NM_000195	203309_s_at	0.464	0.000428
IL13RA1	U81379	201888_s_at	2.762	0.00763
INSIG1	BE300521	201625_s_at	1.56	0.048
KIAA0999	AB023216	213034_at	0.648	0.0253
KIAA1608	NM_024820	219763_at	0.623	0.046
KIF14	NM_014875	206364_at	1.852	0.0111
KIF20A	NM_005733	218755_at	1.774	0.0219
KIF4A	NM_012310	218355_at	1.795	0.00852
KLK2	AA595465	209854_s_at	1.85	0.0482
KLK2	BC005196	210339_s_at	2.18	0.0141
KLK3	U17040	204583_x_at	1.559	0.0363
KNS2	AA284075	212877_at	0.607	0.00299
KNTC2	NM_006101	204162_at	1.862	0.0445
LAMB2	X79683	216264_s_at	0.588	0.045
LMAN1	U09716	203294_s_at	1.741	0.0364
