Functional Gene Group	Name	Genbank ID	Fold change	p value
Cell Proliferation and Cell Death	Topoisomerase (DNA) IIalpha  170kDa	AL561834	12.6	0.01
Cell Proliferation and Cell Death	TIA1 cytotoxic granule-associated RNA binding protein-like 1	NM_003252	8.3	0.005
Cell Proliferation and Cell Death	Fidgetin-like 1	AK023411	6.8	0.01
Cell Proliferation and Cell Death	Protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	AI379894	6.7	0.003
Cell Proliferation and Cell Death	Minichromosome maintenance complex component 10	AL136840	6.3	0.005
Cell Proliferation and Cell Death	Pleckstrin homology-like domain, family A, member 2	BC005034	5.9	0.004
Cell Proliferation and Cell Death	RFT1 homolog (S. cerevisiae)	BF475369	5.5	0.016
Cell Proliferation and Cell Death	Structural maintenance of chromosomes 4	AK002200	4.5	0.013
Cell Proliferation and Cell Death	Fanconi anemia, complementation group D2	AA579890	4.4	0.006
Cell Proliferation and Cell Death	Tumor supressor candidate 4	AF040708	3.5	0.007
Cell Proliferation and Cell Death	Tumor necrosis factor (ligand) superfamily, member 13	AF114012	3.2	0.051
Cell Proliferation and Cell Death	Cell division cycle associated 7-like	AK022955	3	0.01
Cell Proliferation and Cell Death	Pvt1 oncogene homolog, MYC activator (mouse)	BG200951	3	0.016
Cell Proliferation and Cell Death	Chromatin licensing and DNA replication factor 1	AW075105	2.8	0.005
Cell Proliferation and Cell Death	TNF receptor-associated factor 6	NM_004620	2.7	0.026
Cell Proliferation and Cell Death	BCL2-related ovarian killer	BE614255	2.6	0.011
Cell Proliferation and Cell Death	Matrix metallopeptidase 1 (interstitial collagenase)	NM_002421	10.8	0.018
Cell Proliferation and Cell Death	Matrix metallopeptidase 12 (macrophage elastase)	NM_002426	9.3	0.006
Cell Proliferation and Cell Death	Chitinase 3-like 1 (cartilage glycoprotein-39)	M80927	7.9	0.001
Cell Proliferation and Cell Death	ADAM metallopeptidase with thrombospondin type 1 motif, 12	NM_030955	5.4	0.008
Extracellular Matrix and Protease	Latent transforming growth factor beta binding protein 2	NM_000428	4.4	0.004
Extracellular Matrix and Protease	Matrix, extracellular phosphoglycoprotein with ASARM motif (bone)	NM_020203	3.5	0.026
Extracellular Matrix and Protease	WAP four-disulfide core domain 10B	NM_172006	3.1	0.016
Extracellular Matrix and Protease	Kallikrein-related peptidase 10	BC002710	3.1	0.013
Extracellular Matrix and Protease	Osteoglycin (Osteoinductive factor, Mimecan)	NM_014057	-2.5	0.005
Extracellular Matrix and Protease	Glycoprotein 2 (zymogen granule membrane)	BF222483	-2.6	0.003
Extracellular Matrix and Protease	Mucin 5AC, oligomeric mucus/gel-forming	AW192795	-2.6	0.01
Extracellular Matrix and Protease	Meprin A, alpha (PABA peptide hydrolase)	NM_005588	-4.7	0.003
Extracellular Matrix and Protease	Alanyl (membrane) aminopeptidase (aminopeptidase N  -aminopeptidase M, microsomal aminopeptidase, CD13, p150)	NM_001150	-4.7	0.003
Metabolism and Mitochondria	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	T67107	7.8	0.041
Metabolism and Mitochondria	Protein tyrosine phosphatase, non-receptor type 7	NM_002832	7.3	0.01
Metabolism and Mitochondria	Protease, serine, 21 (testisin)	NM_006799	6.9	0.012
Metabolism and Mitochondria	Glutathione peroxidase 2 (gastrointestinal)	NM_002083	6.1	0.013
Metabolism and Mitochondria	Aldehyde dehydrogenase 1 family, member B1	NM_000692	5.3	0.011
Metabolism and Mitochondria	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)	AU153267	5	0.004
