Gene	Symbol	Accession no.	Chromosome	Secondary glioblastomas Fold	Secondary glioblastomas P	Primary glioblastomas Fold	Primary glioblastomas P
Met proto-oncogene	MET	BG170541	7q31	8.48	0.017936	4.21	0.045314
Ribonucleotide reductase M2 polypeptide	RRMP	NM_001034.1	2p25	3.46	0.00015	3.52	0
Thymidylate synthetase	TYMS	NM_001071.1	18p11	2.77	0.00084	2.5	0.000025
Topoisomerase (DNA) II?,170 kDa	TOP2A	NM_001067.1	17q21	4.24	0.006921	2.65	0.001064
Centromere protein F, 350/400 kDa	CENPF	NM_005196.1	1q32	6.41	0.001846	2.98	0.000407
Highly expressed in cancer	HEC	NM_006101.1	18p11	3.57	0.003301	2.83	0
Cell division cycle 2, G1-S and G2-M	CDC2	AL524035	10q21	4	0.008511	2.5	0.000008
Hypothetical protein	FLJ23468	NM_024629.1	4q35	3.63	0.00146	2.5	0.000023
T-LAK cell-originated protein kinase	TOPK	NM_018492.1	8p21	3.64	0.009279	2.68	0.00019
Nucleolar protein ANKT	ANKT	NM_016359.1	15q14	3.44	0.000624	2.56	0.000004
Adrenomedullin	ADM	NM_001124.1	11p15	3.39	0.020445	6.76	0.00003
Vascular endothelial growth factor	VEGF	M27281.1	6p12	3.12	0.004844	6.1	0.000001
Fc fragment of IgG-binding protein I	FCGBP	NM_003890.1	19q13	2.63	0.036568	3.5	0.000005
Collagen type IV, ?1	COL4A1	NM_001845.1	13q34	3	0.002538	3.6	0.000003
Collagen type IV, ?2	COL4A2	AK025912.1	13q34	2.65	0.005812	3.2	0.000003
