Gene symbol	Locus link ID	Chromosome location	Molecular arrangement expression
EFNA3	1944	1q21-q22	High expression in NEG, BCR/ABL, E2A/PBX1, and ALL1/AF4
ARAF-1	369	Xp11.4-p11.2	High expression in NEG, BCR/ABL, E2A/PBX1, and ALL1/AF4
RAF-1	5894	3p25	High expression in NEG, BCR/ABL, E2A/PBX1, and ALL1/AF4
MAP2K1	5604	15q22.1-q22.33	High expression in NEG, BCR/ABL, E2A/PBX1, and ALL1/AF4
CLK3	1198	115q24	High expression in NEG, BCR/ABL, and ALL1/AF4
CSK	1445	15q23-q25	High expression in NEG, BCR/ABL, and ALL1/AF4
DYRK1A	1859	21q22.13	High expression in NEG, BCR/ABL, and ALL1/AF4
ROCK1	6093	18q11.2	High expression in NEG, BCR/ABL, and ALL1/AF4
OSR1	9943	3p22-p21.3	High expression in NEG, BCR/ABL, and ALL1/AF4
MAP3K11	4296	11q13.1-13.3	High expression in NEG, BCR/ABL, and ALL1/AF4
PSK	51677	16p12.1	High expression in NEG, BCR/ABL, and E2A/PBX1
NTRK3	4916	15q25	High expression in NEG, ALL1/AF4, and E2A/PBX1
PRKACA	5566	19p13.1	High expression in NEG and ALL1/AF4
AXL	558	19q13.1	High expression in NEG and ALL1/AF4
DDR1	780	6p21.3	High expression in NEG and BCR/ABL
PRKCB1	5579	16p11.2	High expression in NEG and BCR/ABL
