Gene name	Shortcut	Acc. No.	BM-MSC-M1 Log2ratio±SD	BM-MSC-M1 Log2ratio±SD	AT-MSC-M1 Log2ratio±SD	AT-MSC-M1 Log2ratio±SD	BM-MSC-M2 Log2ratio±SD	BM-MSC-M2 Log2ratio±SD	CB-MSC-M3 Log2ratio±SD	CB-MSC-M3 Log2ratio±SD	Function
extracellular matrix protein 2	ECM2	n79778	2.19	1	1.59	0.8	2.8	1.02	1.68	2.21	Extracellular matrix
extracellular matrix protein 2	ECM2	ai886645	2.17	1.52	1.23	0.99	3.14	1.12	1.79	2.39	Extracellular matrix
fibronectin 1	FN1	w57892	2.72	0.38	2.38	0.71	3.29	0.43	2.27	0.48	Extracellular matrix
fibronectin 1	FN1	ai262682	2.91	1.05	1.94	0.79	2.92	0.41	1.97	0.58	Extracellular matrix
fibronectin 1	FN1	ai926509	2.05	1.17	1.7	0.82	2.76	0.56	1.86	0.59	Extracellular matrix
fibronectin 1	FN1	ai832772	2.13	0.53	1.67	0.59	2.62	0.35	1.54	0.51	Extracellular matrix
glypican 4	GPC4	ai368019	2.53	0.83	1.94	1.17	2.99	0.96	1.09	1.03	Extracellular matrix
chondroitin sulfate proteoglycan 2	CSPG2	h52439	2.4	1.55	2.38	1.01	4.38	0.8	3.63	0.91	Extracellular matrix
Latent TGF beta binding protein 1	LTBP1	n93841	2.46	0.73	2	0.8	2.04	0.48	2.16	0.71	Extracellular matrix
DNA-damage-inducible transcript 4	DDIT4	aa016188	2.1	0.79	2.11	0.81	2.44	0.63	3.03	0.84	Cell signaling
transmembrane 4 superfamily member 1	TM4SF1	h38178	3.35	0.66	2.42	0.43	2.13	0.73	1.71	1.35	Cell signaling
transmembrane 4 superfamily member 1	TM4SF1	ai189378	3.29	0.95	2.19	0.54	2.24	0.73	1.67	1.43	Cell signaling
transmembrane 4 superfamily member 1	TM4SF1	ai911914	2.51	1.13	2.07	0.55	1.8	1.1	1.74	1.12	Cell signaling
angiotensin II receptor, type 1	AGTR1	r01615	3.52	0.93	2.27	0.78	1.97	0.94	2.89	1.76	Cell signaling
mitogen-inducible gene 6	MIG-6	n39305	1.75	0.29	1.08	0.32	2.03	0.38	3.07	0.41	Cell growth / development
steroid-sensitive gene 1	URB	aa446024	1.52	0.57	1.89	1.09	2.31	0.3	1.28	1.37	Cell growth / development
steroid-sensitive gene 1	URB	aa024662	1.61	0.8	1.78	1.09	2.41	0.33	1.13	1.31	Cell growth / development
inhibitor of DNA binding 1	ID1	h63080	1.59	0.61	1.38	0.55	1.18	0.37	2.76	0.92	Transcription regulatory protein
nuclear factor I/B	NFIB	aa047535	1.63	0.53	2.49	0.79	1.22	0.63	1.08	1.67	Transcription regulatory protein
delta sleep-inducing peptide	DSIPI	n50052	1.7	0.91	1.84	1.02	2.18	0.53	3.21	1.91	Transcription regulatory protein
Homeobox protein HOX-A5	HOXA5	n89758	1.31	0.87	1.06	0.95	1.44	0.67	0.74	1.80	Transcription regulatory protein
Homeobox protein HOX-B6	HOXB6	aa427938	1.6	0.78	1.1	0.68	2.26	0.31	0.89	1.06	Transcription regulatory protein
coiled-coil domain containing 2	CCDC2	w95494	2.18	0.45	1.48	0.57	2.6	0.31	1.77	0.41	Other
copineVIII	CPNE8	ai188010	2.14	0.7	1.72	0.44	1.62	0.45	1.21	0.51	Other
discs, large homolog-associated protein 1	DLGAP1	aa284288	2.48	0.81	1.83	0.77	2.56	0.73	1.64	0.62	Other
FLJ00133 protein	SNED1	r72086	2.2	1.69	1.08	1.36	1.51	0.81	1.24	2.38	Other
SEC13-like 1	SEC13L1	w72422	2.64	0.65	1.93	0.77	3.09	0.41	2.15	0.39	Other
lysine hydroxylase	PLOD2	h97211	2.6	0.84	1.57	0.85	2.37	1.16	1.62	1.07	Other
heterogeneous nuclear RNP M	HNRPM	w95488	2.02	0.26	1.35	0.58	2.52	0.23	1.7	0.29	Other
Hypothetical protein MGC20262	MGC20262	aa055361	2.11	0.89	1.26	0.75	3.24	0.42	1.31	2.03	Other
phosphoserine phosphatase	PSPH	n75009	1.42	1.13	1	1.02	1.29	0.89	1.16	0.74	Other
KIAA1712	KIAA1712	w92618	2.74	0.52	1.95	0.62	3.19	0.29	2.12	0.38	Other
