Accession no.	Gene name	Gene symbol	Average fold change Male 0.5 microgramEE	Average fold change Male 1 microgramEE	Average fold change Male 10 microgramEE	Average fold change Female 0.5 microgramEE	Average fold change Female 1 microgramEE	Average fold change Female 10 microgramEE
K00994	Intestinal calcium-binding protein	icabp	A	A	A	1.7	2	28.1
AF022147	Uterus-ovary specific putative transmembrane or integral membrane-associated protein	Itmap1	A	A	A	1.1	1.6	12.9
M83107	Transgelin or smooth muscle 22 protein (SM22)	Tagln	1	1	1	1.2	1.9	2.7
D84450	ATPase, NaþKþ transporting, b-polypeptide 3	Atp1b3	1.1	1.1	1.2	1.4	1.2	2.4
AA859581	EST, highly homologous to late gestation lung protein 1	Lgl1	1	1.1	1.2	1.4	1.3	2.3
J04171	Glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase)	Got1	1.1	1.1	1.2	1.3	-1	2.2
X02610	Enolase 1, alpha	Eno1	1.1	1.1	1.2	1.4	1.4	2
L00382	Skeletal muscle beta-tropomyosin and fibroblast tropomyosin 1		1	1	1.1	1.1	1.3	1.9
D14437	Calponin 1	Cnn1	1	1.1	1.1	1.1	1.3	1.8
D42148	Growth potentiating factor, identical to growth arrest specific 6	Gas6	1.1	1	1.2	1.1	1.2	1.8
U23056	Carcinoembryonic antigen-related cell adhesion molecule or C-CAM4	Ceacam1	1.1	1.1	1.1	1.1	1.3	1.7
AI180145	EST, highly homologous to protein-tyrosine phosphatase 1	Ptnp1	1	1	1.1	1.3	1.4	1.6
AJ005394	Collagen alpha 1 type V		1	1	1.2	1.4	1.8	1.6
AA998683	EST, highly homologous to heat shock 27 kDa protein	Hsp27	1	1.1	1	1	1.4	1.6
X73524	Desmin		1.1	1.2	1.2	1.1	1.3	1.5
AA894332	EST, Rattus norvegicus		1.1	1.1	1.2	1.3	1.1	1.5
AA818951	EST, highly homologous to pyruvate kinase 2	Pkm2	1	1	1.1	1.1	1	1.5
AA859757	EST, highly homologous to a-1 type V collagen	Col5a1	1	1	1.2	1.3	1.3	1.4
AI104399	EST, highly homologous to triosephosphate isomerase 1	Tpi1	1.1	1.1	1.2	1	1.2	1.4
U86635	Glutathione S-transferase, mu 5	Gstm5	-1.1	-1	-1.1	-1.2	-1.1	-1.4
AA875269	EST, highly homologous to stearoyl-CoA desaturase 2	Scd2	-1.1	-1.1	-1.2	-1.1	1	-1.4
U08290	Neuronatin alpha	Nnat	1	-1.1	-1.1	-1.1	-1	-1.4
M31837	Insulin-like growth factor-binding protein 3	Igfbp3	1	1.2	-1	-1.1	-1	-1.4
AA894092	EST, highly homologous to mouse osteoblast specific factor 2 (fasciclin I-like)		1.2	1.1	1	-1.1	1	-1.6
E01415	Glutathione S-transferase, mu type 3 (Yb3)	Gstm3	-1	-1.1	-1.2	-1.1	-1.6	-1.7
AA924772	EST, highly homologous to metallothionein 3	Mt3	-1.1	-1	-1.1	-1.4	-1.7	-1.9
D28560	Ectonucleotide pyrophosphatase or phosphodiesterase 2	Enpp2	1.1	1.1	-1.1	-1.2	-1.3	-2
X15512	Apolipoprotein C1	Apoc1	A	A	A	-1.5	-1.5	-2.4
