Viruses	KEGG pathways	z-score	UniGene ID	Symbol	Fold differrence	Up/Down
HBV-HCC vs HCV-HCC	Glycan structures-biosynthesis 1	2.02	Hs.8910	MAN1C1	2.23	Up
HBV-HCC vs HCV-HCC	Glycan structures-biosynthesis 1	2.02	Hs.2134215	CHSY1	2.4	Up
HBV-HCC vs HCV-HCC	Glycan structures-biosynthesis 1	2.02	Hs.443716	GALNTL5	2.06	Up
HBV-HCC vs HCV-HCC	O-glycan biosynthesis	2.62	Hs.398039	GALNTL4	2.21	Up
HBV-HCC vs HCV-HCC	O-glycan biosynthesis	2.62	Hs.411308	GALNTL2	0.37	Down
HBV-HCC vs HCV-HCC	Valine, leucine and isoleucine degradation	2.09	Hs.81886	AUH	2.36	Up
HBV-HCC vs HCV-HCC	Valine, leucine and isoleucine degradation	2.09	Hs.356894	HSD17B4	3.18	Up
HBV-HCC vs HCV-HCC	Valine, leucine and isoleucine degradation	2.09	Hs.167531	MCCC2	2.57	Up
HBV-HCC/HCV-HCC vs NV-HCC	Amyotrophic lateral sclerosis	2.86	Hs.27669	ALS2	2.57	Up
HBV-HCC/HCV-HCC vs NV-HCC	Amyotrophic lateral sclerosis	2.86	Hs.458657	NEFM	0.41	Down
HBV-HCC/HCV-HCC vs NV-HCC	Amyotrophic lateral sclerosis	2.86	Hs.409223	SSR4	2.69	Up
HBV-HCC/HCV-HCC vs NV-HCC	Apoptosis	2.7	Hs.1519	PRKAR1B	0.41	Down
HBV-HCC/HCV-HCC vs NV-HCC	Apoptosis	2.7	Hs.694	IL3	0.35	Down
HBV-HCC/HCV-HCC vs NV-HCC	Apoptosis	2.7	Hs.460433	IL3RA	0.33	Down
HBV-HCC/HCV-HCC vs NV-HCC	Apoptosis	2.7	Hs.401745	TNFRSF10A	0.11	Down
HBV-HCC/HCV-HCC vs NV-HCC	Butanoate metabolism	2.44	Hs.231829	GAD2	0.36	Down
