Gene Name	Gene Symbol	Accession No.	Fold Difference Ctrl/SCARKO
Placentae and embryos oncofetal gene	Pem	BM210473	17.55
Serine protease inhibitor, with Kunitz and WAP domains 1/Eppin	Spinlw1	NM_029325	8.01
?-1,4-Acetylgalactosaminyltransferase	Galgt1	U18975	7.07
Dopamine receptor 4	Drd4	NM_007878	5.61
Serine (or cysteine) proteinase inhibitor, clade A, member 3N	Serpina3N	NM_009252	5.49
Chaperonin subunit 3?/Matricin	Cct3	L20509	5.09
Testis specific X-linked gene	Tsx	NM_009440	5.01
Low-density lipoprotein receptor-related protein 4	Lrp4/Corin	NM_016869	3.92
Recombinant antineuramidase single chain Ig VH and VL domains	LOC56304	NM_019633	3.53
Glycerol-3-phosphate dehydrogenase 1 (soluble)	Gpd1	BC019391	3.42
Mcf.2 transforming sequence /Diffuse B-cell lymphoma oncogene	Mcf2/Dbl	NM_133197	2.83
Serine (or cysteine) proteinase inhibitor, clade A, member 12	Serpina12	AK014346	2.6
Expressed sequence AW125753	AW125753	BC002154	2.58
START domain containing 10 (Stard10)/Phosphatidylcholine transfer protein-like	PCTP-L	NM_019990	2.56
RIKEN cDNA 1700112P19 gene	1700112P19Rik	NM_026459	2.5
Ecotropic viral integration site 1	Evi1	NM_007963	2.46
Solute carrier family 22 (organic cation transporter), member 4	Slc22a4	BC010590	2.45
RIKEN cDNA 1500031H04	1500031H04Rik	BC017627	2.38
Proprotein convertase substilisin/kexin type 1 inhibitor /Granin-like neuroendocrine peptide precursor	Pcsk1n	AF181560	2.36
RIKEN cDNA 2300002F06	2300002F06Rik	BC024546	2.35
Tubulin, ?3	Tubb3	NM_023279	2.34
Serine (or cysteine) proteinase inhibitor, clade A, member 5 /Protein C inhibitor	Serpina5/PCI	NM_172953	2.33
Cysteine dioxygenase 1, cytosolic	Cdo1	NM_033037	2.3
Calsyntenin 1	Clstn1	BG065300	2.25
Tumor protein D52-like	Tpd52l1	NM_009413	2.19
N-acetylglutamate synthase	Nags	AF462069	2.15
Butyrophilin related 1	Butr1	NM_138678	2.13
Carbonic anhydrase 5b, mitochondrial	Car5b	NM_019513	2.09
