Fold upregulation a ST4 NBMYCN-NA	NBMYCN-AMP	Unigene	Symbol	Cytoband	Description
3.1	3.3	Hs.347524	MGC24665	16p13.2	Hypothetical protein MGC24665
2.5	1.9	Hs.164457	TK1	17q23.2?q25.3	Thymidine kinase 1, soluble
2.4	2.3	Hs.26516	ASF1B	19p13.13	ASF1 antisilencing function 1 homolog B (S. cerevisiae)
2.8	4.6	Hs.1578	BIRC5	17q25	Baculoviral IAP repeat-containing 5 (survivin)
2.3	3.2	Hs.250822	STK6 / STK15	20q13.2?q13.3	Serine/threonine kinase 6 (Aurora-A)
2.2	3.8	Hs.104859	DKFZp762E1312	2q37.2	Hypothetical protein DKFZp762E1312
2.2	1.5	Hs.70937	HIST1H3H	6p22?p21.3	Histone 1, H3h
2.1	3	Hs.434886	CDCA5	11q12.1	Cell division cycle-associated 5
2.1	2.8	Hs.373547	CDCA2	8p21.2	Cell division cycle-associated 2
2.1	2.9	Hs.153479	ESPL1	12q13	Extraspindle poles like 1 (S. cerevisiae)
2	3	Hs.528654	FLJ11029	17q23.2	Hypothetical protein FLJ11029
2	1.9	Hs.153704	NEK2	1q32.2?q41	NIMA (never in mitosis gene a)-related kinase 2
2	4.4	Hs.38178	KLIP1	4q35.1	KSHV latent nuclear antigen interacting protein 1
1.9	4.8	Hs.70704	C20orf129	20q11.22?q12	Chromosome 20 open-reading frame 129
1.9	2.7	Hs.241517	POLQ	3q13.33	Polymerase (DNA directed), theta
1.8	2.8	Hs.52184	FLJ20618	22q12.2	Hypothetical protein FLJ20618
1.8	2.1	Hs.25292	JUNB	19p13.2	jun B proto-oncogene
1.8	3.6	Hs.96055	E2F1	20q11.2	E2F transcription factor 1
1.8	2.3	Hs.224137	HSPC109	9q34.13	Hypothetical protein HSPC109
1.8	2.5	Hs.283532	BM039	16q23.2	Uncharacterized bone marrow protein BM039
1.8	4.5	Hs.83758	CKS2	9q22	CDC28 protein kinase regulatory subunit 2
1.7	2.7	Hs.77171	MCM5	22q13.1	MCM5 minichromosome maintenance deficient 5, cell division cycle 46
1.7	2	Hs.335951	NY-REN-41	11p14.2	NY-REN-41 antigen
1.7	2.7	Hs.115474	RFC3	13q12.3?q13	Replication factor C (activator 1) 3, 38 kDa
1.7	2.1	Hs.31442	RECQL4	8q24.3	RecQ protein-like 4
1.7	2.4	Hs.48480	ZNF367	9q22	Zinc-finger protein 367
1.7	4	Hs.294088	GAJ	4q31.3	GAJ protein
1.7	3.5	Hs.99185	POLE2	14q21?q22	Polymerase (DNA directed), epsilon 2 (p59 subunit)
1.7	2.8	Hs.423348	MEN1	11q13	Multiple endocrine neoplasia I
1.7	2.9	Hs.298646	PRO2000	8q24.13	PRO2000 protein
1.6	3.1	Hs.511769	LOC113174	11p15.1	Hypothetical protein BC012010
1.6	3.1	Hs.435733	CDCA7	2q31	Cell division cycle-associated 7
1.6	4.2	Hs.122908	CDT1	16q24.3	DNA replication factor
1.6	3.9	Hs.443409	ODC1	2p25	Ornithine decarboxylase 1
1.6	4.7	Hs.462306	UBE2S	19q13.43	Ubiquitin-conjugating enzyme E2S
1.6	1.4	Hs.376792	CDH4	20q13.3	Cadherin 4, type 1, R-cadherin (retinal)
1.6	0.8	Hs.142442	HP1-BP74	1p36.12	HP1-BP74
1.6	1.6	Hs.290758	DDB1	11q12?q13	Damage-specific DNA binding protein 1, 127 kDa
1.6	2.4	Hs.110757	D21S2056E	21q22.3	DNA segment on chromosome 21 (unique) 2056 expressed sequence
1.6	0.9	Hs.56874	HSPB7	1p36.23?p34.3	Heat-shock 27 kDa protein family, member 7 (cardiovascular)
1.5	3	Hs.19114	HMGB3	Xq28	High-mobility group box 3
1.5	3.4	Hs.83765	DHFR	5q11.2?q13.2	Dihydrofolate reductase
1.5	2.1	Hs.437420	ABP1	7q34?q36	Amiloride binding protein 1 (amine oxidase (copper-containing))
1.5	1.6	Hs.48855	CDCA8	1p34.2	Cell division cycle-associated 8
1.5	2.9	Hs.172052	PLK4	4q27?q28	Polo-like kinase 4 (Drosophila)
1.5	1.4	Hs.194686	SLC25A14	Xq24	Solute carrier family 25 (mitochondrial carrier, brain), member 14
1.5	1.1	Hs.247551	MTX1	1q21	Metaxin 1
1.5	2	Hs.59461	DKFZP434C245	3p21.31	DKFZP434C245 protein
1.5	2.4	Hs.383913	BLM	15q26.1	Bloom syndrome
1.5	0.9	Hs.24395	CXCL14	5q31	Chemokine (C-X-C motif) ligand 14
1.5	3	Hs.34045	CDCA4	14q32.33	Cell division cycle-associated 4
1.5	2.1	Hs.99807	FLJ40629	2q14.1	Hypothetical protein FLJ40629
1.5	3.1	Hs.114311	CDC45L	22q11.21	CDC45 cell division cycle 45-like (S. cerevisiae)
1.5	1.4	Hs.283551	EIF2B5	3q27.3	Eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82 kDa
1.5	1.6	Hs.155728	ATP5H	17q25	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d
1.5	1.8	Hs.47504	EXO1	1q42?q43	Exonuclease 1
1.5	1.9	Hs.87507	BRIP1	17q22?q24	BRCA1 interacting protein C-terminal helicase 1
1.5	2.7	Hs.179565	MCM3	6p12	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
1.5	1.8	Hs.32748	SAE1	19q13.33	SUMO-1 activating enzyme subunit 1
1.5	1.9	Hs.329989	PLK1	16p12.3	Polo-like kinase 1 (Drosophila)
1.5	3.3	Hs.256301	MGC13170	19q13.41	Multidrug resistance-related protein
