Accession	Function	Gene symbol	x^2	WRS 2P
U09579	Cell cycle	CDKN1A	53.33	3.65E-11
U78525	Amino acid synthesis	EIF3S9	49.99	2.25E-12
HT5158	DNA synthesis	GMPS	47.11	4.30E-12
X57129	Histone	H1F2	46.59	5.78E-13
M55210	Adhesion	LAMC1	45.63	1.34E-09
L77886	Signaling, phosphatase	PTPRK	45.62	5.42E-10
U73167	Glycosaminoglycan catabolism	HYAL3	44.78	1.07E-10
X16416	Oncogene, kinase	ABL1	43.1	3.96E-14
U57316	Transcription	GCN5L2	43.04	1.36E-12
Y09022	Protein glycosylation	NOT56L	42.05	5.53E-10
M25077	RNA binding	SSA2	41.26	1.69E-07
AC_002115	Mitochondrial respiration	COX6B	41.16	2.16E-08
Y07707	Transcription	NRF	37.59	4.79E-10
L22005	Protein ubiquination	CDC34	34.5	2.89E-06
X66899	Transcription	EWSR1	34.39	4.23E-08
D50912	RNA binding	RBM10	33.93	2.61E-06
HT4824	Amino acid synthesis	CBS	33.77	1.49E-06
U10324	Transcription	ILF3	33.33	3.66E-11
AD000684	Oncogene, transcription	USF2	32.18	7.41E-11
U68723	Cell cycle	CHES1	31.68	1.03E-06
X16323	Signaling, growth factor	HGF	30.67	4.82E-09
U24183	Metabolism	PFKM	30.47	8.92E-10
D13645	Unknown	KIAA0020	30.47	7.40E-06
S85655	Signaling, growth arrest	PHB	29.37	1.32E-08
X73478	Signaling, phosphatase	PPP2R4	28.32	6.92E-09
L77701	Mitochondrial respiration	COX17	27.81	1.33E-06
U20657	Oncogene, proteasome	USP4	27.71	2.31E-06
M59916	Signaling, DAG signaling	SMPD1	27.49	3.52E-08
D16688	Oncogene, DNA binding	MLLT3	27.24	6.97E-13
X90392	DNA endonuclease	DNASE1L1	26.98	4.72E-07
U07424	Amino acid synthesis	FARSL	26.93	1.66E-06
X54199	DNA synthesis	GART	26.57	9.61E-11
L06175	Unknown	P5-1	26.57	5.16E-07
M55267	Unknown	EVI2A	25.92	3.79E-06
M87507	Protein degradation	CASP1	25.78	5.46E-07
M90356	Transcription	BTF3L2	25.78	9.68E-08
U35637	Cytoskeletal matrix	NEB	25.4	9.15E-06
L06845	Amino acid synthesis	CARS	25.34	5.39E-08
U81001	DNA, nuclear matrix attachment	SNURF	24.58	4.54E-05
U76189	Heparan sulfate synthesis	EXTL2	24.58	7.28E-06
U53225	Protein trafficking	SNX1	24.48	5.53E-07
X04366	Protein degradation	CAPN1	24.35	1.26E-09
U77456	Protein folding	NAP1L4	24.27	4.23E-10
L42379	Signaling, growth arrest	QSCN6	24.27	1.28E-10
U09578	Signaling, kinase	MAPKAPK3	24.27	2.35E-09
Z80780	Histone	H2BFH	24.27	3.44E-12
HT4899	Oncogene, transcription	MYC	24.27	1.77E-05
M74088	Signaling, b-catenin regulator	APC	23.94	1.50E-05
X57985	Histone	H2BFQ	23.9	3.25E-12
X79882	Drug resistance	MVP	23.47	1.77E-11
X77383	Protein degradation	CTSO	23.18	4.68E-07
M91592	Transcription	ZNF76	23.16	1.12E-08
X63692	DNA methyltransferase	DNMT1	23.12	5.15E-11
M60752	Histone	H2AFO	21.6	1.46E-08
M96684	Transcription	PURA	21.25	4.54E-05
U16660	Metabolism	ECH1	21.18	5.52E-05
M86737	DNA repair	SSRP1	20.6	2.62E-05
U35113	Histone deacetylase	MTA1	20.6	6.67E-10
X81788	Unknown	ICT1	20.42	2.97E-07
HT2217	Signaling	MUC2A	20.33	2.61E-07
M62324	Unknown	MRF1	20.31	3.98E-09
U09367	Transcription	ZNF136	20.3	7.72E-09
X89985	Cytoskeletal matrix	BCL7B	19.81	5.50E-09
L19871	Transcription repression	ATF3	19.43	1.13E-06
X69398	Adhesion	CD47	19.16	6.44E-07
X05323	Signaling, macrophage inhibitor	MOX2	19.16	8.58E-06
X04741	Protein ubiquination	UCHL1	19.14	9.76E-05
D87683	Vesicular transport	TSC1	19.12	6.81E-06
D17525	Complement cascade	MASP1	18.81	4.05E-07
