Gene name 	 Gene symbol 	 Accession no. 	 Function 	 Group† 	Cell Type
Integrin, beta 1	 ITGB1 	 NM_002211 	Cell adhesion and signal transduction	M-1	 Memory cells highly expressed genes 
Proline-serine-threonine phosphatase interacting protein 1	 PSTPIP1 	 NM_003978 	Cell adhesion and signal transduction	M-2	 Memory cells highly expressed genes 
Epstein-Barr virus induced gene 2	 EBI2 	 NM_004951 	G-protein coupled receptor signaling	M-1	 Memory cells highly expressed genes 
Platelet activating receptor homolog	 GPR171 	AF002986 	G-protein coupled receptor signaling	M-1	 Memory cells highly expressed genes 
G protein-coupled receptor 65	 GPR65 	BC035633 	G-protein coupled receptor signaling	M-2	 Memory cells highly expressed genes 
Arachidonate 5-lipoxygenase-activating protein	 ALOX5AP 	 NM_001629 	Immune response	M-1	 Memory cells highly expressed genes 
Chemokine (C-C motif) receptor 5	 CCR5 	 NM_000579 	Immune response	M-1	 Memory cells highly expressed genes 
Chemokine (C-X-C motif) receptor 6	 CXCR6 	 NM_006564 	Immune response	M-1	 Memory cells highly expressed genes 
Granzyme K	 GZMK 	 NM_002104 	Immune response	M-1	 Memory cells highly expressed genes 
Killer cell lectin-like receptor subfamily B-1	 KLRB1 	 NM_002258 	Immune response	M-1	 Memory cells highly expressed genes 
Interferon-induced protein 44	 IFI44 	 NM_006417 	Immune response	M-2	 Memory cells highly expressed genes 
Interleukin 18 receptor 1	 IL18R1 	 NM_003855 	Immune response	M-2	 Memory cells highly expressed genes 
Interleukin 18 receptor accessory protein	 IL18RAP 	 NM_003853 	Immune response	M-2	 Memory cells highly expressed genes 
S100 calcium binding protein A11 (calgizzarin)	 S100A11 	 NM_005620 	Regulation of cell proliferation 	M-1	 Memory cells highly expressed genes 
Signaling lymphocytic activation molecule family 1	 SLAMF1 	 NM_003037 	Regulation of cell proliferation 	M-1	 Memory cells highly expressed genes 
CCAAT/enhancer binding protein delta	 CEBPD 	 NM_005195 	Regulation of transcription	M-1	 Memory cells highly expressed genes 
Sin3-associated polypeptide	 SAP30 	 NM_003864 	Regulation of transcription	M-1	 Memory cells highly expressed genes 
Basic helix-loop-helix domain containing class B-2	 BHLHB2 	 NM_003670 	Regulation of transcription	M-2	 Memory cells highly expressed genes 
Tumor necrosis factor, alpha-induced protein 3	 TNFAIP3 	 NM_006290 	Regulation of transcription	M-2	 Memory cells highly expressed genes 
cAMP responsive element modulator	 CREM 	 NM_183013 	Regulation of transcription	M-2	 Memory cells highly expressed genes 
Regulator of G-protein signaling 1	 RGS1 	 NM_002922 	Signal transduction	M-1	 Memory cells highly expressed genes 
Dual specificity phosphatase 10	 DUSP10 	 NM_007207 	Signal transduction	M-2	 Memory cells highly expressed genes 
EphA4	 EPHA4 	 NM_004438 	Signal transduction	M-2	 Memory cells highly expressed genes 
Protein kinase C and casein kinase substrate in neurons 1	 PACSIN1 	 NM_020804 	Signal transduction	M-2	 Memory cells highly expressed genes 
Regulator of G-protein signaling 2, 24 kDa	 RGS2 	 NM_002923 	Signal transduction	M-2	 Memory cells highly expressed genes 
T-cell receptor interacting molecule	 TRIM 	 NM_016388 	Signal transduction	M-1	 Memory cells highly expressed genes 
Interleukin 4 induced 1	 IL4I1 	 NM_172374 	Structure and metabolism	M-1	 Memory cells highly expressed genes 
Lymphocyte-activation gene 3	 LAG3 	 NM_002286 	Structure and metabolism	M-1	 Memory cells highly expressed genes 
Sialyltransferase 8A	 SIAT8A 	 NM_003034 	Structure and metabolism	M-1	 Memory cells highly expressed genes 
DnaJ (Hsp40) homolog, subfamily C, member 1	 DNAJC1 	 NM_022365 	Structure and metabolism	M-2	 Memory cells highly expressed genes 
Villin 2 (ezrin)	 Ezrin 	AF188896 	Structure and metabolism	M-2	 Memory cells highly expressed genes 
Wiskott-Aldrich syndrome protein interacting protein	 WASPIP 	 NM_003387 	Structure and metabolism	M-2	 Memory cells highly expressed genes 
Nerve growth factor receptor associated protein 1	 NGFRAP1 	 NM_014380 	Immune response	N-1	 Naive cells highly expressed genes 
Fc fragment of IgG binding protein	 FCGBP 	 NM_003890 	Immune response	N-1	 Naive cells highly expressed genes 
Adenylate kinase 5	 AK5 	BC012467 	Signal transduction	N-1	 Naive cells highly expressed genes 
Lymphoid enhancer-binding factor 1	 LEF1 	 NM_016269 	Signal transduction	N-1	 Naive cells highly expressed genes 
Proprotein convertase subtilisin/kexin type 5	 PCSK5 	 NM_006200 	Signal transduction	N-1	 Naive cells highly expressed genes 
Mal, T-cell differentiation protein	 MAL 	 NM_002371 	Signal transduction	N-2	 Naive cells highly expressed genes 
SNF-1 related kinase	 SNRK 	 NM_017719 	Signal transduction	N-2	 Naive cells highly expressed genes 
HMT1 hnRNP methyltransferase-like 1	 HRMTIL1 	 NM_001535 	Signal transduction	N-2	 Naive cells highly expressed genes 
Actinin, alpha 1	 ACTN1 	 NM_001102 	Structure and metabolism	N-1	 Naive cells highly expressed genes 
Keratin protein K6irs	 K6IRS2 	 NM_080747 	Structure and metabolism	N-1	 Naive cells highly expressed genes 
Kelch-like 3 (Drosophila)	 KLHL3 	 NM_017415 	Structure and metabolism	N-1	 Naive cells highly expressed genes 
S100 calcium binding protein, beta (neural)	 S100B 	 NM_006272 	Structure and metabolism	N-2	 Naive cells highly expressed genes 
