Gene name	Symbol	Accession no.	Locus	Fold change A	Fold change Bc
Integral membrane glycoprotein-like	NA	U21556	5p13.3	3.55	16.94
Chromosome 12 open reading frame 24	C12orf24	AW958081	12q24.11	2.63	10.63
Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	SLC7A5	M80244	16q24.3	4.82	10.08
Serine/threonine kinase 31	STK31	AF332194	7p15.3	3.11	9.76
Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	MPP3	U37707	17q12-q21	3.78	9.13
Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	LRP8	D86407	1p34	3.93	8.91
Expressed sequence tags	TDRD9	AA844124	14q32.33	2.38	8.48
Dipeptidase 1 (renal)	DPEP1	D13138	16q24.3	17.7	8.12
Oviductal glycoprotein 1, 120 kDa (mucin 9, oviductin)	OVGP1	NM_002557	1p13	3.32	8.06
Centromere protein F, 350/400 ka (mitosin)	CENPF	U19769	1q32-q41	4.17	7.24
Mevalonate kinase (mevalonic aciduria)	MVK	BG474232	12q24	2.98	7.04
Interleukin 8 receptor, b	IL8RB	AW969370	2q35	3.46	6.52
GREB1 protein	GREB1	AB011147	2p25.1	3.28	6.15
Expressed sequence tags	AK126318	BE672109	17q22	3.61	5.76
Fatty acid binding protein 6, ileal (gastrotropin)	FABP6	X90908	5q33.3-q34	4.81	5.69
Zinc finger protein 200	ZNF200	NM_003454	16p13.3	2.83	4.77
Calcium channel, voltage-dependent, L type, a 1S subunit	CACNA1S	AI417964	1q32	2.45	4.49
Zinc finger protein 783	ZNF783	AF035281	7q36.1	2.85	4.08
Thyroid hormone receptor interactor 13	TRIP13	AL562757	5p15.33	4.23	3.78
Matrix metalloproteinase 11 (stromelysin 3)	MMP11	AW301093	22q11.23	6.12	3.54
Nucleoporin 43 kDa	NUP43	AU155156	6q25.1	2.25	3.54
F-box and leucine-rich repeat protein 2	FBXL2	AAF03128	3p22.3	2.69	3.4
Calpain 3, (p94)	CAPN3	AI978885	15q15.1-q21.1	3.01	3.24
Tubulin, b4	TUBB4	X00734	19p13.3	2.7	3.1
Neuronal pentraxin II	NPTX2	BC009924	7q21.3-q22.1	3.77	3.06
Ubiquitination factor E4A (UFD2 homologue, yeast)	UBE4A	BF691464	11q23.3	2.36	2.87
Transcription factor Dp-1	TFDP1	BC011685	13q34	2.57	2.86
Renal tumor antigen	RAGE	BF037188	14q32	2.85	2.65
Ras-related associated with diabetes	RRAD	AI186786	16q22	3.82	2.62
Prostaglandin E receptor 4 (subtype EP4)	PTGER4	NM_000958	5p13.1	3.76	2.48
KIAA0251 protein	KIAA0251	AA318390	16p13.11	4.13	2.48
Melanoma antigen family A, 11	MAGEA11	NM_005366	Xq28	2.69	2.43
PHD finger protein 16	PHF16	D86969	Xp11.3	2.6	2.31
Wolfram syndrome 1 (wolframin)	WFS1	Y18064	4p16	2.95	2.22
Isovaleryl coenzyme A dehydrogenase	IVD	M34192	15q14-q15	3.75	2.18
Methionine adenosyltransferase II, a	MAT2A	F07456	2p11.2	3.44	2.07
c-Aminobutyric acid B receptor, 1	GABBR1	NM_021905	6p21.31	3.1	2.01
Lactamase, b 2	LACTB2	BC000878	8q22-q22.3	2.78	2.01
