Transcript	Gene symbol	Gene name	Transcript physical position (Mb)	Genetic marker at peak of linkage	Marker physical position (Mb)	P valuekidney	P valuefat
1367689_a_at	Cd36	Cd36 antigen	13.51	Cd36	13.51	3.00E-06	1.00E-06
1386901_at	Cd36	Cd36 antigen	13.51	Cd36	13.51	<10-6	1.00E-06
1383303_at	Sah	SAH (Sah) gene, complete cds	178.22	Sah	178.17	1.00E-05	>0.05
1387791_at	Ace	Angiotensin 1 converting enzyme 1	95.39	D10Utr2	95.58	2.10E-04	>0.05
1377212_at		Transcribed sequences	3.57	D12Rat56	3.02	1.00E-06	1.00E-06
1377244_at		Similar to zinc finger protein 95 (LOC304275), mRNA	9.73	D12Cebrp97s4	5.55	1.50E-05	1.00E-06
1387366_at	Ilf3	Interleukin enhancer binding factor 3	20.5	D8Rat68	19.46	<10-6	<10-6
1388617_at		Similar to RIKEN cDNA 2010012D11 (LOC361239), mRNA	37.15	D17Rat144	37.97	3.00E-06	3.00E-06
1369655_at	Pik3c3	Phosphatidylinositol 3-kinase	22.56	D18Rat103	20.16	<10-6	0.025
1371776_at	Pik3r1	Phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1	32.52	D2Rat94	31.1	1.40E-04	8.60E-04
1388437_at		Transcribed sequences	115.17	D7Cebr77s1	115.04	>0.05	<10-6
1390364_at		Transcribed sequences	32.78	D11Mit2	30.89	>0.05	<10-6
