Gene	Location	CpG island size (bp)	CpG island from 5-gene (bp)	No. CpG	% CpG	No. GpC	% GpC	% C+G	Obs/Exp CpG	CpG/GpC ratio	No. BstUI and/or TaqI sitesc	Selection method
SMAP1	6q12-q13	793	Within	95	24	113	28.5	73.9	0.88	0.84	3	CGH
TTK	6q13-q21	419	Within	39	18.6	44	21	63.2	0.94	0.89	1	CGH
RRAGD	6q15-q16	1,469	Within	169	23	177	24.1	74.1	0.85	0.95	4	Microarray
MAP3K7	6q16.1-q16.3	723	Within	67	18.5	58	16	64	0.91	1.16	4	CGH
AIM1	6q21	1,221	35	119	19.5	142	23.3	69.1	0.82	0.84	5	Microarray
CCNC	6q21	706	Within	61	17.3	59	16.7	62.7	0.88	1.03	6	Microarray
CDC40	6q21	941	-657	104	22.1	112	23.8	70.1	0.91	0.93	6	Microarray
NR2E1	6q21	4,868	Within	328	13.5	465	19.1	60.6	0.74	0.71	6	Microarray
REV3L	6q21	1,952	Within	224	23	255	26.1	70.1	0.94	0.88	9	In silico
PEX7	6q21-q22.2	810	Within	91	22.5	97	24	68.6	0.96	0.94	8	In silico
KIAA1919	6q22	524	Within	51	19.5	67	25.6	67.9	0.85	0.76	2	CGH
MYB	6q22-q23	2,257	Within	212	18.8	275	24.4	65.8	0.87	0.77	12	Microarray
TBPL1	6q22.1-q22.3	1,534	Within	116	15.1	119	15.5	60.6	0.83	0.97	7	CGH
PTPRK	6q22.2-23.1	1,968	Within	173	17.6	207	21	65.5	0.82	0.84	8	In silico
MAP3K5	6q22.33	1,690	Within	187	22.1	236	27.9	70.5	0.9	0.79	11	In silico
TNFAIP3	6q23	1,316	Within	121	18.4	149	22.6	65.4	0.86	0.81	5	Microarray
CTGF	6q23.1	740	Within	103	27.8	114	30.8	75.1	1.01	0.9	7	In silico
IL20RA	6q23.3	827	172	104	25.2	128	31	75.7	0.88	0.81	10	Microarray
PEX3	6q23-q24	474	-32	47	19.8	54	22.8	64.8	0.95	0.87	6	Microarray
TCF21	6q23-q24	579	363	51	17.6	69	23.8	68	0.76	0.74	8	In silico
PERP	6q24	628	Within	87	27.7	99	31.5	74.7	1	0.88	8	In silico
FUCA2	6q24	554	Within	55	19.9	69	24.9	68.8	0.84	0.8	9	In silico
GPR126	6q24.1	870	Within	91	20.9	113	26	72.2	0.8	0.81	5	Microarray
AIG1	6q24.2	474	0	52	21.9	54	22.8	70.5	0.9	0.96	9	In silico
RAB32	6q24.3	945	Within	106	22.4	127	26.9	73.7	0.83	0.83	6	Microarray
SASH1	6q24.3	1,044	Within	103	19.7	118	22.6	65.2	0.93	0.87	15	In silico
PLAGL1	6q24-q25	931	Within	118	25.3	138	29.6	74	0.93	0.86	4	Microarray
LATS1	6q24-q25.1	776	Within	84	21.6	106	27.3	72.6	0.83	0.79	3	In silico
SYNE1	6q25	662	Within	74	22.4	90	27.2	74.3	0.82	0.82	9	Microarray
AKAP12	6q25.1	1,267	Within	132	20.8	172	27.2	69.8	0.86	0.77	7	Microarray
MTHFD1L	6q25.1	1,365	57	173	25.3	206	30.2	76.2	0.87	0.84	5	Microarray
RBM16	6q25.1-q25.3	1,217	Within	140	23	162	26.6	73	0.86	0.86	6	CGH
CNKSR3	6q25.2	1,441	Within	141	19.6	171	23.7	69.5	0.82	0.82	4	In silico
PNLDC1	6q25.3	347	Within	37	21.3	46	26.5	68.9	0.93	0.8	7	CGH, Microarray
SOD2	6q25.3	1,306	Within	135	20.7	182	27.9	71.3	0.82	0.74	6	CGH
SYNJ2	6q25.3	1,372	Within	156	22.7	183	26.7	72.5	0.87	0.85	6	CGH, Microarray
SYTL3	6q25.3	603	-6,115	73	24.2	83	27.5	74.5	0.87	0.88	6	Microarray
ACAT2	6q25.3-q26	1,341	655	125	18.6	153	22.8	66	0.86	0.82	8	CGH, Microarray
WTAP	6q25-q27	1,336	Within	149	22.3	175	26.2	71	0.89	0.85	6	CGH, Microarray
MAP3K4	6q26	1,187	Within	143	24.1	149	25.1	66.6	1.12	0.96	8	CGH
DACT2	6q27	814	Within	91	22.4	114	28	71	0.9	0.8	11	Microarray
PDCD2	6q27	639	Within	77	24.1	105	32.9	74.2	0.88	0.73	5	In silico
PHF10	6q27	1,615	Within	255	31.6	279	34.6	80.7	1	0.91	9	CGH
