Systematic Name	Common Name	GenBank ID	LLID	Description	Function
95297_at	Hoxa1	NM_010449	15394	ERA1; early retinoic acid; Hoxa1	Transcription factors
93888_at	Hoxb1	NM_008266	15407	mouse Hox-2.9	Transcription factors
97746_f_at	Hoxa4	X66861		Hox-1.4 gene	Transcription factors
97745_at	Hoxa4	AK076098	15401	homeo box A4	Transcription factors
92255_at	Hoxb4	NM_010459	15412	homeo box B4	Transcription factors
103086_at	Hoxa5	NM_010453	15402	mouse Hox 1.3 gene	Transcription factors
103666_at	Hoxb5	NM_008268	15413	homeo box B5	Transcription factors
102660_at	Hoxc4	NM_013553	15423	homeo box C4	Transcription factors
98419_at	Meox1	NM_010791	17285	mesenchyme homeobox 1	Transcription factors
104655_at	Tbx2	NM_009324	21385	T-box 2	Transcription factors
94804_at	Pbx1	NM_008783	18514	pre B-cell leukemia transcription factor 1	Transcription factors
104701_at	Bhlhb2	NM_011498	20893	basic helix-loop-helix domain containing, class B2	Transcription factors
104462_at	Hic1	NM_010430	15248	hypermethylated in cancer 1	Transcription factors
94813_at	Gas1	NM_008086	14451	growth arrest specific 1	Cell cycle/cell growth
95546_g_at	Igf1	NM_184052	16000	insulin-like growth factor 1	Cell cycle/cell growth
103457_at	Rev3l	NM_011264	19714	REV3-like, catalytic subunit of DNA polymerase zeta	Cell cycle/cell growth
101900_at	Cdkn2b	NM_007670	12579	cyclin-dependent kinase inhibitor 2B, p15	Cell cycle/cell growth
98320_at	Cyp26a1	NM_007811	13082	cytochrome P450, family 26, subfamily a 1	Retinoid metabolism
102797_at	Dhrs3	NM_011303	20148	retinal short-chain dehydrogenase/reductase 1	Retinoid metabolism
104716_at	Rbp1	NM_011254	19659	cellular retinol binding protein 1	Retinoid metabolism
98485_at	Rhpn2	NM_027897	71747	rhophilin, Rho GTPase binding protein 2	Cell signaling
98772_at	Cxcl5	NM_009141	20311	chemokine (C-X-C motif) ligand 5	Cell signaling
98486_at	Stmn4	NM_019675	56471	stathmin-like 4	Cell signaling
161817_f_at	4930422J18Rik	NM_029035	74646	SPRY domain-containing SOCS box protein SSB-1	Cell signaling
161013_f_at	4930422J18Rik	NM_029035	74646	SPRY domain-containing SOCS box protein SSB-2	Cell signaling
160827_at	Rin2	NM_028724	74030	Ras and Rab interactor 2	Cell signaling
92429_at	Mc2r	NM_008560	17200	Mus musculus ACTHR gene for adrenocorticotropin receptor	Cell signaling
93097_at	Arg1	NM_007482	11846	arginase 1, liver	Other
96055_at	Cck	NM_031161	12424	mouse CCK gene for cholecystokinin	Other
102295_at	Kcna5	NM_008419	16493	potassium voltage-gated channel	Other
104406_at	Ptges	NM_022415	64292	prostaglandin E synthase	Other
99065_at	Csnk	BC037432	12994	casein kappa	Other
97549_at	Cfl2	NM_007688	12632	cofilin 2, muscle	Other
96122_at	2310016A09Rik	NM_181588	69574	RIKEN cDNA 2310016A09 gene	ESTs
95621_at	9030623C06Rik	NM_023256	66809	RIKEN cDNA 9030623C06 gene	ESTs
96221_at	Al429613	NM_134000	103213	expressed sequence Al429613	ESTs
