Name	GenBank accession no.	Redundancy in screening	Intensity of BMT	Intensity of DCs	DC/BMT
?-tubulin	K00558	4	1?312	37?669	28.7
S100 calcium-binding protein, ? (S100B)	NM_006272	2	1?036	28?546	27.6
Matrix metalloproteinase-12 (MMP12)	XM_006272	5	1?402	38?171	27.2
Thymus and activation-regulated chemokine (TARC)	D43767	1	1?109	26?047	23.5
Myosin phosphatase, target subunit 1 (MYPT1)	XM_006578	1	2?376	43?787	18.4
CD1B antigen (CD1B)	XM_002174	4	1?286	20?646	16.1
CD20-like precursor	NM_022349	15	1?746	27?393	15.7
Ig superfamily protein (Z39Ig)	XM_010265	23	1?430	18?815	13.2
MHC class II HLA-DQ? chain	U77589	1	1?071	13?284	12.4
Glycoprotein NMB (GPNMB)	XM_004781	3	1?170	13?914	11.9
Osteopontin	NM_000582	6	2?964	33?178	11.2
5-lipoxygenase activating protein (FLAP)	M63262	6	1?126	12?316	10.9
Mannose receptor C, type 1 (MRC1)	NM_002438	3	1?284	13?960	10.9
Cytochrome b-245, ? polypeptide (CYBB)	NM_000397	3	1?050	11?226	10.7
Monocyte chemotactic proteins 4 (MCP4; SCYA13)	XM_008411	4	1?429	14?456	10.1
MHC class II HLA-DR? chain	XM_004209	8	1?454	14?578	10
MHC class II HLA-DR? chain	M26038	6	1?607	14?838	9.2
RNase A family 1 (RNASE1)	XM_012375	2	2?413	21?588	8.9
Dihydropyrimidinase related protein-2	D78013	4	1?997	17?249	8.6
ATP synthase 6 (MTATP6; mitochondria)	AF347015	11	3?394	26?657	7.9
16S ribosomal RNA (mitochondria)	AF347015	6	2?683	21?015	7.8
Lysosomal acid lipase	U08464	22	1?043	7?756	7.4
Cystatin A (CSTA)	NM_005213	4	1?286	9?437	7.3
Antigen CD36	M98399	8	1?404	9?501	6.8
Immunoglobulin transcription factor-2 (IFT2)	XM_012756	1	1?719	11?613	6.8
Monocyte chemotactic proteins-1 (MCP1; MCAF)	M24545	2	2?311	14?802	6.4
?-actin	BC004251	1	715	4?561	6.4
Transforming growth factor, ?-induced, 68 kD (TGFBI)	NM_000358	2	1?318	8?002	6.1
Cytochrome b (MTCYB; mitochondria)	AF347015	2	3?660	21?907	6
Calmodulin	D45887	3	752	4?383	5.8
Myeloid DAP12-associating lectin (MDL-1)	AJ271684	1	1?345	7?736	5.8
Cytochrome C oxidase II (COII; mitochondria)	AF347015	19	2?555	14?572	5.7
?-tubulin	J00314	1	1?235	6?826	5.5
B cell linker protein (BLNK)	NM_013314	2	1?615	8?909	5.5
Activated RNA polymerase II transcription cofactor 4 (PC4)	XM_011218	2	1?980	10?656	5.4
Cytochrome C oxidase I (COI; mitochondria)	AF347015	4	2?499	13?410	5.4
Enolase 1, ? (ENO1)	NM_001428	1	520	2?607	5
90 kD heat shock protein (hsp90)	M16660	1	2?040	10?213	5
IL-2R?	NM_000206	1	1?161	5?741	4.9
Thymosin ?4, X chromosome (TMSB4X)	NM_021109	5	1?649	8?138	4.9
Ferritin, light polypeptide	BC004245	3	2?527	12?327	4.9
NADH dehydrogenase subunit 4 (MTND4; mitochondria)	AF347015	1	3?738	18?023	4.8
Accessory proteins BAP31/BAP29	NM_005745	5	966	4?598	4.8
Annexin A2 (ANXA2)	NM_004039	8	1?221	5?506	4.5
Isocitrate dehydrogenase 3 (NAD+) ? (IDH3A)	XM_007580	1	1?754	7?766	4.4
Microsomal glutathione S-transferase 2 (MGST2)	XM_003461	1	1?540	6?767	4.4
12S ribosomal RNA (mitochondria)	AF347015	4	1?439	6?317	4.4
Cytochrome C oxidase III (COIII; mitochondria)	AF347015	11	1?913	8?318	4.3
Coagulation factor XIII, A1 polypeptide	AK001685	1	1?009	4?225	4.2
GABA(A) receptor-associated protein (GABARAP)	NM_007278	2	1?221	4?666	3.8
Serine/threonine kinase-15	BC002499	1	1?369	5?048	3.7
Vesicle-associated membrane protein-8 (VAMP8)	XM_002561	2	1?976	7?267	3.7
Nicastrin	AF240468	1	1?359	4?997	3.7
Purinergic receptor (family A group 5)	XM_007212	1	1?592	5?833	3.7
Rho GDP dissociation inhibitor beta (ARHGDIB)	NM_001175	1	1?596	5?707	3.6
MAD homolog 2 (MADH2)	XM_008795	1	719	2?523	3.5
Cytochrome c, clone MGC: 12367	BC005299	1	1?330	4?538	3.4
MHC class II HLA-DM? chain	XM_004220	1	1?403	4?552	3.2
High affinity IgE receptor ? subunit (FcERI)	X06948	1	116	369	3.2
MLN51	X80199	1	1?405	4?431	3.2
DORA protein	AJ223183	1	1?411	4?341	3.1
GTP-binding protein (NGB)	XM_005722	1	877	2?674	3
Interferon regulatory factor-4 (IRF4)	NM_002460	1	565	1?680	3
Crea2	AL133392	2	1?437	12?646	8.8
Crea8	BC020516	1	893	3?331	3.7
Crea11	AA151535	1	2?639	8?446	3.2
Crea12	AL354813	1	1?449	4?928	3.4
Crea13	AW295797	1	1?336	9?218	6.9
Crea14	XM_071675	1	2?201	14?304	6.5
