Symbol	Gene name and/or description	Accession no.	Fold change	Gene Group
Ccna2	Cyclin A2	X75483	–2.66	Cell cycle
Ccnb1	Cyclin B1	AU015121	–2.34	Cell cycle
Ccnb2	Cyclin B2	AK013312	–2.39	Cell cycle
cdca3	Cell division cycle-associated 3	NM_013538	–2.52	Cell cycle
Gadd45	Growth arrest and DNA-damage-inducible 45 gamma	AK007410	2.76	Cell cycle
NP95	Nuclear protein 95	NM_010931	–2.12	Cell cycle
p21 / Cdkn1a	Cyclin-dependent kinase inhibitor 1A (p21)	NM_007669	3.3	Cell cycle
p57 / Cdkn1c	Cyclin-dependent kinase inhibitor 1C (p57)	NM_009876	2.02	Cell cycle
vav1	vav1 oncogene	NM_011691	–3.17	Cell cycle
cdc25c	Cell division cycle 25 homolog C (Saccharomyces cerevisiae)	NM_009860	–2.32	Cell cycle
Aurka	Aurora kinase A (serine/threonine kinase 6)	U80932	–1.95	Mitosis and cytokinesis
Aurkb	Aurora kinase B (serine/threonine kinase 12)	BC003261	–2.47	Mitosis and cytokinesis
Survivin / Birc5	Survivin/baculoviral IAP repeat-containing 5	BC004702	–2.14	Mitosis and cytokinesis
Bub1b	Budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	AF002823	–2.14	Mitosis and cytokinesis
Bub1b / Bubr1	Budding uninhibited by benzimidazoles 1 homolog beta (S. cerevisiae)	NM_009773	–2.02	Mitosis and cytokinesis
CenpA	Centromere autoantigen A	AV132173	–2.18	Mitosis and cytokinesis
CenpH	Centromere autoantigen H	BC025084	–2.60	Mitosis and cytokinesis
Cap-g	Chromosome condensation protein G	BB702347	–2.22	Mitosis and cytokinesis
Cap-d2	Chromosome condensation-related SMC-associated protein 1	BC025460	–2.19	Mitosis and cytokinesis
Incenp	Inner centromere protein	BB418702	–2.08	Mitosis and cytokinesis
Kif10 / CenpE	Kinesin family member 10/centromere protein E	BG068387	–2.33	Mitosis and cytokinesis
Kif11	Kinesin family member 11	BM234447	–2.42	Mitosis and cytokinesis
Kif20a	Kinesin family member 20a	NM_009004	–2.09	Mitosis and cytokinesis
Kif23	Kinesin family member 23	BG082989	–2.10	Mitosis and cytokinesis
Kif2c	Kinesin family member 2C	NM_134471	–2.26	Mitosis and cytokinesis
Kif5b	Kinesin family member 5b	BF099632	2.46	Mitosis and cytokinesis
Mad2l1	MAD2 (mitotic arrest-deficient homolog)-like 1 (yeast)	NM_019499	–1.85	Mitosis and cytokinesis
Nipsnap1	4-Nitrophenylphosphatase domain and nonneuronal SNAP25-like homolog 1	BC010837	–1.73	Mitosis and cytokinesis
Plk1	Polo-like kinase 1 homolog (Drosophila)	NM_011121	–2.24	Mitosis and cytokinesis
Prc1	Protein regulator of cytokinesis 1-like	NM_145150	–1.98	Mitosis and cytokinesis
Top2a	Topoisomerase (DNA) II alpha	BM211413	–2.21	Mitosis and cytokinesis
Tacc3	Transforming, acidic coiled-coil-containing protein 3	NM_011524	–2.18	Mitosis and cytokinesis
cdc6	Cell division cycle 6 homolog (S. cerevisiae)	NM_011799	–3.02	DNA replication and repair
Fen1	Flap structure-specific endonuclease 1	NM_007999	–2.01	DNA replication and repair
Mcmd5 / cdc46	Minichromosome maintenance-deficient 5 (S. cerevisiae)	NM_008566	–2.76	DNA replication and repair
Mcmd6	Minichromosome maintenance-deficient 6 (S. cerevisiae)	NM_008567	–1.85	DNA replication and repair
Mcmd7	Minichromosome maintenance-deficient 7 (S. cerevisiae)	NM_008568	–1.88	DNA replication and repair
Mcmd4	Minichromosome maintenance-deficient 4 homolog (S. cerevisiae)	NM_008565	–1.94	DNA replication and repair
Mpg	N-Methylpurine-DNA glycosylase	BC014754	3.79	DNA replication and repair
Pol1	Polymerase (DNA-directed) alpha 1	NM_008892	–1.89	DNA replication and repair
Polh	Polymerase (DNA-directed) eta (RAD30 related)	NM_030715	–2.09	DNA replication and repair
Polk	Polymerase (DNA-directed) kappa	BC008105	2.15	DNA replication and repair
Rad18	RAD18 homolog (S. cerevisiae)	BC011120	–2.03	DNA replication and repair
Rad51ap1	RAD51-associated protein 1	NM_009013	–1.72	DNA replication and repair
Ung	Uracil-DNA glycosylase	NM_011677	–1.86	DNA replication and repair
Api5	Apoptosis inhibitor 5	NM_007466	–1.78	Apoptosis
Bak1 / N-Bak1	Bcl2-antagonist/killer 1 (Bak1)	AF402617	2.55
Biklk	Bcl2-interacting killer-like	BB251824	1.82	Apoptosis
Bcl-xL	Bcl2-like 1	U51278	1.81	Apoptosis
Casp7	Caspase-7	NM_007611	6.91	Apoptosis
Btg2 / TIS21	B-cell translocation gene 2, antiproliferative	BG965405	2.59	Apoptosis
Clu	Clusterin	AV152288	2.21	Apoptosis
Fas / Tnfrsf6	Tumor necrosis factor receptor superfamily, member 6	NM_007987	2.41	Apoptosis
Gadd45	Growth arrest and DNA-damage inducible 45 gamma	AK007410	2.76	Apoptosis
Noxa / Pmaip1	Phorbol-12-myristate-13-acetate-induced protein 1	NM_021451	2.47	Apoptosis
Perp	p53 apoptosis effector related to Pmp22	NM_022032	7.61	Apoptosis
