Alteration	Genes	Locus	n†	Well (/9)‡	Un (/19)§	Others
High-level amplifications (log2 > 2.0)	SDC1	2p24.1	1	0	1	0
High-level amplifications (log2 > 2.0)	DNMT3A	2p23.3	1	0	1	0
High-level amplifications (log2 > 2.0)	MLH1	3p22.3	1	0	1	0
High-level amplifications (log2 > 2.0)	CTNNB1	3p22.1	1	0	1	0
High-level amplifications (log2 > 2.0)	CCK	3p21	1	0	1	0
High-level amplifications (log2 > 2.0)	ZNF131	5p12	1	0	1	0
High-level amplifications (log2 > 2.0)	CDK6	7q21.2	1	0	1	0
High-level amplifications (log2 > 2.0)	MET	7q31.2	3	0	3	0
High-level amplifications (log2 > 2.0)	MYC	8q24.21	6	1	5	0
High-level amplifications (log2 > 2.0)	PVT1	8q24.21	6	1	5	0
High-level amplifications (log2 > 2.0)	EGR2	10q21.3	1¶	0	0	1
High-level amplifications (log2 > 2.0)	KSAM (FGFR2)	10q26.13	4	0	4	0
High-level amplifications (log2 > 2.0)	PKY (HIPK3)	11p13	2	0	2	0
High-level amplifications (log2 > 2.0)	LMO2	11p13	1	0	1	0
High-level amplifications (log2 > 2.0)	CD44	11p13	3	0	3	0
High-level amplifications (log2 > 2.0)	KRAS	12p12.1	5††	1	3	1
High-level amplifications (log2 > 2.0)	KRAG (SSPN)	12p12.1	1‡‡	0	0	1
High-level amplifications (log2 > 2.0)	CYP1A1	15q24.1	1	0	1	0
High-level amplifications (log2 > 2.0)	IQGAP1	15q26.1	2	0	2	0
High-level amplifications (log2 > 2.0)	FURIN (PACE)	15q26.1	2	0	2	0
High-level amplifications (log2 > 2.0)	PPARBP	17q12	1	1	0	0
High-level amplifications (log2 > 2.0)	ERBB2	17q12	1	1	0	0
High-level amplifications (log2 > 2.0)	CCNE1	19q12	1	1	0	0
High-level amplifications (log2 > 2.0)	MYBL2	20q13.12	1§	0	0	1
Homozygous deletions (log2 < ?2.0)	MTAP	9p21.3	7	1	6	0
Homozygous deletions (log2 < ?2.0)	CDKN2A (p16)	9p21.3	7	1	6	0
Homozygous deletions (log2 < ?2.0)	TEK	9p21.2	3	0	3	0
Homozygous deletions (log2 < ?2.0)	RB1	13q14.2	1	0	1	0
Homozygous deletions (log2 < ?2.0)	SNRPN	15q11.2	1	0	1	0
