Accession number	Name	Description
AI818488	ADD3	adducin 3 (?)
NM_000688.1	ALAS1	aminolevulinate, ?-, synthase 1
NM_001262.1	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
NM_001268.1	CHC1L	chromosome condensation 1僕ike
AI733465	COL9A2	collagen, type IX, ?2
NM_004084.2	DEFA1	defensin, ?1, myeloid-related sequence
NM_012199.1	EIF2C1	eukaryotic translation initiation factor 2C, 1
U32645	ELF4	E74-like factor 4 (ets domain transcription factor)
NM_021999.1	ITM2B	integral membrane protein 2B
NM_002631.1	PGD	phosphogluconate dehydrogenase
M24779.1	PIM1	pim-1 oncogene
NM_002800.1	PSMB9	proteasome (prosome, macropain) subunit, ? type, 9
U43522.1	PTK2B PTK2	protein tyrosine kinase 2 ?
NM_002908.1	REL	v-rel reticuloendotheliosis viral oncogene homologue (avian)
U12707	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)
NM_003387.2	WASPIP	Wiskott-Aldrich syndrome protein interacting protein
NM_000700.1	ANXA1	Annexin A1
NM_001166.2	BIRC2	baculoviral IAP repeat-containing 2
NM_000560.1	CD53	CD53 antigen
NM_005890.1	GAS7	growth arrest穆pecific 7
NM_000852.2	GSTP1	glutathioneS-transferase ?
NM_004964.2	HDAC1	histone deacetylase 1
NM_002162.2	ICAM3	intercellular adhesion molecule 3
NM_003641.1	IFITM1	IFN-induced transmembrane protein 1 (9-27)
NM_000584.1	IL-8	interleukin 8
NM_000210.1	ITGA6	integrin, ?6
NM_002294.1	LAMP2	lysosomal-associated membrane protein 2
AI827941	MYH9	myosin, heavy polypeptide 9, nonmuscle
NM_004688.1	NMI	N-myc (and STAT) interactor
BC000519.1	RUVBL1	RuvB-like 1 (E. coli)
M97935	STAT1	signal transducer and activator of transcription 1
AB015718	STK10	serine/threonine kinase 10
NM_003810.1	TNFSF 10	tumor necrosis factor (ligand) superfamily, member 10
BC001388.1	ANXA2	Annexin A2
NM_001630.1	ANXA8	Annexin A8
U69127.1	FUBP3	far upstream element (FUSE) binding protein 3
D30658.1	GARS	glycyl-tRNA systhetase
NM_003550.1	MAD1L1 MAD1	mitotic arrest deficient僕ike 1 (yeast)
AV703465	NR2F2	nuclear receptor subfamily 2, group F, member 2
U79718.1	NTHL1	nth endonuclease III僕ike 1 (E. coli)
NM_006117.1	PECI	peroxisomal D3,D2-enoyl-CoA isomerase
AA911231	PPP3CA	protein phosphatase 3, catalytic subunit, ? isoform
NM_014226.1	RAGE	renal tumor antigen
AI302106	RAP2A	RAP2A, member of RAS oncogene family
BC002827.1	TPM4	tropomyosin 4
U84404.1	UBE3A	ubiquitin protein ligase E3A
AI002002	ABCE1	ATP-binding cassette, subfamily E (OABP), member 1
NM_003905.1	APPBP1	amyloid ? precursor protein binding protein 1, 59 kDa
AF053641.1	CSE1L CSE1	chromosome segregation 1僕ike (yeast)
NM_004398.2	DDX10 DEAD	(Asp-Glu-Ala-Asp) box polypeptide 10
BC003360.1	DDX18 DEAD	(Aso-Glu-Ala-Asp) box polypeptide 18
NM_003752.2	EIF3S8	eukaryotic translation initiation factor 3, subunit 8, 110 kDa
NM_003751.1	EIF3S9	eukaryotic translation initiation factor 3, subunit 9 ?, 116 kDa
NM_001968.1	EIF4E	eukaryotic translation initiation factor 4E
AB044548.1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1
U66065.1	GRB10	growth factor receptor bound protein 10
NM_001536.1	HRMT1L2 HMT1	hnRNP methyltransferase僕ike 2 (S. cerevisiae)
NM_002707.1	PPM1G	protein phosphatase 1G, magnesium-dependent, ? isoform
U49245.1	RABGGTB	Rab geranylgeranyltransferase, ? subunit
NM_006666.1	RUVBL2	RuvB-like 2 (E. coli)
NM_002467.1	MYC	Homo sapiens v-myc avian myelocytomatosis viral oncogene homologue
