Locus link	Gene symbol	Name
143	ADPRTL1	Poly (ADP-ribose) polymerase family, member 4
954	ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2
1857	DVL3	Dishevelled, dsh homolog 3 (Drosophila)
2099	ESR1	Estrogen receptor 1
4711	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16 kDa
5693	PSMB5	Proteasome (prosome, macropain) subunit, beta type, 5a
5927	RBBP2	Jumonji, AT rich interactive domain 1A (RBBP2-like)
6634	SNRPD3	Small nuclear ribonucleoprotein D3 polypeptide 18 kDa
7597	ZNF46	Zinc finger protein 46 (KUP)
8000	PSCA	Prostate stem cell antigen
8443	GNPAT	Glyceronephosphate O-acyltransferase
8500	PPFIA1	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
8772	FADD	Fas (TNFRSF6)-associated via death domain
8972	MGAM	Maltase-glucoamylase (alpha-glucosidase)
9070	ASH2L	Ash2 (absent, small, or homeotic)-like (Drosophila)
9319	TRIP13	Thyroid hormone receptor interactor 13
9651	KIAA0450	Phospholipase C-like 4
9970	NR1I3	Nuclear receptor subfamily 1, group I, member 3a
10987	COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
11073	TOPBP1	Topoisomerase (DNA) II binding protein 1
11160	C8orf2	Chromosome 8 open reading frame 2a
22948	CCT5	Chaperonin containing TCP1, subunit 5 (epsilon)
23077	PAM	MYC binding protein 2
26005	DKFZP586P0123	DKFZP586P0123 protein
27257	LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)
29083	HSPC135	HSPC135 protein
51117	COQ4	Coenzyme Q4 homolog (yeast)
55290	BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
55668	C14orf118	Chromosome 14 open reading frame 118
55848	MDS030	Chromosome 9 open reading frame 46
55975	SBBI26	Kelch-like 7 (Drosophila)
56922	MCCC1	Methylcrotonoyl-coenzyme A carboxylase 1 (alpha)
64794	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
79906	FLJ13941	Hypothetical protein FLJ13941
80824	DUSP16	Dual specificity phosphatase 16
80896	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
83638	P5326	Basophilic leukemia expressed protein BLES03
84792	MGC12966	Hypothetical protein MGC12966
90809	C14orf9	Chromosome 14 open reading frame 9
128061	DKFZp547B1713	Hypothetical protein DKFZp547B1713
