Accession	Symbol	Fold change
NM_002575	SERPINB2	3.6
NM_002276	KRT19	2.5
NM_032873	KIAA1959	2.3
NM_017580	TRABID	2.2
H28999	FLJ36748	2.2
NM_007173	SPUVE	2.2
AI653107	ESTs	2.1
NM_139072	DNER	2.1
AI143879	FLJ25677	2
BG165011	ESTs	2
NM_000693	ALDH1A3	1.9
NM_007203	AKAP2	1.9
NM_152322	FLJ33957	1.9
NM_007107	SSR3	1.9
AW664964	ESTs	1.8
NM_032333	MGC4248	1.8
NM_006717	SPIN	1.8
NM_002128	HMGB1	1.8
NM_006572	GNA13	1.8
NM_015440	DKFZP586G1517	1.8
AU144882	FLJ13545	1.8
NM_004472	FOXD1	1.7
NM_001034	RRM2	1.7
NM_006559	KHDRBS1	1.7
NM_005996	TBX3	1.7
NM_017829	CECR5	1.7
AW575374	FLJ22425	1.7
NM_007368	GAP1IP4BP	1.7
NM_052865	C20orf72	1.7
NM_152330	C14orf31	1.7
AK023585	FLJ13523	1.6
BE856336	C8orf13	1.6
NM_032883	C20orf100	1.6
AV724183	FLJ31362	1.6
NM_001673	ASNS	1.6
NM_152329	PPIL5	1.6
NM_022731	NUCKS	1.6
NM_020390	EIF5A2	1.6
NM_018482	DDEF1	1.6
NM_153689	FLJ38973	1.6
NM_018312	C11orf23	1.6
NM_015934	NOP5 / NOP58	1.6
NM_005238	ETS1	1.5
NM_002588	PCDHGC3	-1.5
U20489	ESTs	-1.5
NM_001560	IL13RA1	-1.5
NM_001946	DUSP6	-1.5
NM_000393	COL5A2	-1.5
NM_018912	PCDHGA1	-1.5
NM_018914	PCDHGA11	-1.5
NM_004995	MMP14	-1.5
NM_018916	PCDHGA3	-1.5
NM_001814	CTSC	-1.5
NM_006033	LIPG	-1.5
NM_005610	RBBP4	-1.5
NM_001219	CALU	-1.5
NM_004342	CALD1	-1.5
NM_000935	PLOD2	-1.5
U40053	ESTs	-1.5
NM_006227	PLTP	-1.5
NM_001901	CTGF	-1.5
NM_004105	EFEMP1	-1.5
