probe set	Entrez Gene	Gene Symbol	Gene Title
214328_s_at	3320	HSPCA	heat shock 90kDa protein 1, alpha
200080_s_at	3020 /// 440926	H3F3A /// LOC440926	H3 histone, family 3A /// H3 histone, family 3A /// H3 histone, family 3A pseudogene /// H3 histone, family 3A pseudogene
213726_x_at	10383	TUBB2	tubulin, beta, 2
208977_x_at	10383	TUBB2	tubulin, beta, 2
201762_s_at	5721	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)
208921_s_at	6717	SRI	sorcin
204992_s_at	5217	PFN2	profilin 2
207168_s_at	9555	H2AFY	H2A histone family, member Y
201368_at	678	ZFP36L2	zinc finger protein 36, C3H type-like 2
217722_s_at	51335	NGRN	neugrin, neurite outgrowth associated
209194_at	1069	CETN2	centrin, EF-hand protein, 2
201764_at	79022	MGC5576	hypothetical protein MGC5576
201093_x_at	6389	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
222742_s_at	64792	RABL5	RAB, member RAS oncogene family-like 5
224512_s_at	84316	MGC14151	hypothetical protein MGC14151 /// hypothetical protein MGC14151
1553655_at	166979	FLJ37927	CDC20-like protein
211702_s_at	84669	USP32	ubiquitin specific peptidase 32 /// ubiquitin specific peptidase 32
224481_s_at	25831	HECTD1	HECT domain containing 1 /// HECT domain containing 1
218224_at	9240	PNMA1	paraneoplastic antigen MA1
202582_s_at	10048	RANBP9	RAN binding protein 9
200932_s_at	10540	DCTN2	dynactin 2 (p50)
222021_x_at	255812 /// 6389	SDHA /// SDHAL2	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) /// succinate dehydrogenase complex, subunit A, flavoprotein-like 2
222467_s_at	55291	SAPS3	SAPS domain family, member 3
203401_at	5634	PRPS2	phosphoribosyl pyrophosphate synthetase 2
225656_at	114327	EFHC1	EF-hand domain (C-terminal) containing 1
210021_s_at	10309	UNG2	uracil-DNA glycosylase 2
204020_at	5813	PURA	purine-rich element binding protein A
203480_s_at	54726	OTUD4	OTU domain containing 4
226446_at	55502	HES6	hairy and enhancer of split 6 (Drosophila)
214118_x_at	5108	PCM1	pericentriolar material 1
208846_s_at	7419	VDAC3	voltage-dependent anion channel 3
202174_s_at	5108	PCM1	pericentriolar material 1
200066_at	3550	IK	IK cytokine, down-regulator of HLA II /// IK cytokine, down-regulator of HLA II
212287_at	23512	SUZ12	suppressor of zeste 12 homolog (Drosophila)
210574_s_at	10726	NUDC	nuclear distribution gene C homolog (A. nidulans)
214937_x_at	5108	PCM1	pericentriolar material 1
205356_at	8975	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)
236302_at	22843	PPM1E	protein phosphatase 1E (PP2C domain containing)
226757_at	3433	IFIT2	interferon-induced protein with tetratricopeptide repeats 2
226790_at	378464	MOPT	protein containing single MORN motif in testis
224607_s_at	6730	SRP68	signal recognition particle 68kDa
213165_at	9857	CEP350	Centrosomal protein 350kDa
223239_at	51527	C14orf129	chromosome 14 open reading frame 129
212372_at	4628	MYH10	myosin, heavy polypeptide 10, non-muscle
204640_s_at	8405	SPOP	speckle-type POZ protein
230093_at	89765	TSGA2	testis specific A2 homolog (mouse)
211979_at	57720	GPR107	G protein-coupled receptor 107
202534_x_at	1719	DHFR	dihydrofolate reductase
225076_s_at	57169	KIAA1404	KIAA1404 protein
218123_at	56683	C21orf59	chromosome 21 open reading frame 59
203252_at	10263	CDK2AP2	CDK2-associated protein 2
223273_at	84520	C14orf142	chromosome 14 open reading frame 142
218998_at	54942	C9orf6	chromosome 9 open reading frame 6
59697_at	376267	RAB15	RAB15, member RAS onocogene family
233952_s_at	49854	ZNF295	zinc finger protein 295
201687_s_at	8539	API5	apoptosis inhibitor 5
218979_at	80010	C9orf76	chromosome 9 open reading frame 76
221810_at	376267	RAB15	RAB15, member RAS onocogene family
218100_s_at	55081	ESRRBL1	estrogen-related receptor beta like 1
226196_s_at	112752	MGC16028	MGC16028 similar to RIKEN cDNA 1700019E19 gene
227964_at	83786	FKSG44	FKSG44 gene
232681_at	11168	PSIP1	PC4 and SFRS1 interacting protein 1
201714_at	7283	TUBG1	tubulin, gamma 1
209337_at	11168	PSIP1	PC4 and SFRS1 interacting protein 1
204824_at	2021	ENDOG	endonuclease G
204784_s_at	4291	MLF1	myeloid leukemia factor 1
225569_at	27161	EIF2C2	Eukaryotic translation initiation factor 2C, 2
226702_at	129607	LOC129607	hypothetical protein LOC129607
213392_at	124152	MGC35048	hypothetical protein MGC35048
222125_s_at	54681	PH-4	hypoxia-inducible factor prolyl 4-hydroxylase
64900_at	23563 /// 84836	CHST5 /// MGC15429	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5 /// hypothetical protein MGC15429
222068_s_at	123872	LRRC50	leucine rich repeat containing 50
240161_s_at	493869	LOC493869	Similar to RIKEN cDNA 2310016C16
226007_at	122961	HBLD1	HESB like domain containing 1
202532_s_at	1719	DHFR	dihydrofolate reductase
213190_at	91949	COG7	component of oligomeric golgi complex 7
204887_s_at	10733	PLK4	polo-like kinase 4 (Drosophila)
219126_at	55274	PHF10	PHD finger protein 10
226009_at	25911		deleted in a mouse model of primary ciliary dyskinesia
228033_at	144455	E2F7	E2F transcription factor 7
225096_at	55352	HSA272196	hypothetical protein, clone 2746033
225485_at	95681	TSGA14	testis specific, 14
235587_at	202781	LOC202781	hypothetical protein LOC202781
231319_x_at	64147	KIF9	kinesin family member 9
217957_at	29105	GTL3	gene trap locus 3 (mouse)
220173_at	80127	C14orf45	chromosome 14 open reading frame 45
227687_at	219844	HYLS1	hydrolethalus syndrome 1
204587_at	9016	SLC25A14	solute carrier family 25 (mitochondrial carrier, brain), member 14
202365_at	84747	MGC5139	hypothetical protein MGC5139
224968_at	112942	MGC15407	similar to RIKEN cDNA 4931428D14 gene
226195_at	112752	MGC16028	MGC16028 similar to RIKEN cDNA 1700019E19 gene
227436_at	56957	ZA20D1	Zinc finger, A20 domain containing 1
1553734_at	122481	AK7	adenylate kinase 7
202583_s_at	10048	RANBP9	RAN binding protein 9
225192_at	143384	C10orf46	Chromosome 10 open reading frame 46
202732_at	11142	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
219833_s_at	114327	EFHC1	EF-hand domain (C-terminal) containing 1
227966_s_at	90557 /// 91409	LOC90557 /// DKFZp434E2321	hypothetical protein BC016861 /// hypothetical protein DKFZp434E2321
208070_s_at	5980	REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)
1557055_s_at	284591	LOC284591	hypothetical protein LOC284591
229513_at	55342	STRBP	Spermatid perinuclear RNA binding protein
218476_at	10585	POMT1	protein-O-mannosyltransferase 1
228774_at	84131	C9orf81	chromosome 9 open reading frame 81
205339_at	6491	SIL	TAL1 (SCL) interrupting locus
235071_at	116143	LOC116143	hypothetical protein BC014022
204641_at	4751	NEK2	NIMA (never in mitosis gene a)-related kinase 2
212804_s_at	26130	GAPVD1	GTPase activating protein and VPS9 domains 1
212993_at	NA	NA	CDNA clone IMAGE:5311129
204662_at	9738	CP110	CP110 protein
212858_at	124222	PAQR4	progestin and adipoQ receptor family member IV
225484_at	95681	TSGA14	testis specific, 14
223136_at	51390	AIG1	androgen-induced 1
205229_s_at	1690	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)
221571_at	7187	TRAF3	TNF receptor-associated factor 3
